trial,counts,energies,iteration,energies_dict,solved
0,"{'1111': 1, '1100': 276, '0000': 258, '0010': 3, '1001': 80, '0101': 69, '1110': 4, '0100': 114, '1101': 28, '1000': 127, '0110': 3, '0001': 32, '1010': 4, '0111': 1}","{'H_AFM': 1.514, 'H_FM': 1.514, 'H_TF': 1.514, 'H_XY': 1.514, 'H_RF': 1.514}",5,"{'H_AFM': 1.514, 'H_FM': 1.514, 'H_TF': 1.514, 'H_XY': 1.514, 'H_RF': 1.514}",False
1,"{'1100': 38, '1000': 69, '0000': 251, '1111': 180, '0100': 119, '0111': 23, '0011': 30, '1011': 290}","{'H_AFM': 0.03399999999999992, 'H_FM': 0.03399999999999992, 'H_TF': 0.03399999999999992, 'H_XY': 0.03399999999999992, 'H_RF': 0.03399999999999992}",5,"{'H_AFM': 0.03399999999999992, 'H_FM': 0.03399999999999992, 'H_TF': 0.03399999999999992, 'H_XY': 0.03399999999999992, 'H_RF': 0.03399999999999992}",False
2,"{'1010': 7, '0011': 87, '1011': 93, '0010': 8, '0000': 24, '0001': 377, '1000': 31, '1001': 373}","{'H_AFM': 0.742, 'H_FM': 0.742, 'H_TF': 0.742, 'H_XY': 0.742, 'H_RF': 0.742}",5,"{'H_AFM': 0.742, 'H_FM': 0.742, 'H_TF': 0.742, 'H_XY': 0.742, 'H_RF': 0.742}",False
3,"{'1010': 11, '0010': 3, '0000': 2, '1110': 142, '0100': 81, '1101': 133, '0101': 76, '1001': 44, '1100': 136, '0110': 96, '1000': 7, '1011': 30, '0111': 71, '0011': 24, '1111': 119, '0001': 25}","{'H_AFM': -0.9879999999999998, 'H_FM': -0.9879999999999998, 'H_TF': -0.9879999999999998, 'H_XY': -0.9879999999999998, 'H_RF': -0.9879999999999998}",5,"{'H_AFM': -0.9879999999999998, 'H_FM': -0.9879999999999998, 'H_TF': -0.9879999999999998, 'H_XY': -0.9879999999999998, 'H_RF': -0.9879999999999998}",True
4,"{'1010': 7, '1100': 6, '1110': 2, '1111': 103, '0001': 36, '1101': 257, '1000': 11, '0110': 24, '1001': 259, '0101': 37, '0100': 49, '0000': 43, '0010': 21, '1011': 115, '0111': 16, '0011': 14}","{'H_AFM': -0.786, 'H_FM': -0.786, 'H_TF': -0.786, 'H_XY': -0.786, 'H_RF': -0.786}",5,"{'H_AFM': -0.786, 'H_FM': -0.786, 'H_TF': -0.786, 'H_XY': -0.786, 'H_RF': -0.786}",True
5,"{'1011': 12, '0001': 105, '1111': 118, '0010': 153, '0000': 93, '1100': 143, '0100': 27, '1101': 77, '1000': 17, '0110': 16, '1001': 17, '0101': 14, '1110': 79, '0111': 18, '0011': 89, '1010': 22}","{'H_AFM': 0.13200000000000006, 'H_FM': 0.13200000000000006, 'H_TF': 0.13200000000000006, 'H_XY': 0.13200000000000006, 'H_RF': 0.13200000000000006}",5,"{'H_AFM': 0.13200000000000006, 'H_FM': 0.13200000000000006, 'H_TF': 0.13200000000000006, 'H_XY': 0.13200000000000006, 'H_RF': 0.13200000000000006}",False
6,"{'1010': 188, '0110': 42, '0010': 51, '0000': 78, '1110': 221, '1000': 185, '1100': 161, '0100': 74}","{'H_AFM': 0.49, 'H_FM': 0.49, 'H_TF': 0.49, 'H_XY': 0.49, 'H_RF': 0.49}",5,"{'H_AFM': 0.49, 'H_FM': 0.49, 'H_TF': 0.49, 'H_XY': 0.49, 'H_RF': 0.49}",False
7,"{'0010': 92, '0000': 177, '0100': 507, '0110': 224}","{'H_AFM': 1.906, 'H_FM': 1.906, 'H_TF': 1.906, 'H_XY': 1.906, 'H_RF': 1.906}",5,"{'H_AFM': 1.906, 'H_FM': 1.906, 'H_TF': 1.906, 'H_XY': 1.906, 'H_RF': 1.906}",False
8,"{'1010': 27, '0010': 76, '0000': 29, '0111': 94, '0011': 106, '1011': 36, '1101': 71, '1000': 74, '0110': 103, '1100': 97, '1111': 36, '0001': 28, '0100': 39, '1110': 40, '1001': 119, '0101': 25}","{'H_AFM': -0.07599999999999996, 'H_FM': -0.07599999999999996, 'H_TF': -0.07599999999999996, 'H_XY': -0.07599999999999996, 'H_RF': -0.07599999999999996}",5,"{'H_AFM': -0.07599999999999996, 'H_FM': -0.07599999999999996, 'H_TF': -0.07599999999999996, 'H_XY': -0.07599999999999996, 'H_RF': -0.07599999999999996}",False
9,"{'0100': 23, '0000': 5, '1100': 1, '1001': 199, '1101': 772}","{'H_AFM': -1.478, 'H_FM': -1.478, 'H_TF': -1.478, 'H_XY': -1.478, 'H_RF': -1.478}",5,"{'H_AFM': -1.478, 'H_FM': -1.478, 'H_TF': -1.478, 'H_XY': -1.478, 'H_RF': -1.478}",True
10,"{'1010': 27, '1000': 4, '0110': 180, '1101': 208, '1110': 171, '1001': 25, '0101': 198, '1011': 3, '0011': 4, '0111': 32, '1111': 31, '0001': 24, '0010': 22, '0000': 3, '0100': 39, '1100': 29}","{'H_AFM': -0.762, 'H_FM': -0.762, 'H_TF': -0.762, 'H_XY': -0.762, 'H_RF': -0.762}",5,"{'H_AFM': -0.762, 'H_FM': -0.762, 'H_TF': -0.762, 'H_XY': -0.762, 'H_RF': -0.762}",True
11,"{'1101': 136, '1000': 22, '0110': 75, '0111': 178, '1011': 115, '0100': 56, '1110': 29, '0101': 79, '1001': 47, '1100': 65, '0001': 68, '1111': 31, '1010': 66, '0000': 33}","{'H_AFM': -0.6160000000000001, 'H_FM': -0.6160000000000001, 'H_TF': -0.6160000000000001, 'H_XY': -0.6160000000000001, 'H_RF': -0.6160000000000001}",5,"{'H_AFM': -0.6160000000000001, 'H_FM': -0.6160000000000001, 'H_TF': -0.6160000000000001, 'H_XY': -0.6160000000000001, 'H_RF': -0.6160000000000001}",True
12,"{'0000': 3, '0010': 239, '1001': 6, '1100': 249, '0111': 5, '1011': 262, '1110': 6, '0101': 230}","{'H_AFM': -0.056000000000000036, 'H_FM': -0.056000000000000036, 'H_TF': -0.056000000000000036, 'H_XY': -0.056000000000000036, 'H_RF': -0.056000000000000036}",5,"{'H_AFM': -0.056000000000000036, 'H_FM': -0.056000000000000036, 'H_TF': -0.056000000000000036, 'H_XY': -0.056000000000000036, 'H_RF': -0.056000000000000036}",False
13,"{'0001': 24, '1101': 27, '1111': 16, '0100': 142, '1011': 24, '0011': 15, '0111': 23, '1110': 113, '1010': 78, '0000': 76, '0010': 119, '0110': 74, '1000': 148, '1100': 87, '0101': 17, '1001': 17}","{'H_AFM': 0.732, 'H_FM': 0.732, 'H_TF': 0.732, 'H_XY': 0.732, 'H_RF': 0.732}",5,"{'H_AFM': 0.732, 'H_FM': 0.732, 'H_TF': 0.732, 'H_XY': 0.732, 'H_RF': 0.732}",False
14,"{'0001': 1, '1111': 132, '1101': 31, '0110': 38, '1000': 79, '0101': 1, '1001': 32, '1100': 85, '1011': 123, '0011': 104, '0111': 88, '0010': 33, '0000': 129, '0100': 123, '1010': 1}","{'H_AFM': -0.02400000000000002, 'H_FM': -0.02400000000000002, 'H_TF': -0.02400000000000002, 'H_XY': -0.02400000000000002, 'H_RF': -0.02400000000000002}",5,"{'H_AFM': -0.02400000000000002, 'H_FM': -0.02400000000000002, 'H_TF': -0.02400000000000002, 'H_XY': -0.02400000000000002, 'H_RF': -0.02400000000000002}",False
15,"{'0000': 1, '0110': 2, '1101': 47, '0111': 1, '1110': 2, '0101': 94, '0100': 574, '1000': 2, '1100': 277}","{'H_AFM': 1.0559999999999998, 'H_FM': 1.0559999999999998, 'H_TF': 1.0559999999999998, 'H_XY': 1.0559999999999998, 'H_RF': 1.0559999999999998}",5,"{'H_AFM': 1.0559999999999998, 'H_FM': 1.0559999999999998, 'H_TF': 1.0559999999999998, 'H_XY': 1.0559999999999998, 'H_RF': 1.0559999999999998}",False
16,"{'1110': 6, '0010': 4, '1111': 3, '1100': 66, '1001': 79, '0101': 85, '0100': 297, '0001': 23, '1010': 31, '0000': 75, '1011': 11, '0011': 1, '0111': 2, '1101': 27, '1000': 261, '0110': 29}","{'H_AFM': 1.3659999999999999, 'H_FM': 1.3659999999999999, 'H_TF': 1.3659999999999999, 'H_XY': 1.3659999999999999, 'H_RF': 1.3659999999999999}",5,"{'H_AFM': 1.3659999999999999, 'H_FM': 1.3659999999999999, 'H_TF': 1.3659999999999999, 'H_XY': 1.3659999999999999, 'H_RF': 1.3659999999999999}",False
17,"{'1111': 32, '0001': 25, '0000': 28, '1011': 198, '0100': 231, '1110': 24, '0101': 233, '1010': 229}","{'H_AFM': 0.05200000000000003, 'H_FM': 0.05200000000000003, 'H_TF': 0.05200000000000003, 'H_XY': 0.05200000000000003, 'H_RF': 0.05200000000000003}",5,"{'H_AFM': 0.05200000000000003, 'H_FM': 0.05200000000000003, 'H_TF': 0.05200000000000003, 'H_XY': 0.05200000000000003, 'H_RF': 0.05200000000000003}",False
18,"{'1110': 7, '1100': 16, '0010': 65, '0000': 16, '0001': 204, '1010': 6, '0100': 14, '0011': 5, '0111': 4, '1001': 175, '0101': 219, '1000': 16, '0110': 60, '1101': 193}","{'H_AFM': 0.254, 'H_FM': 0.254, 'H_TF': 0.254, 'H_XY': 0.254, 'H_RF': 0.254}",5,"{'H_AFM': 0.254, 'H_FM': 0.254, 'H_TF': 0.254, 'H_XY': 0.254, 'H_RF': 0.254}",False
19,"{'1101': 9, '0010': 38, '0011': 26, '0111': 5, '1011': 16, '1100': 193, '0101': 19, '1001': 39, '1000': 58, '0110': 114, '0100': 199, '1110': 131, '1111': 7, '0001': 38, '1010': 38, '0000': 70}","{'H_AFM': 0.5960000000000001, 'H_FM': 0.5960000000000001, 'H_TF': 0.5960000000000001, 'H_XY': 0.5960000000000001, 'H_RF': 0.5960000000000001}",5,"{'H_AFM': 0.5960000000000001, 'H_FM': 0.5960000000000001, 'H_TF': 0.5960000000000001, 'H_XY': 0.5960000000000001, 'H_RF': 0.5960000000000001}",False
20,"{'0001': 4, '0100': 2, '1101': 387, '0101': 85, '1001': 7, '1100': 9, '1000': 426, '0000': 80}","{'H_AFM': 0.41, 'H_FM': 0.41, 'H_TF': 0.41, 'H_XY': 0.41, 'H_RF': 0.41}",5,"{'H_AFM': 0.41, 'H_FM': 0.41, 'H_TF': 0.41, 'H_XY': 0.41, 'H_RF': 0.41}",False
21,"{'1010': 125, '0000': 105, '0010': 393, '1000': 377}","{'H_AFM': 1.96, 'H_FM': 1.96, 'H_TF': 1.96, 'H_XY': 1.96, 'H_RF': 1.96}",5,"{'H_AFM': 1.96, 'H_FM': 1.96, 'H_TF': 1.96, 'H_XY': 1.96, 'H_RF': 1.96}",False
22,"{'0000': 4, '0100': 18, '1100': 30, '1101': 143, '1000': 7, '0110': 186, '1110': 215, '1001': 36, '0101': 166, '0001': 30, '1111': 32, '0010': 48, '0011': 10, '0111': 24, '1011': 8, '1010': 43}","{'H_AFM': -0.6859999999999999, 'H_FM': -0.6859999999999999, 'H_TF': -0.6859999999999999, 'H_XY': -0.6859999999999999, 'H_RF': -0.6859999999999999}",5,"{'H_AFM': -0.6859999999999999, 'H_FM': -0.6859999999999999, 'H_TF': -0.6859999999999999, 'H_XY': -0.6859999999999999, 'H_RF': -0.6859999999999999}",True
23,"{'1010': 37, '0000': 45, '0010': 194, '1000': 9, '1001': 124, '1011': 35, '0011': 131, '0001': 425}","{'H_AFM': 1.366, 'H_FM': 1.366, 'H_TF': 1.366, 'H_XY': 1.366, 'H_RF': 1.366}",5,"{'H_AFM': 1.366, 'H_FM': 1.366, 'H_TF': 1.366, 'H_XY': 1.366, 'H_RF': 1.366}",False
24,"{'1011': 57, '1111': 117, '0001': 44, '0010': 28, '0000': 35, '1100': 77, '0101': 25, '1001': 116, '1010': 59, '1000': 127, '0110': 42, '1101': 68, '0100': 25, '1110': 118, '0111': 41, '0011': 21}","{'H_AFM': -0.4480000000000001, 'H_FM': -0.4480000000000001, 'H_TF': -0.4480000000000001, 'H_XY': -0.4480000000000001, 'H_RF': -0.4480000000000001}",5,"{'H_AFM': -0.4480000000000001, 'H_FM': -0.4480000000000001, 'H_TF': -0.4480000000000001, 'H_XY': -0.4480000000000001, 'H_RF': -0.4480000000000001}",False
25,"{'1010': 7, '0001': 58, '1011': 63, '0011': 310, '1001': 22, '1000': 140, '0010': 58, '0000': 342}","{'H_AFM': 1.754, 'H_FM': 1.754, 'H_TF': 1.754, 'H_XY': 1.754, 'H_RF': 1.754}",5,"{'H_AFM': 1.754, 'H_FM': 1.754, 'H_TF': 1.754, 'H_XY': 1.754, 'H_RF': 1.754}",False
26,"{'1010': 11, '0110': 8, '1000': 25, '1100': 195, '1101': 203, '1011': 19, '0011': 64, '0111': 14, '0000': 109, '0010': 43, '1110': 92, '1001': 33, '0101': 13, '1111': 74, '0001': 82, '0100': 15}","{'H_AFM': -0.186, 'H_FM': -0.186, 'H_TF': -0.186, 'H_XY': -0.186, 'H_RF': -0.186}",5,"{'H_AFM': -0.186, 'H_FM': -0.186, 'H_TF': -0.186, 'H_XY': -0.186, 'H_RF': -0.186}",False
27,"{'0001': 122, '1101': 118, '0000': 118, '0100': 141, '1000': 116, '1100': 136, '1001': 139, '0101': 110}","{'H_AFM': 0.994, 'H_FM': 0.994, 'H_TF': 0.994, 'H_XY': 0.994, 'H_RF': 0.994}",5,"{'H_AFM': 0.994, 'H_FM': 0.994, 'H_TF': 0.994, 'H_XY': 0.994, 'H_RF': 0.994}",False
28,"{'1100': 2, '1101': 10, '1110': 22, '1111': 73, '0001': 94, '1011': 28, '0111': 40, '0011': 13, '0000': 238, '0010': 40, '0100': 83, '1010': 69, '1000': 12, '0110': 19, '0101': 250, '1001': 7}","{'H_AFM': 0.9179999999999999, 'H_FM': 0.9179999999999999, 'H_TF': 0.9179999999999999, 'H_XY': 0.9179999999999999, 'H_RF': 0.9179999999999999}",5,"{'H_AFM': 0.9179999999999999, 'H_FM': 0.9179999999999999, 'H_TF': 0.9179999999999999, 'H_XY': 0.9179999999999999, 'H_RF': 0.9179999999999999}",False
29,"{'0010': 100, '0000': 84, '0100': 429, '0110': 387}","{'H_AFM': 1.3940000000000001, 'H_FM': 1.3940000000000001, 'H_TF': 1.3940000000000001, 'H_XY': 1.3940000000000001, 'H_RF': 1.3940000000000001}",5,"{'H_AFM': 1.3940000000000001, 'H_FM': 1.3940000000000001, 'H_TF': 1.3940000000000001, 'H_XY': 1.3940000000000001, 'H_RF': 1.3940000000000001}",False
30,"{'0000': 1, '0100': 4, '0111': 1, '1011': 15, '0001': 1, '1111': 74, '0110': 8, '1101': 74, '1010': 60, '1001': 14, '1100': 341, '1000': 48, '1110': 359}","{'H_AFM': -1.084, 'H_FM': -1.084, 'H_TF': -1.084, 'H_XY': -1.084, 'H_RF': -1.084}",5,"{'H_AFM': -1.084, 'H_FM': -1.084, 'H_TF': -1.084, 'H_XY': -1.084, 'H_RF': -1.084}",True
31,"{'1111': 7, '0010': 25, '1110': 7, '0000': 61, '1100': 35, '0001': 59, '1101': 37, '1000': 172, '0110': 25, '1010': 46, '0100': 123, '1001': 190, '0101': 130, '0011': 10, '0111': 34, '1011': 39}","{'H_AFM': 0.7399999999999999, 'H_FM': 0.7399999999999999, 'H_TF': 0.7399999999999999, 'H_XY': 0.7399999999999999, 'H_RF': 0.7399999999999999}",5,"{'H_AFM': 0.7399999999999999, 'H_FM': 0.7399999999999999, 'H_TF': 0.7399999999999999, 'H_XY': 0.7399999999999999, 'H_RF': 0.7399999999999999}",False
32,"{'1011': 1, '0000': 187, '0010': 10, '1110': 3, '1101': 178, '0110': 3, '1000': 166, '0101': 167, '1001': 56, '1100': 69, '0001': 63, '1111': 4, '0011': 3, '0111': 14, '0100': 70, '1010': 6}","{'H_AFM': 0.958, 'H_FM': 0.958, 'H_TF': 0.958, 'H_XY': 0.958, 'H_RF': 0.958}",5,"{'H_AFM': 0.958, 'H_FM': 0.958, 'H_TF': 0.958, 'H_XY': 0.958, 'H_RF': 0.958}",False
33,"{'1001': 160, '1000': 50, '0000': 59, '0010': 74, '0001': 204, '1011': 174, '0011': 199, '1010': 80}","{'H_AFM': 0.5439999999999999, 'H_FM': 0.5439999999999999, 'H_TF': 0.5439999999999999, 'H_XY': 0.5439999999999999, 'H_RF': 0.5439999999999999}",5,"{'H_AFM': 0.5439999999999999, 'H_FM': 0.5439999999999999, 'H_TF': 0.5439999999999999, 'H_XY': 0.5439999999999999, 'H_RF': 0.5439999999999999}",False
34,"{'1100': 80, '1011': 75, '0111': 106, '0011': 61, '1111': 110, '0001': 46, '1101': 22, '1110': 42, '1001': 36, '0101': 20, '0110': 47, '1000': 100, '0010': 25, '0000': 127, '1010': 28, '0100': 75}","{'H_AFM': 0.06999999999999992, 'H_FM': 0.06999999999999992, 'H_TF': 0.06999999999999992, 'H_XY': 0.06999999999999992, 'H_RF': 0.06999999999999992}",5,"{'H_AFM': 0.06999999999999992, 'H_FM': 0.06999999999999992, 'H_TF': 0.06999999999999992, 'H_XY': 0.06999999999999992, 'H_RF': 0.06999999999999992}",False
35,"{'0111': 24, '0011': 117, '1011': 86, '0001': 125, '1111': 17, '1110': 12, '0000': 169, '0010': 126, '1100': 18, '0101': 18, '1001': 66, '1000': 75, '0110': 25, '1101': 15, '1010': 78, '0100': 29}","{'H_AFM': 1.044, 'H_FM': 1.044, 'H_TF': 1.044, 'H_XY': 1.044, 'H_RF': 1.044}",5,"{'H_AFM': 1.044, 'H_FM': 1.044, 'H_TF': 1.044, 'H_XY': 1.044, 'H_RF': 1.044}",False
36,"{'1111': 25, '0110': 144, '1101': 77, '1011': 40, '1001': 79, '0010': 143, '0000': 255, '0100': 237}","{'H_AFM': 1.446, 'H_FM': 1.446, 'H_TF': 1.446, 'H_XY': 1.446, 'H_RF': 1.446}",5,"{'H_AFM': 1.446, 'H_FM': 1.446, 'H_TF': 1.446, 'H_XY': 1.446, 'H_RF': 1.446}",False
37,"{'1100': 73, '1111': 74, '1101': 60, '1110': 58, '0010': 55, '0000': 57, '1011': 83, '0111': 29, '0011': 55, '0100': 40, '0101': 43, '1001': 95, '1000': 103, '0110': 35, '0001': 55, '1010': 85}","{'H_AFM': -0.022000000000000033, 'H_FM': -0.022000000000000033, 'H_TF': -0.022000000000000033, 'H_XY': -0.022000000000000033, 'H_RF': -0.022000000000000033}",5,"{'H_AFM': -0.022000000000000033, 'H_FM': -0.022000000000000033, 'H_TF': -0.022000000000000033, 'H_XY': -0.022000000000000033, 'H_RF': -0.022000000000000033}",False
