trial,counts,energies,iteration,energies_dict,solved
0,"{'1111': 11, '1101': 12, '0010': 153, '0000': 149, '1110': 66, '0100': 162, '0001': 26, '0110': 137, '1000': 67, '0101': 33, '1001': 9, '1100': 60, '0011': 26, '0111': 33, '1011': 13, '1010': 43}","{'H_AFM': 1.12, 'H_FM': 1.12, 'H_TF': 1.12, 'H_XY': 1.12, 'H_RF': 1.12}",2,"{'H_AFM': 1.12, 'H_FM': 1.12, 'H_TF': 1.12, 'H_XY': 1.12, 'H_RF': 1.12}",False
1,"{'0001': 4, '1100': 263, '0101': 4, '1001': 56, '1101': 65, '1000': 294, '0110': 36, '0100': 18, '1111': 13, '0000': 16, '0010': 58, '1110': 71, '1010': 72, '0111': 3, '0011': 8, '1011': 19}","{'H_AFM': 0.444, 'H_FM': 0.444, 'H_TF': 0.444, 'H_XY': 0.444, 'H_RF': 0.444}",2,"{'H_AFM': 0.444, 'H_FM': 0.444, 'H_TF': 0.444, 'H_XY': 0.444, 'H_RF': 0.444}",False
2,"{'0001': 13, '0000': 17, '0011': 23, '0111': 126, '1011': 11, '1101': 125, '1110': 91, '1001': 21, '0101': 87, '1100': 106, '0110': 123, '1000': 21, '0100': 100, '1111': 92, '1010': 21, '0010': 23}","{'H_AFM': -0.692, 'H_FM': -0.692, 'H_TF': -0.692, 'H_XY': -0.692, 'H_RF': -0.692}",2,"{'H_AFM': -0.692, 'H_FM': -0.692, 'H_TF': -0.692, 'H_XY': -0.692, 'H_RF': -0.692}",True
3,"{'1101': 19, '0000': 156, '0010': 74, '1100': 19, '0110': 9, '1000': 126, '1001': 131, '0101': 18, '1110': 13, '0111': 8, '0011': 97, '1011': 90, '0001': 126, '1111': 11, '1010': 88, '0100': 15}","{'H_AFM': 1.002, 'H_FM': 1.002, 'H_TF': 1.002, 'H_XY': 1.002, 'H_RF': 1.002}",2,"{'H_AFM': 1.002, 'H_FM': 1.002, 'H_TF': 1.002, 'H_XY': 1.002, 'H_RF': 1.002}",False
4,"{'0100': 28, '0001': 102, '0101': 126, '0111': 132, '0011': 114, '0110': 245, '0010': 32, '0000': 221}","{'H_AFM': 0.944, 'H_FM': 0.944, 'H_TF': 0.944, 'H_XY': 0.944, 'H_RF': 0.944}",2,"{'H_AFM': 0.944, 'H_FM': 0.944, 'H_TF': 0.944, 'H_XY': 0.944, 'H_RF': 0.944}",False
5,"{'0100': 12, '1110': 11, '0000': 13, '0011': 254, '0111': 240, '1011': 84, '0010': 81, '1101': 51, '0101': 32, '1001': 21, '1100': 25, '0110': 75, '1000': 7, '1010': 34, '1111': 30, '0001': 30}","{'H_AFM': -0.5799999999999998, 'H_FM': -0.5799999999999998, 'H_TF': -0.5799999999999998, 'H_XY': -0.5799999999999998, 'H_RF': -0.5799999999999998}",2,"{'H_AFM': -0.5799999999999998, 'H_FM': -0.5799999999999998, 'H_TF': -0.5799999999999998, 'H_XY': -0.5799999999999998, 'H_RF': -0.5799999999999998}",True
6,"{'1101': 4, '1100': 82, '0110': 309, '1000': 92, '0101': 1, '1001': 4, '1110': 29, '0100': 84, '0010': 279, '0000': 63, '0011': 13, '0111': 12, '0001': 5, '1111': 3, '1010': 20}","{'H_AFM': 1.07, 'H_FM': 1.07, 'H_TF': 1.07, 'H_XY': 1.07, 'H_RF': 1.07}",2,"{'H_AFM': 1.07, 'H_FM': 1.07, 'H_TF': 1.07, 'H_XY': 1.07, 'H_RF': 1.07}",False
7,"{'1111': 31, '1010': 146, '1101': 92, '0101': 37, '0111': 336, '0010': 10, '0000': 200, '1000': 148}","{'H_AFM': 0.13600000000000007, 'H_FM': 0.13600000000000007, 'H_TF': 0.13600000000000007, 'H_XY': 0.13600000000000007, 'H_RF': 0.13600000000000007}",2,"{'H_AFM': 0.13600000000000007, 'H_FM': 0.13600000000000007, 'H_TF': 0.13600000000000007, 'H_XY': 0.13600000000000007, 'H_RF': 0.13600000000000007}",False
8,"{'1111': 235, '0001': 25, '1100': 27, '0000': 135, '0010': 6, '1010': 232, '1110': 30, '1001': 23, '0101': 125, '1000': 3, '0110': 52, '0100': 20, '1011': 42, '0011': 36, '0111': 9}","{'H_AFM': -0.4539999999999999, 'H_FM': -0.4539999999999999, 'H_TF': -0.4539999999999999, 'H_XY': -0.4539999999999999, 'H_RF': -0.4539999999999999}",2,"{'H_AFM': -0.4539999999999999, 'H_FM': -0.4539999999999999, 'H_TF': -0.4539999999999999, 'H_XY': -0.4539999999999999, 'H_RF': -0.4539999999999999}",False
9,"{'0100': 67, '0000': 344, '0010': 35, '0111': 52, '0011': 6, '1001': 5, '0101': 344, '1101': 27, '1100': 8, '0110': 12, '1000': 20, '0001': 71, '1111': 4, '1010': 5}","{'H_AFM': 1.5879999999999996, 'H_FM': 1.5879999999999996, 'H_TF': 1.5879999999999996, 'H_XY': 1.5879999999999996, 'H_RF': 1.5879999999999996}",2,"{'H_AFM': 1.5879999999999996, 'H_FM': 1.5879999999999996, 'H_TF': 1.5879999999999996, 'H_XY': 1.5879999999999996, 'H_RF': 1.5879999999999996}",False
10,"{'1100': 186, '0111': 1, '0011': 55, '1011': 6, '1010': 187, '1111': 170, '1001': 199, '0101': 63, '1110': 9, '0000': 63, '0010': 2, '1000': 4, '0110': 52, '1101': 3}","{'H_AFM': -0.45400000000000007, 'H_FM': -0.45400000000000007, 'H_TF': -0.45400000000000007, 'H_XY': -0.45400000000000007, 'H_RF': -0.45400000000000007}",2,"{'H_AFM': -0.45400000000000007, 'H_FM': -0.45400000000000007, 'H_TF': -0.45400000000000007, 'H_XY': -0.45400000000000007, 'H_RF': -0.45400000000000007}",False
11,"{'0000': 1, '1001': 29, '0101': 44, '0111': 27, '1011': 66, '0011': 95, '1101': 97, '1111': 309, '0001': 332}","{'H_AFM': -0.9480000000000001, 'H_FM': -0.9480000000000001, 'H_TF': -0.9480000000000001, 'H_XY': -0.9480000000000001, 'H_RF': -0.9480000000000001}",2,"{'H_AFM': -0.9480000000000001, 'H_FM': -0.9480000000000001, 'H_TF': -0.9480000000000001, 'H_XY': -0.9480000000000001, 'H_RF': -0.9480000000000001}",True
12,"{'1101': 5, '0001': 8, '1100': 76, '1000': 80, '1001': 130, '0000': 194, '0100': 130, '0101': 377}","{'H_AFM': 1.202, 'H_FM': 1.202, 'H_TF': 1.202, 'H_XY': 1.202, 'H_RF': 1.202}",2,"{'H_AFM': 1.202, 'H_FM': 1.202, 'H_TF': 1.202, 'H_XY': 1.202, 'H_RF': 1.202}",False
13,"{'1011': 3, '0010': 221, '0000': 28, '0011': 209, '1110': 40, '0100': 126, '1101': 71, '0110': 3, '1000': 12, '1100': 79, '0101': 132, '1001': 11, '0001': 27, '1111': 32, '1010': 6}","{'H_AFM': 0.528, 'H_FM': 0.528, 'H_TF': 0.528, 'H_XY': 0.528, 'H_RF': 0.528}",2,"{'H_AFM': 0.528, 'H_FM': 0.528, 'H_TF': 0.528, 'H_XY': 0.528, 'H_RF': 0.528}",False
14,"{'0101': 142, '0110': 21, '0111': 26, '0011': 44, '0001': 279, '0100': 143, '0010': 53, '0000': 292}","{'H_AFM': 2.066, 'H_FM': 2.066, 'H_TF': 2.066, 'H_XY': 2.066, 'H_RF': 2.066}",2,"{'H_AFM': 2.066, 'H_FM': 2.066, 'H_TF': 2.066, 'H_XY': 2.066, 'H_RF': 2.066}",False
15,"{'1001': 112, '1011': 96, '0100': 125, '1111': 119, '0000': 150, '0010': 128, '0110': 121, '1101': 149}","{'H_AFM': 0.14, 'H_FM': 0.14, 'H_TF': 0.14, 'H_XY': 0.14, 'H_RF': 0.14}",2,"{'H_AFM': 0.14, 'H_FM': 0.14, 'H_TF': 0.14, 'H_XY': 0.14, 'H_RF': 0.14}",False
16,"{'1001': 3, '0001': 20, '1111': 220, '1011': 21, '0011': 32, '0111': 426, '1101': 42, '0101': 236}","{'H_AFM': -1.818, 'H_FM': -1.818, 'H_TF': -1.818, 'H_XY': -1.818, 'H_RF': -1.818}",2,"{'H_AFM': -1.818, 'H_FM': -1.818, 'H_TF': -1.818, 'H_XY': -1.818, 'H_RF': -1.818}",True
17,"{'1101': 6, '0000': 14, '0100': 9, '0111': 135, '0011': 122, '1011': 36, '1100': 39, '1010': 158, '1110': 169, '1001': 15, '0101': 42, '0001': 36, '1111': 34, '1000': 48, '0110': 74, '0010': 63}","{'H_AFM': -0.4600000000000002, 'H_FM': -0.4600000000000002, 'H_TF': -0.4600000000000002, 'H_XY': -0.4600000000000002, 'H_RF': -0.4600000000000002}",2,"{'H_AFM': -0.4600000000000002, 'H_FM': -0.4600000000000002, 'H_TF': -0.4600000000000002, 'H_XY': -0.4600000000000002, 'H_RF': -0.4600000000000002}",False
18,"{'1111': 3, '1110': 8, '1010': 135, '1101': 24, '0000': 164, '0010': 52, '0110': 77, '1000': 152, '1100': 94, '0100': 90, '1001': 43, '0101': 38, '1011': 33, '0011': 11, '0111': 30, '0001': 46}","{'H_AFM': 1.134, 'H_FM': 1.134, 'H_TF': 1.134, 'H_XY': 1.134, 'H_RF': 1.134}",2,"{'H_AFM': 1.134, 'H_FM': 1.134, 'H_TF': 1.134, 'H_XY': 1.134, 'H_RF': 1.134}",False
19,"{'1100': 65, '0101': 10, '1001': 209, '0001': 91, '1111': 137, '0100': 183, '1101': 13, '1000': 7, '0110': 22, '0011': 7, '0111': 52, '1011': 15, '0010': 109, '0000': 16, '1010': 55, '1110': 9}","{'H_AFM': 0.11799999999999995, 'H_FM': 0.11799999999999995, 'H_TF': 0.11799999999999995, 'H_XY': 0.11799999999999995, 'H_RF': 0.11799999999999995}",2,"{'H_AFM': 0.11799999999999995, 'H_FM': 0.11799999999999995, 'H_TF': 0.11799999999999995, 'H_XY': 0.11799999999999995, 'H_RF': 0.11799999999999995}",False
20,"{'0010': 21, '0100': 9, '1111': 17, '1110': 159, '1011': 9, '0011': 13, '0111': 22, '0001': 205, '0101': 37, '1001': 184, '1100': 9, '0000': 46, '1000': 34, '0110': 177, '1101': 37, '1010': 21}","{'H_AFM': 0.19999999999999996, 'H_FM': 0.19999999999999996, 'H_TF': 0.19999999999999996, 'H_XY': 0.19999999999999996, 'H_RF': 0.19999999999999996}",2,"{'H_AFM': 0.19999999999999996, 'H_FM': 0.19999999999999996, 'H_TF': 0.19999999999999996, 'H_XY': 0.19999999999999996, 'H_RF': 0.19999999999999996}",False
21,"{'1101': 1, '1110': 17, '0010': 46, '0000': 175, '0100': 191, '0110': 33, '1000': 19, '1100': 30, '0011': 144, '0111': 142, '1011': 38, '1010': 14, '1111': 43, '0001': 47, '1001': 2, '0101': 58}","{'H_AFM': 0.7379999999999999, 'H_FM': 0.7379999999999999, 'H_TF': 0.7379999999999999, 'H_XY': 0.7379999999999999, 'H_RF': 0.7379999999999999}",2,"{'H_AFM': 0.7379999999999999, 'H_FM': 0.7379999999999999, 'H_TF': 0.7379999999999999, 'H_XY': 0.7379999999999999, 'H_RF': 0.7379999999999999}",False
22,"{'1110': 28, '1001': 1, '1000': 29, '1111': 1, '0001': 11, '0111': 25, '0000': 445, '0110': 460}","{'H_AFM': 1.75, 'H_FM': 1.75, 'H_TF': 1.75, 'H_XY': 1.75, 'H_RF': 1.75}",2,"{'H_AFM': 1.75, 'H_FM': 1.75, 'H_TF': 1.75, 'H_XY': 1.75, 'H_RF': 1.75}",False
23,"{'1011': 3, '0010': 246, '0000': 10, '0111': 144, '0011': 78, '1010': 70, '1111': 212, '0001': 23, '0100': 37, '1000': 2, '0110': 116, '1110': 19, '0101': 9, '1001': 25, '1100': 6}","{'H_AFM': -0.5239999999999998, 'H_FM': -0.5239999999999998, 'H_TF': -0.5239999999999998, 'H_XY': -0.5239999999999998, 'H_RF': -0.5239999999999998}",2,"{'H_AFM': -0.5239999999999998, 'H_FM': -0.5239999999999998, 'H_TF': -0.5239999999999998, 'H_XY': -0.5239999999999998, 'H_RF': -0.5239999999999998}",True
24,"{'1110': 119, '1011': 134, '0011': 4, '0110': 3, '1000': 90, '1100': 10, '0101': 184, '1001': 13, '0000': 229, '0100': 28, '1101': 98, '1111': 27, '0001': 33, '1010': 28}","{'H_AFM': 0.40800000000000014, 'H_FM': 0.40800000000000014, 'H_TF': 0.40800000000000014, 'H_XY': 0.40800000000000014, 'H_RF': 0.40800000000000014}",2,"{'H_AFM': 0.40800000000000014, 'H_FM': 0.40800000000000014, 'H_TF': 0.40800000000000014, 'H_XY': 0.40800000000000014, 'H_RF': 0.40800000000000014}",False
25,"{'1001': 35, '0001': 4, '1111': 212, '0101': 86, '1011': 14, '0011': 4, '0111': 43, '1101': 602}","{'H_AFM': -2.158, 'H_FM': -2.158, 'H_TF': -2.158, 'H_XY': -2.158, 'H_RF': -2.158}",2,"{'H_AFM': -2.158, 'H_FM': -2.158, 'H_TF': -2.158, 'H_XY': -2.158, 'H_RF': -2.158}",True
26,"{'0011': 3, '0111': 10, '0100': 79, '0001': 171, '0101': 158, '0110': 232, '0000': 85, '0010': 262}","{'H_AFM': 1.344, 'H_FM': 1.344, 'H_TF': 1.344, 'H_XY': 1.344, 'H_RF': 1.344}",2,"{'H_AFM': 1.344, 'H_FM': 1.344, 'H_TF': 1.344, 'H_XY': 1.344, 'H_RF': 1.344}",False
27,"{'1001': 19, '1000': 112, '0001': 25, '1010': 253, '1011': 148, '0011': 133, '0000': 112, '0010': 198}","{'H_AFM': 0.8220000000000001, 'H_FM': 0.8220000000000001, 'H_TF': 0.8220000000000001, 'H_XY': 0.8220000000000001, 'H_RF': 0.8220000000000001}",2,"{'H_AFM': 0.8220000000000001, 'H_FM': 0.8220000000000001, 'H_TF': 0.8220000000000001, 'H_XY': 0.8220000000000001, 'H_RF': 0.8220000000000001}",False
28,"{'1010': 1, '1101': 234, '0110': 24, '1111': 22, '0001': 1, '1110': 226, '0100': 234, '1011': 1, '0111': 217, '0011': 1, '1100': 18, '0101': 19, '1001': 1, '0010': 1}","{'H_AFM': -0.972, 'H_FM': -0.972, 'H_TF': -0.972, 'H_XY': -0.972, 'H_RF': -0.972}",2,"{'H_AFM': -0.972, 'H_FM': -0.972, 'H_TF': -0.972, 'H_XY': -0.972, 'H_RF': -0.972}",True
29,"{'1011': 128, '1010': 108, '0101': 149, '1110': 96, '0000': 117, '0100': 103, '1111': 143, '0001': 156}","{'H_AFM': -0.033999999999999975, 'H_FM': -0.033999999999999975, 'H_TF': -0.033999999999999975, 'H_XY': -0.033999999999999975, 'H_RF': -0.033999999999999975}",2,"{'H_AFM': -0.033999999999999975, 'H_FM': -0.033999999999999975, 'H_TF': -0.033999999999999975, 'H_XY': -0.033999999999999975, 'H_RF': -0.033999999999999975}",False
30,"{'1011': 1, '1111': 3, '0001': 75, '1100': 61, '1010': 71, '1110': 351, '1001': 2, '0101': 20, '0100': 3, '0111': 59, '0011': 14, '1000': 320, '0110': 13, '0010': 2, '0000': 5}","{'H_AFM': -0.013999999999999919, 'H_FM': -0.013999999999999919, 'H_TF': -0.013999999999999919, 'H_XY': -0.013999999999999919, 'H_RF': -0.013999999999999919}",2,"{'H_AFM': -0.013999999999999919, 'H_FM': -0.013999999999999919, 'H_TF': -0.013999999999999919, 'H_XY': -0.013999999999999919, 'H_RF': -0.013999999999999919}",False
31,"{'0000': 10, '0001': 121, '1111': 6, '1000': 7, '0110': 108, '1101': 123, '1010': 130, '1100': 14, '1001': 110, '0101': 127, '1110': 101, '0111': 10, '0011': 8, '1011': 10, '0010': 107, '0100': 8}","{'H_AFM': 0.01399999999999997, 'H_FM': 0.01399999999999997, 'H_TF': 0.01399999999999997, 'H_XY': 0.01399999999999997, 'H_RF': 0.01399999999999997}",2,"{'H_AFM': 0.01399999999999997, 'H_FM': 0.01399999999999997, 'H_TF': 0.01399999999999997, 'H_XY': 0.01399999999999997, 'H_RF': 0.01399999999999997}",False
32,"{'0100': 8, '0010': 43, '1010': 156, '1011': 171, '0111': 175, '0011': 44, '1000': 5, '0110': 160, '1101': 34, '0001': 48, '1111': 30, '0000': 25, '1110': 46, '1100': 40, '0101': 7, '1001': 8}","{'H_AFM': -0.6640000000000001, 'H_FM': -0.6640000000000001, 'H_TF': -0.6640000000000001, 'H_XY': -0.6640000000000001, 'H_RF': -0.6640000000000001}",2,"{'H_AFM': -0.6640000000000001, 'H_FM': -0.6640000000000001, 'H_TF': -0.6640000000000001, 'H_XY': -0.6640000000000001, 'H_RF': -0.6640000000000001}",True
33,"{'1010': 121, '0001': 39, '0000': 196, '0010': 41, '1011': 102, '0011': 222, '1000': 134, '1001': 145}","{'H_AFM': 1.008, 'H_FM': 1.008, 'H_TF': 1.008, 'H_XY': 1.008, 'H_RF': 1.008}",2,"{'H_AFM': 1.008, 'H_FM': 1.008, 'H_TF': 1.008, 'H_XY': 1.008, 'H_RF': 1.008}",False
34,"{'1111': 36, '1001': 49, '0101': 22, '1110': 49, '0001': 45, '0011': 97, '0111': 42, '1011': 81, '0010': 135, '0000': 80, '1010': 140, '0110': 52, '1000': 84, '1100': 34, '1101': 18, '0100': 36}","{'H_AFM': 0.396, 'H_FM': 0.396, 'H_TF': 0.396, 'H_XY': 0.396, 'H_RF': 0.396}",2,"{'H_AFM': 0.396, 'H_FM': 0.396, 'H_TF': 0.396, 'H_XY': 0.396, 'H_RF': 0.396}",False
35,"{'0100': 3, '1011': 6, '1111': 250, '1101': 3, '0110': 241, '0010': 3, '0000': 246, '1001': 248}","{'H_AFM': -0.02200000000000002, 'H_FM': -0.02200000000000002, 'H_TF': -0.02200000000000002, 'H_XY': -0.02200000000000002, 'H_RF': -0.02200000000000002}",2,"{'H_AFM': -0.02200000000000002, 'H_FM': -0.02200000000000002, 'H_TF': -0.02200000000000002, 'H_XY': -0.02200000000000002, 'H_RF': -0.02200000000000002}",False
36,"{'0111': 2, '1011': 1, '0000': 94, '0010': 5, '0100': 367, '1101': 23, '1100': 185, '0110': 30, '1000': 170, '1001': 33, '0101': 52, '1110': 11, '0001': 15, '1111': 2, '1010': 10}","{'H_AFM': 1.408, 'H_FM': 1.408, 'H_TF': 1.408, 'H_XY': 1.408, 'H_RF': 1.408}",2,"{'H_AFM': 1.408, 'H_FM': 1.408, 'H_TF': 1.408, 'H_XY': 1.408, 'H_RF': 1.408}",False
37,"{'1100': 3, '0001': 182, '1111': 56, '1011': 69, '0111': 60, '0011': 61, '1101': 178, '0110': 20, '1110': 14, '0101': 188, '1001': 136, '0010': 14, '0000': 2, '1010': 17}","{'H_AFM': -0.46599999999999997, 'H_FM': -0.46599999999999997, 'H_TF': -0.46599999999999997, 'H_XY': -0.46599999999999997, 'H_RF': -0.46599999999999997}",2,"{'H_AFM': -0.46599999999999997, 'H_FM': -0.46599999999999997, 'H_TF': -0.46599999999999997, 'H_XY': -0.46599999999999997, 'H_RF': -0.46599999999999997}",False
38,"{'1011': 1, '1111': 3, '1101': 10, '0011': 35, '0111': 38, '1100': 200, '1000': 189, '0110': 12, '1001': 14, '0101': 119, '1110': 53, '0001': 100, '0010': 26, '0000': 68, '1010': 50, '0100': 82}","{'H_AFM': 0.8500000000000001, 'H_FM': 0.8500000000000001, 'H_TF': 0.8500000000000001, 'H_XY': 0.8500000000000001, 'H_RF': 0.8500000000000001}",2,"{'H_AFM': 0.8500000000000001, 'H_FM': 0.8500000000000001, 'H_TF': 0.8500000000000001, 'H_XY': 0.8500000000000001, 'H_RF': 0.8500000000000001}",False
39,"{'1110': 3, '0011': 10, '0111': 65, '1011': 5, '1100': 20, '1001': 19, '0101': 178, '1101': 171, '1000': 177, '0110': 4, '0000': 166, '0010': 52, '0100': 21, '1111': 42, '0001': 17, '1010': 50}","{'H_AFM': 0.542, 'H_FM': 0.542, 'H_TF': 0.542, 'H_XY': 0.542, 'H_RF': 0.542}",2,"{'H_AFM': 0.542, 'H_FM': 0.542, 'H_TF': 0.542, 'H_XY': 0.542, 'H_RF': 0.542}",False
40,"{'0110': 7, '0001': 4, '0101': 68, '0100': 25, '0011': 23, '0111': 415, '0010': 68, '0000': 390}","{'H_AFM': 0.9240000000000002, 'H_FM': 0.9240000000000002, 'H_TF': 0.9240000000000002, 'H_XY': 0.9240000000000002, 'H_RF': 0.9240000000000002}",2,"{'H_AFM': 0.9240000000000002, 'H_FM': 0.9240000000000002, 'H_TF': 0.9240000000000002, 'H_XY': 0.9240000000000002, 'H_RF': 0.9240000000000002}",False
41,"{'0101': 1, '0111': 1, '0011': 5, '0100': 65, '0010': 458, '0000': 385, '0110': 85}","{'H_AFM': 2.584, 'H_FM': 2.584, 'H_TF': 2.584, 'H_XY': 2.584, 'H_RF': 2.584}",2,"{'H_AFM': 2.584, 'H_FM': 2.584, 'H_TF': 2.584, 'H_XY': 2.584, 'H_RF': 2.584}",False
42,"{'1101': 13, '0001': 32, '1100': 13, '0010': 135, '0000': 29, '0011': 146, '0111': 54, '1011': 20, '0100': 85, '1110': 53, '0101': 83, '1001': 93, '1111': 74, '1000': 95, '0110': 53, '1010': 22}","{'H_AFM': 0.2340000000000001, 'H_FM': 0.2340000000000001, 'H_TF': 0.2340000000000001, 'H_XY': 0.2340000000000001, 'H_RF': 0.2340000000000001}",2,"{'H_AFM': 0.2340000000000001, 'H_FM': 0.2340000000000001, 'H_TF': 0.2340000000000001, 'H_XY': 0.2340000000000001, 'H_RF': 0.2340000000000001}",False
43,"{'1000': 134, '1010': 95, '0000': 430, '0010': 341}","{'H_AFM': 2.67, 'H_FM': 2.67, 'H_TF': 2.67, 'H_XY': 2.67, 'H_RF': 2.67}",2,"{'H_AFM': 2.67, 'H_FM': 2.67, 'H_TF': 2.67, 'H_XY': 2.67, 'H_RF': 2.67}",False
44,"{'0001': 24, '1000': 86, '1001': 19, '1100': 178, '0100': 113, '0000': 57, '0101': 211, '1101': 312}","{'H_AFM': 0.04999999999999993, 'H_FM': 0.04999999999999993, 'H_TF': 0.04999999999999993, 'H_XY': 0.04999999999999993, 'H_RF': 0.04999999999999993}",2,"{'H_AFM': 0.04999999999999993, 'H_FM': 0.04999999999999993, 'H_TF': 0.04999999999999993, 'H_XY': 0.04999999999999993, 'H_RF': 0.04999999999999993}",False
45,"{'0001': 5, '1110': 11, '1100': 40, '1010': 56, '1001': 39, '0101': 35, '1101': 161, '1000': 6, '0110': 37, '0000': 43, '0010': 176, '0100': 165, '1111': 37, '1011': 150, '0111': 8, '0011': 31}","{'H_AFM': 0.06800000000000002, 'H_FM': 0.06800000000000002, 'H_TF': 0.06800000000000002, 'H_XY': 0.06800000000000002, 'H_RF': 0.06800000000000002}",2,"{'H_AFM': 0.06800000000000002, 'H_FM': 0.06800000000000002, 'H_TF': 0.06800000000000002, 'H_XY': 0.06800000000000002, 'H_RF': 0.06800000000000002}",False
46,"{'0110': 8, '1000': 25, '1100': 175, '0000': 176, '0010': 34, '0100': 38, '1011': 33, '0011': 5, '0111': 36, '1111': 5, '0001': 41, '1110': 26, '1001': 165, '0101': 197, '1010': 6, '1101': 30}","{'H_AFM': 0.71, 'H_FM': 0.71, 'H_TF': 0.71, 'H_XY': 0.71, 'H_RF': 0.71}",2,"{'H_AFM': 0.71, 'H_FM': 0.71, 'H_TF': 0.71, 'H_XY': 0.71, 'H_RF': 0.71}",False
