trial,counts,energies,iteration,energies_dict,solved
0,"{'1010': 19, '1110': 88, '0000': 101, '0010': 33, '0100': 134, '1011': 88, '0011': 16, '0111': 29, '0001': 120, '1111': 17, '0110': 18, '1000': 83, '1100': 38, '0101': 105, '1001': 35, '1101': 76}","{'H_AFM': 0.514, 'H_FM': 0.514, 'H_TF': 0.514, 'H_XY': 0.514, 'H_RF': 0.514}",1,"{'H_AFM': 0.514, 'H_FM': 0.514, 'H_TF': 0.514, 'H_XY': 0.514, 'H_RF': 0.514}",False
1,"{'1111': 35, '0100': 179, '1100': 36, '1000': 29, '1011': 46, '0111': 228, '0011': 245, '0000': 202}","{'H_AFM': 0.536, 'H_FM': 0.536, 'H_TF': 0.536, 'H_XY': 0.536, 'H_RF': 0.536}",1,"{'H_AFM': 0.536, 'H_FM': 0.536, 'H_TF': 0.536, 'H_XY': 0.536, 'H_RF': 0.536}",False
2,"{'1010': 11, '1101': 13, '0111': 97, '0011': 85, '1011': 21, '0001': 241, '1111': 6, '1100': 59, '0110': 2, '1000': 42, '1001': 47, '0101': 298, '1110': 13, '0000': 42, '0010': 10, '0100': 13}","{'H_AFM': 0.46799999999999997, 'H_FM': 0.46799999999999997, 'H_TF': 0.46799999999999997, 'H_XY': 0.46799999999999997, 'H_RF': 0.46799999999999997}",1,"{'H_AFM': 0.46799999999999997, 'H_FM': 0.46799999999999997, 'H_TF': 0.46799999999999997, 'H_XY': 0.46799999999999997, 'H_RF': 0.46799999999999997}",False
3,"{'1011': 99, '0111': 27, '0011': 17, '0001': 112, '1111': 77, '0010': 54, '0000': 68, '1100': 45, '1001': 31, '0101': 109, '1110': 54, '1000': 43, '0110': 42, '1101': 33, '0100': 77, '1010': 112}","{'H_AFM': 0.11000000000000003, 'H_FM': 0.11000000000000003, 'H_TF': 0.11000000000000003, 'H_XY': 0.11000000000000003, 'H_RF': 0.11000000000000003}",1,"{'H_AFM': 0.11000000000000003, 'H_FM': 0.11000000000000003, 'H_TF': 0.11000000000000003, 'H_XY': 0.11000000000000003, 'H_RF': 0.11000000000000003}",False
4,"{'1110': 27, '0001': 35, '1100': 34, '1001': 128, '0101': 42, '1011': 149, '0011': 31, '0111': 28, '0100': 50, '1111': 133, '1010': 25, '1000': 21, '0110': 44, '1101': 142, '0010': 58, '0000': 53}","{'H_AFM': -0.684, 'H_FM': -0.684, 'H_TF': -0.684, 'H_XY': -0.684, 'H_RF': -0.684}",1,"{'H_AFM': -0.684, 'H_FM': -0.684, 'H_TF': -0.684, 'H_XY': -0.684, 'H_RF': -0.684}",True
5,"{'1101': 26, '1011': 6, '0011': 165, '0111': 144, '0010': 192, '0000': 47, '1100': 32, '0110': 189, '1000': 28, '0100': 48, '0001': 37, '1111': 10, '1110': 7, '1001': 18, '0101': 38, '1010': 13}","{'H_AFM': 0.392, 'H_FM': 0.392, 'H_TF': 0.392, 'H_XY': 0.392, 'H_RF': 0.392}",1,"{'H_AFM': 0.392, 'H_FM': 0.392, 'H_TF': 0.392, 'H_XY': 0.392, 'H_RF': 0.392}",False
6,"{'1100': 5, '1010': 37, '1101': 20, '0010': 225, '0000': 36, '0110': 88, '1000': 10, '0001': 208, '1111': 25, '1001': 33, '0101': 129, '1110': 15, '0100': 71, '0011': 2, '0111': 96}","{'H_AFM': 0.81, 'H_FM': 0.81, 'H_TF': 0.81, 'H_XY': 0.81, 'H_RF': 0.81}",1,"{'H_AFM': 0.81, 'H_FM': 0.81, 'H_TF': 0.81, 'H_XY': 0.81, 'H_RF': 0.81}",False
7,"{'1011': 9, '0101': 2, '1001': 43, '1100': 16, '0000': 319, '0010': 57, '1000': 271, '0110': 74, '1101': 3, '1110': 78, '0001': 33, '1111': 11, '0111': 14, '0011': 8, '1010': 47, '0100': 15}","{'H_AFM': 1.7760000000000002, 'H_FM': 1.7760000000000002, 'H_TF': 1.7760000000000002, 'H_XY': 1.7760000000000002, 'H_RF': 1.7760000000000002}",1,"{'H_AFM': 1.7760000000000002, 'H_FM': 1.7760000000000002, 'H_TF': 1.7760000000000002, 'H_XY': 1.7760000000000002, 'H_RF': 1.7760000000000002}",False
8,"{'1101': 2, '1100': 29, '0010': 121, '0000': 173, '1111': 19, '0001': 45, '0100': 27, '1000': 200, '0110': 80, '1010': 118, '1011': 19, '0011': 22, '0111': 20, '1001': 39, '0101': 2, '1110': 84}","{'H_AFM': 1.1520000000000001, 'H_FM': 1.1520000000000001, 'H_TF': 1.1520000000000001, 'H_XY': 1.1520000000000001, 'H_RF': 1.1520000000000001}",1,"{'H_AFM': 1.1520000000000001, 'H_FM': 1.1520000000000001, 'H_TF': 1.1520000000000001, 'H_XY': 1.1520000000000001, 'H_RF': 1.1520000000000001}",False
9,"{'1101': 2, '0010': 5, '1010': 8, '1110': 30, '1011': 119, '0011': 212, '0111': 48, '0100': 154, '0000': 27, '1100': 241, '0101': 7, '1001': 20, '0001': 48, '1111': 27, '1000': 33, '0110': 19}","{'H_AFM': 0.08199999999999999, 'H_FM': 0.08199999999999999, 'H_TF': 0.08199999999999999, 'H_XY': 0.08199999999999999, 'H_RF': 0.08199999999999999}",1,"{'H_AFM': 0.08199999999999999, 'H_FM': 0.08199999999999999, 'H_TF': 0.08199999999999999, 'H_XY': 0.08199999999999999, 'H_RF': 0.08199999999999999}",False
