trial,counts,energies,iteration,energies_dict,solved
0,"{'1111': 7, '1110': 3, '1011': 26, '0001': 95, '0101': 290, '1001': 79, '1100': 18, '0100': 164, '0000': 48, '0010': 17, '0011': 38, '0111': 65, '1000': 58, '0110': 49, '1101': 24, '1010': 19}","{'H_AFM': 0.5960000000000001, 'H_FM': 0.5960000000000001, 'H_TF': 0.5960000000000001, 'H_XY': 0.5960000000000001, 'H_RF': 0.5960000000000001}",2,"{'H_AFM': 0.5960000000000001, 'H_FM': 0.5960000000000001, 'H_TF': 0.5960000000000001, 'H_XY': 0.5960000000000001, 'H_RF': 0.5960000000000001}",False
1,"{'1111': 3, '0100': 243, '1011': 11, '0011': 20, '0111': 7, '0000': 276, '0010': 14, '1000': 14, '0110': 75, '1101': 58, '0001': 103, '1110': 5, '0101': 115, '1001': 45, '1100': 11}","{'H_AFM': 1.678, 'H_FM': 1.678, 'H_TF': 1.678, 'H_XY': 1.678, 'H_RF': 1.678}",2,"{'H_AFM': 1.678, 'H_FM': 1.678, 'H_TF': 1.678, 'H_XY': 1.678, 'H_RF': 1.678}",False
2,"{'0010': 3, '0001': 2, '1011': 11, '0011': 68, '0111': 59, '1110': 142, '0100': 89, '0101': 3, '1001': 200, '1100': 6, '1101': 193, '1000': 9, '0110': 7, '1010': 117, '0000': 82, '1111': 9}","{'H_AFM': -0.31199999999999994, 'H_FM': -0.31199999999999994, 'H_TF': -0.31199999999999994, 'H_XY': -0.31199999999999994, 'H_RF': -0.31199999999999994}",2,"{'H_AFM': -0.31199999999999994, 'H_FM': -0.31199999999999994, 'H_TF': -0.31199999999999994, 'H_XY': -0.31199999999999994, 'H_RF': -0.31199999999999994}",False
3,"{'1101': 136, '0111': 89, '0011': 82, '1011': 102, '1111': 132, '0001': 133, '1001': 143, '1110': 2, '0101': 181}","{'H_AFM': -0.9199999999999999, 'H_FM': -0.9199999999999999, 'H_TF': -0.9199999999999999, 'H_XY': -0.9199999999999999, 'H_RF': -0.9199999999999999}",2,"{'H_AFM': -0.9199999999999999, 'H_FM': -0.9199999999999999, 'H_TF': -0.9199999999999999, 'H_XY': -0.9199999999999999, 'H_RF': -0.9199999999999999}",True
4,"{'1101': 31, '1100': 37, '0110': 11, '1000': 84, '0101': 34, '1001': 101, '1110': 147, '1011': 3, '0011': 28, '0111': 174, '0001': 53, '1111': 22, '1010': 63, '0000': 145, '0010': 38, '0100': 29}","{'H_AFM': 0.19000000000000006, 'H_FM': 0.19000000000000006, 'H_TF': 0.19000000000000006, 'H_XY': 0.19000000000000006, 'H_RF': 0.19000000000000006}",2,"{'H_AFM': 0.19000000000000006, 'H_FM': 0.19000000000000006, 'H_TF': 0.19000000000000006, 'H_XY': 0.19000000000000006, 'H_RF': 0.19000000000000006}",False
5,"{'1011': 48, '0010': 131, '0000': 60, '0111': 47, '0011': 118, '0100': 16, '0001': 67, '1111': 150, '1100': 51, '0101': 13, '1001': 10, '1010': 33, '1101': 61, '1000': 17, '0110': 58, '1110': 120}","{'H_AFM': -0.44999999999999984, 'H_FM': -0.44999999999999984, 'H_TF': -0.44999999999999984, 'H_XY': -0.44999999999999984, 'H_RF': -0.44999999999999984}",2,"{'H_AFM': -0.44999999999999984, 'H_FM': -0.44999999999999984, 'H_TF': -0.44999999999999984, 'H_XY': -0.44999999999999984, 'H_RF': -0.44999999999999984}",False
6,"{'0101': 8, '0100': 44, '0001': 6, '1101': 65, '0000': 54, '1001': 63, '1000': 354, '1100': 406}","{'H_AFM': 0.8939999999999999, 'H_FM': 0.8939999999999999, 'H_TF': 0.8939999999999999, 'H_XY': 0.8939999999999999, 'H_RF': 0.8939999999999999}",2,"{'H_AFM': 0.8939999999999999, 'H_FM': 0.8939999999999999, 'H_TF': 0.8939999999999999, 'H_XY': 0.8939999999999999, 'H_RF': 0.8939999999999999}",False
7,"{'1100': 30, '0010': 23, '1011': 32, '1010': 130, '1110': 36, '1101': 129, '0000': 11, '0101': 24, '1001': 38, '0110': 124, '1000': 88, '0001': 129, '1111': 64, '0100': 56, '0111': 11, '0011': 75}","{'H_AFM': -0.036, 'H_FM': -0.036, 'H_TF': -0.036, 'H_XY': -0.036, 'H_RF': -0.036}",2,"{'H_AFM': -0.036, 'H_FM': -0.036, 'H_TF': -0.036, 'H_XY': -0.036, 'H_RF': -0.036}",False
8,"{'0010': 9, '1101': 22, '1010': 40, '1100': 117, '1111': 116, '0001': 12, '1011': 215, '0011': 62, '0111': 32, '1110': 26, '1001': 38, '0101': 12, '0000': 70, '0100': 39, '1000': 181, '0110': 9}","{'H_AFM': -0.29200000000000004, 'H_FM': -0.29200000000000004, 'H_TF': -0.29200000000000004, 'H_XY': -0.29200000000000004, 'H_RF': -0.29200000000000004}",2,"{'H_AFM': -0.29200000000000004, 'H_FM': -0.29200000000000004, 'H_TF': -0.29200000000000004, 'H_XY': -0.29200000000000004, 'H_RF': -0.29200000000000004}",False
9,"{'0100': 6, '0000': 10, '1001': 4, '0101': 152, '1110': 19, '1011': 50, '0011': 45, '0111': 44, '1100': 76, '0010': 122, '1000': 76, '0110': 139, '1101': 3, '0001': 186, '1111': 51, '1010': 17}","{'H_AFM': 0.384, 'H_FM': 0.384, 'H_TF': 0.384, 'H_XY': 0.384, 'H_RF': 0.384}",2,"{'H_AFM': 0.384, 'H_FM': 0.384, 'H_TF': 0.384, 'H_XY': 0.384, 'H_RF': 0.384}",False
10,"{'1010': 8, '0100': 148, '0010': 60, '0000': 164, '1000': 99, '1001': 333, '1110': 8, '0101': 55, '0001': 47, '1111': 28, '0011': 17, '1011': 33}","{'H_AFM': 1.17, 'H_FM': 1.17, 'H_TF': 1.17, 'H_XY': 1.17, 'H_RF': 1.17}",2,"{'H_AFM': 1.17, 'H_FM': 1.17, 'H_TF': 1.17, 'H_XY': 1.17, 'H_RF': 1.17}",False
11,"{'1110': 5, '1100': 5, '1111': 127, '0001': 13, '1011': 23, '0111': 213, '0011': 3, '1101': 266, '1010': 120, '0110': 10, '1000': 46, '0101': 63, '1001': 6, '0000': 78, '0010': 22}","{'H_AFM': -1.0479999999999998, 'H_FM': -1.0479999999999998, 'H_TF': -1.0479999999999998, 'H_XY': -1.0479999999999998, 'H_RF': -1.0479999999999998}",2,"{'H_AFM': -1.0479999999999998, 'H_FM': -1.0479999999999998, 'H_TF': -1.0479999999999998, 'H_XY': -1.0479999999999998, 'H_RF': -1.0479999999999998}",True
12,"{'0010': 1, '0011': 1, '0000': 133, '0100': 112, '1010': 213, '1110': 216, '0001': 19, '1111': 27, '1100': 111, '0101': 9, '1001': 8, '1101': 18, '1000': 96, '0110': 1, '1011': 35}","{'H_AFM': 0.342, 'H_FM': 0.342, 'H_TF': 0.342, 'H_XY': 0.342, 'H_RF': 0.342}",2,"{'H_AFM': 0.342, 'H_FM': 0.342, 'H_TF': 0.342, 'H_XY': 0.342, 'H_RF': 0.342}",False
13,"{'1010': 7, '1110': 15, '1011': 6, '1100': 61, '0011': 25, '0111': 60, '0100': 235, '1001': 33, '0101': 222, '1101': 56, '1000': 27, '0110': 34, '0000': 98, '0010': 17, '0001': 86, '1111': 18}","{'H_AFM': 0.7760000000000001, 'H_FM': 0.7760000000000001, 'H_TF': 0.7760000000000001, 'H_XY': 0.7760000000000001, 'H_RF': 0.7760000000000001}",2,"{'H_AFM': 0.7760000000000001, 'H_FM': 0.7760000000000001, 'H_TF': 0.7760000000000001, 'H_XY': 0.7760000000000001, 'H_RF': 0.7760000000000001}",False
14,"{'1110': 10, '0010': 3, '1100': 26, '1101': 257, '1000': 71, '0110': 14, '0001': 268, '1111': 63, '0100': 62, '0000': 30, '1010': 17, '0111': 19, '0011': 65, '1011': 16, '1001': 38, '0101': 41}","{'H_AFM': 0.07200000000000001, 'H_FM': 0.07200000000000001, 'H_TF': 0.07200000000000001, 'H_XY': 0.07200000000000001, 'H_RF': 0.07200000000000001}",2,"{'H_AFM': 0.07200000000000001, 'H_FM': 0.07200000000000001, 'H_TF': 0.07200000000000001, 'H_XY': 0.07200000000000001, 'H_RF': 0.07200000000000001}",False
