trial,counts,energies,iteration,energies_dict,solved
0,"{'1011': 9, '0001': 24, '0100': 143, '0010': 138, '0000': 137, '1100': 76, '1001': 16, '0101': 26, '1110': 76, '1000': 68, '0110': 135, '1101': 6, '0111': 34, '0011': 25, '1111': 13, '1010': 74}","{'H_AFM': 0.992, 'H_FM': 0.992, 'H_TF': 0.992, 'H_XY': 0.992, 'H_RF': 0.992}",6,"{'H_AFM': 0.992, 'H_FM': 0.992, 'H_TF': 0.992, 'H_XY': 0.992, 'H_RF': 0.992}",False
1,"{'0001': 8, '1100': 147, '1000': 160, '0110': 129, '1101': 11, '0000': 96, '0010': 123, '1010': 99, '1110': 96, '1001': 10, '0101': 9, '1011': 6, '0111': 10, '0011': 9, '0100': 84, '1111': 3}","{'H_AFM': 0.876, 'H_FM': 0.876, 'H_TF': 0.876, 'H_XY': 0.876, 'H_RF': 0.876}",6,"{'H_AFM': 0.876, 'H_FM': 0.876, 'H_TF': 0.876, 'H_XY': 0.876, 'H_RF': 0.876}",False
2,"{'0001': 208, '0110': 174, '0100': 179, '0010': 65, '0000': 70, '0101': 55, '0111': 72, '0011': 177}","{'H_AFM': 1.0400000000000003, 'H_FM': 1.0400000000000003, 'H_TF': 1.0400000000000003, 'H_XY': 1.0400000000000003, 'H_RF': 1.0400000000000003}",6,"{'H_AFM': 1.0400000000000003, 'H_FM': 1.0400000000000003, 'H_TF': 1.0400000000000003, 'H_XY': 1.0400000000000003, 'H_RF': 1.0400000000000003}",False
3,"{'1000': 34, '1001': 10, '1010': 104, '0011': 41, '1011': 48, '0001': 206, '0010': 121, '0000': 436}","{'H_AFM': 2.37, 'H_FM': 2.37, 'H_TF': 2.37, 'H_XY': 2.37, 'H_RF': 2.37}",6,"{'H_AFM': 2.37, 'H_FM': 2.37, 'H_TF': 2.37, 'H_XY': 2.37, 'H_RF': 2.37}",False
4,"{'1100': 31, '0100': 38, '1111': 100, '0001': 94, '1110': 40, '1001': 96, '0101': 92, '1011': 83, '0011': 83, '0111': 113, '1000': 29, '0110': 36, '1101': 89, '1010': 28, '0000': 24, '0010': 24}","{'H_AFM': -0.584, 'H_FM': -0.584, 'H_TF': -0.584, 'H_XY': -0.584, 'H_RF': -0.584}",6,"{'H_AFM': -0.584, 'H_FM': -0.584, 'H_TF': -0.584, 'H_XY': -0.584, 'H_RF': -0.584}",True
5,"{'0000': 2, '0010': 117, '1100': 24, '1110': 857}","{'H_AFM': -1.472, 'H_FM': -1.472, 'H_TF': -1.472, 'H_XY': -1.472, 'H_RF': -1.472}",6,"{'H_AFM': -1.472, 'H_FM': -1.472, 'H_TF': -1.472, 'H_XY': -1.472, 'H_RF': -1.472}",True
6,"{'1101': 5, '1001': 1, '1100': 2, '1000': 15, '0001': 35, '0101': 177, '0100': 152, '0000': 613}","{'H_AFM': 2.846, 'H_FM': 2.846, 'H_TF': 2.846, 'H_XY': 2.846, 'H_RF': 2.846}",6,"{'H_AFM': 2.846, 'H_FM': 2.846, 'H_TF': 2.846, 'H_XY': 2.846, 'H_RF': 2.846}",False
7,"{'1110': 4, '1100': 33, '0110': 8, '1000': 35, '1001': 114, '0101': 110, '1111': 90, '0001': 101, '1011': 107, '0011': 97, '0111': 120, '0100': 25, '0000': 27, '0010': 8, '1101': 110, '1010': 11}","{'H_AFM': -0.596, 'H_FM': -0.596, 'H_TF': -0.596, 'H_XY': -0.596, 'H_RF': -0.596}",6,"{'H_AFM': -0.596, 'H_FM': -0.596, 'H_TF': -0.596, 'H_XY': -0.596, 'H_RF': -0.596}",True
8,"{'0010': 2, '1011': 3, '1100': 172, '0011': 164, '0111': 62, '1001': 18, '0101': 169, '1110': 51, '0001': 63, '1111': 16, '1010': 176, '0000': 26, '1000': 59, '0110': 13, '0100': 6}","{'H_AFM': 0.068, 'H_FM': 0.068, 'H_TF': 0.068, 'H_XY': 0.068, 'H_RF': 0.068}",6,"{'H_AFM': 0.068, 'H_FM': 0.068, 'H_TF': 0.068, 'H_XY': 0.068, 'H_RF': 0.068}",False
9,"{'1010': 33, '1101': 32, '0101': 67, '0000': 136, '0010': 52, '1000': 278, '1111': 271, '0111': 131}","{'H_AFM': -0.20599999999999996, 'H_FM': -0.20599999999999996, 'H_TF': -0.20599999999999996, 'H_XY': -0.20599999999999996, 'H_RF': -0.20599999999999996}",6,"{'H_AFM': -0.20599999999999996, 'H_FM': -0.20599999999999996, 'H_TF': -0.20599999999999996, 'H_XY': -0.20599999999999996, 'H_RF': -0.20599999999999996}",False
10,"{'1010': 23, '0000': 24, '0010': 30, '0001': 240, '1000': 34, '1001': 209, '0011': 216, '1011': 224}","{'H_AFM': 0.25599999999999995, 'H_FM': 0.25599999999999995, 'H_TF': 0.25599999999999995, 'H_XY': 0.25599999999999995, 'H_RF': 0.25599999999999995}",6,"{'H_AFM': 0.25599999999999995, 'H_FM': 0.25599999999999995, 'H_TF': 0.25599999999999995, 'H_XY': 0.25599999999999995, 'H_RF': 0.25599999999999995}",False
11,"{'1111': 1, '0011': 2, '1110': 48, '0110': 37, '0100': 36, '1100': 33, '1000': 194, '0000': 203, '0010': 207, '1010': 239}","{'H_AFM': 1.586, 'H_FM': 1.586, 'H_TF': 1.586, 'H_XY': 1.586, 'H_RF': 1.586}",6,"{'H_AFM': 1.586, 'H_FM': 1.586, 'H_TF': 1.586, 'H_XY': 1.586, 'H_RF': 1.586}",False
12,"{'0010': 1, '0000': 5, '1011': 121, '0011': 12, '0111': 14, '1110': 131, '1010': 118, '0101': 7, '1001': 92, '1100': 138, '1101': 128, '1000': 131, '0110': 3, '1111': 89, '0001': 9, '0100': 1}","{'H_AFM': -0.84, 'H_FM': -0.84, 'H_TF': -0.84, 'H_XY': -0.84, 'H_RF': -0.84}",6,"{'H_AFM': -0.84, 'H_FM': -0.84, 'H_TF': -0.84, 'H_XY': -0.84, 'H_RF': -0.84}",True
13,"{'1010': 30, '1000': 27, '0000': 447, '0010': 496}","{'H_AFM': 2.834, 'H_FM': 2.834, 'H_TF': 2.834, 'H_XY': 2.834, 'H_RF': 2.834}",6,"{'H_AFM': 2.834, 'H_FM': 2.834, 'H_TF': 2.834, 'H_XY': 2.834, 'H_RF': 2.834}",False
