trial,counts,energies,iteration,energies_dict,solved
0,"{'0001': 30, '0110': 6, '1000': 4, '0000': 217, '0010': 18, '1100': 26, '1001': 24, '0101': 194, '1110': 178, '1111': 28, '1011': 199, '0011': 4, '0111': 23, '0100': 27, '1101': 4, '1010': 18}","{'H_AFM': 0.10599999999999998, 'H_FM': 0.10599999999999998, 'H_TF': 0.10599999999999998, 'H_XY': 0.10599999999999998, 'H_RF': 0.10599999999999998}",7,"{'H_AFM': 0.10599999999999998, 'H_FM': 0.10599999999999998, 'H_TF': 0.10599999999999998, 'H_XY': 0.10599999999999998, 'H_RF': 0.10599999999999998}",False
1,"{'0010': 4, '1111': 5, '1011': 110, '0111': 122, '0011': 4, '0000': 123, '1100': 125, '1010': 138, '1000': 6, '0110': 105, '1101': 110, '0001': 123, '1110': 9, '1001': 7, '0101': 5, '0100': 4}","{'H_AFM': 0.04400000000000002, 'H_FM': 0.04400000000000002, 'H_TF': 0.04400000000000002, 'H_XY': 0.04400000000000002, 'H_RF': 0.04400000000000002}",7,"{'H_AFM': 0.04400000000000002, 'H_FM': 0.04400000000000002, 'H_TF': 0.04400000000000002, 'H_XY': 0.04400000000000002, 'H_RF': 0.04400000000000002}",False
2,"{'0011': 7, '1011': 21, '1010': 52, '0001': 46, '0010': 110, '0000': 435, '1001': 85, '1000': 244}","{'H_AFM': 2.4979999999999998, 'H_FM': 2.4979999999999998, 'H_TF': 2.4979999999999998, 'H_XY': 2.4979999999999998, 'H_RF': 2.4979999999999998}",7,"{'H_AFM': 2.4979999999999998, 'H_FM': 2.4979999999999998, 'H_TF': 2.4979999999999998, 'H_XY': 2.4979999999999998, 'H_RF': 2.4979999999999998}",False
3,"{'1000': 13, '1010': 14, '0010': 487, '0000': 486}","{'H_AFM': 2.944, 'H_FM': 2.944, 'H_TF': 2.944, 'H_XY': 2.944, 'H_RF': 2.944}",7,"{'H_AFM': 2.944, 'H_FM': 2.944, 'H_TF': 2.944, 'H_XY': 2.944, 'H_RF': 2.944}",False
4,"{'1010': 40, '1011': 48, '0011': 91, '0000': 246, '0010': 71, '0001': 237, '1000': 134, '1001': 133}","{'H_AFM': 1.772, 'H_FM': 1.772, 'H_TF': 1.772, 'H_XY': 1.772, 'H_RF': 1.772}",7,"{'H_AFM': 1.772, 'H_FM': 1.772, 'H_TF': 1.772, 'H_XY': 1.772, 'H_RF': 1.772}",False
5,"{'1010': 20, '1011': 32, '0011': 125, '1001': 80, '1000': 117, '0001': 187, '0010': 48, '0000': 391}","{'H_AFM': 2.204, 'H_FM': 2.204, 'H_TF': 2.204, 'H_XY': 2.204, 'H_RF': 2.204}",7,"{'H_AFM': 2.204, 'H_FM': 2.204, 'H_TF': 2.204, 'H_XY': 2.204, 'H_RF': 2.204}",False
6,"{'1111': 12, '1011': 81, '0111': 10, '0011': 96, '0101': 26, '1001': 162, '1100': 13, '0001': 143, '1000': 140, '0110': 7, '1101': 22, '1110': 12, '0000': 116, '0010': 70, '1010': 74, '0100': 16}","{'H_AFM': 0.904, 'H_FM': 0.904, 'H_TF': 0.904, 'H_XY': 0.904, 'H_RF': 0.904}",7,"{'H_AFM': 0.904, 'H_FM': 0.904, 'H_TF': 0.904, 'H_XY': 0.904, 'H_RF': 0.904}",False
7,"{'0001': 98, '0000': 601, '1100': 252, '1101': 49}","{'H_AFM': 2.5020000000000002, 'H_FM': 2.5020000000000002, 'H_TF': 2.5020000000000002, 'H_XY': 2.5020000000000002, 'H_RF': 2.5020000000000002}",7,"{'H_AFM': 2.5020000000000002, 'H_FM': 2.5020000000000002, 'H_TF': 2.5020000000000002, 'H_XY': 2.5020000000000002, 'H_RF': 2.5020000000000002}",False
8,"{'1100': 3, '0001': 2, '1111': 89, '1010': 164, '1001': 4, '0101': 90, '1110': 4, '0000': 148, '0010': 145, '1011': 10, '0111': 90, '0011': 10, '1101': 81, '0110': 5, '1000': 151, '0100': 4}","{'H_AFM': 0.47, 'H_FM': 0.47, 'H_TF': 0.47, 'H_XY': 0.47, 'H_RF': 0.47}",7,"{'H_AFM': 0.47, 'H_FM': 0.47, 'H_TF': 0.47, 'H_XY': 0.47, 'H_RF': 0.47}",False
9,"{'1010': 183, '0010': 326, '0000': 299, '1000': 192}","{'H_AFM': 2.2319999999999998, 'H_FM': 2.2319999999999998, 'H_TF': 2.2319999999999998, 'H_XY': 2.2319999999999998, 'H_RF': 2.2319999999999998}",7,"{'H_AFM': 2.2319999999999998, 'H_FM': 2.2319999999999998, 'H_TF': 2.2319999999999998, 'H_XY': 2.2319999999999998, 'H_RF': 2.2319999999999998}",False
