trial,counts,energies,iteration,energies_dict,solved
0,"{'1101': 3, '0100': 8, '1011': 170, '0011': 205, '0111': 53, '0010': 161, '0000': 22, '1010': 140, '0001': 9, '1111': 57, '1110': 60, '1100': 9, '0110': 55, '1000': 26, '0101': 2, '1001': 20}","{'H_AFM': -0.304, 'H_FM': -0.304, 'H_TF': -0.304, 'H_XY': -0.304, 'H_RF': -0.304}",9,"{'H_AFM': -0.304, 'H_FM': -0.304, 'H_TF': -0.304, 'H_XY': -0.304, 'H_RF': -0.304}",False
1,"{'0001': 4, '1111': 50, '0100': 4, '1010': 38, '1110': 1, '0101': 465, '0000': 438}","{'H_AFM': 1.566, 'H_FM': 1.566, 'H_TF': 1.566, 'H_XY': 1.566, 'H_RF': 1.566}",9,"{'H_AFM': 1.566, 'H_FM': 1.566, 'H_TF': 1.566, 'H_XY': 1.566, 'H_RF': 1.566}",False
2,"{'0110': 29, '0100': 25, '1110': 53, '1100': 67, '1000': 240, '0010': 157, '0000': 170, '1010': 259}","{'H_AFM': 1.4180000000000001, 'H_FM': 1.4180000000000001, 'H_TF': 1.4180000000000001, 'H_XY': 1.4180000000000001, 'H_RF': 1.4180000000000001}",9,"{'H_AFM': 1.4180000000000001, 'H_FM': 1.4180000000000001, 'H_TF': 1.4180000000000001, 'H_XY': 1.4180000000000001, 'H_RF': 1.4180000000000001}",False
3,"{'0100': 32, '0000': 28, '0001': 144, '1101': 282, '1100': 53, '1000': 39, '1001': 243, '0101': 179}","{'H_AFM': -0.021999999999999978, 'H_FM': -0.021999999999999978, 'H_TF': -0.021999999999999978, 'H_XY': -0.021999999999999978, 'H_RF': -0.021999999999999978}",9,"{'H_AFM': -0.021999999999999978, 'H_FM': -0.021999999999999978, 'H_TF': -0.021999999999999978, 'H_XY': -0.021999999999999978, 'H_RF': -0.021999999999999978}",False
4,"{'1010': 1, '0000': 3, '0010': 3, '0001': 394, '0011': 448, '1011': 72, '1001': 79}","{'H_AFM': 0.662, 'H_FM': 0.662, 'H_TF': 0.662, 'H_XY': 0.662, 'H_RF': 0.662}",9,"{'H_AFM': 0.662, 'H_FM': 0.662, 'H_TF': 0.662, 'H_XY': 0.662, 'H_RF': 0.662}",False
5,"{'0011': 7, '0001': 3, '0010': 660, '0000': 330}","{'H_AFM': 2.646, 'H_FM': 2.646, 'H_TF': 2.646, 'H_XY': 2.646, 'H_RF': 2.646}",9,"{'H_AFM': 2.646, 'H_FM': 2.646, 'H_TF': 2.646, 'H_XY': 2.646, 'H_RF': 2.646}",False
6,"{'0001': 1, '0010': 5, '0000': 2, '0110': 323, '0100': 160, '0101': 334, '0011': 3, '0111': 172}","{'H_AFM': -0.003999999999999948, 'H_FM': -0.003999999999999948, 'H_TF': -0.003999999999999948, 'H_XY': -0.003999999999999948, 'H_RF': -0.003999999999999948}",9,"{'H_AFM': -0.003999999999999948, 'H_FM': -0.003999999999999948, 'H_TF': -0.003999999999999948, 'H_XY': -0.003999999999999948, 'H_RF': -0.003999999999999948}",False
7,"{'0100': 27, '0000': 37, '0101': 36, '1001': 82, '1100': 83, '1110': 59, '0001': 40, '1111': 69, '1101': 78, '1000': 108, '0110': 63, '0010': 43, '1010': 75, '1011': 69, '0011': 65, '0111': 66}","{'H_AFM': -0.23600000000000004, 'H_FM': -0.23600000000000004, 'H_TF': -0.23600000000000004, 'H_XY': -0.23600000000000004, 'H_RF': -0.23600000000000004}",9,"{'H_AFM': -0.23600000000000004, 'H_FM': -0.23600000000000004, 'H_TF': -0.23600000000000004, 'H_XY': -0.23600000000000004, 'H_RF': -0.23600000000000004}",False
8,"{'0100': 10, '1110': 7, '1100': 42, '1010': 43, '1011': 146, '0111': 142, '0011': 52, '0001': 146, '1111': 42, '1101': 134, '0110': 53, '1000': 17, '0101': 56, '1001': 47, '0010': 18, '0000': 45}","{'H_AFM': -0.4639999999999999, 'H_FM': -0.4639999999999999, 'H_TF': -0.4639999999999999, 'H_XY': -0.4639999999999999, 'H_RF': -0.4639999999999999}",9,"{'H_AFM': -0.4639999999999999, 'H_FM': -0.4639999999999999, 'H_TF': -0.4639999999999999, 'H_XY': -0.4639999999999999, 'H_RF': -0.4639999999999999}",False
9,"{'0000': 5, '0010': 2, '0100': 7, '1011': 183, '0111': 1, '0011': 5, '1100': 190, '1111': 43, '0001': 13, '1110': 205, '1001': 199, '0101': 4, '1101': 41, '1000': 47, '0110': 11, '1010': 44}","{'H_AFM': -0.8739999999999999, 'H_FM': -0.8739999999999999, 'H_TF': -0.8739999999999999, 'H_XY': -0.8739999999999999, 'H_RF': -0.8739999999999999}",9,"{'H_AFM': -0.8739999999999999, 'H_FM': -0.8739999999999999, 'H_TF': -0.8739999999999999, 'H_XY': -0.8739999999999999, 'H_RF': -0.8739999999999999}",True
10,"{'0100': 4, '0000': 14, '0011': 649, '0111': 333}","{'H_AFM': -0.6020000000000001, 'H_FM': -0.6020000000000001, 'H_TF': -0.6020000000000001, 'H_XY': -0.6020000000000001, 'H_RF': -0.6020000000000001}",9,"{'H_AFM': -0.6020000000000001, 'H_FM': -0.6020000000000001, 'H_TF': -0.6020000000000001, 'H_XY': -0.6020000000000001, 'H_RF': -0.6020000000000001}",True
11,"{'1101': 23, '0000': 25, '0010': 78, '1100': 93, '0011': 310, '1111': 74, '0001': 79, '1110': 318}","{'H_AFM': -0.564, 'H_FM': -0.564, 'H_TF': -0.564, 'H_XY': -0.564, 'H_RF': -0.564}",9,"{'H_AFM': -0.564, 'H_FM': -0.564, 'H_TF': -0.564, 'H_XY': -0.564, 'H_RF': -0.564}",True
12,"{'0110': 319, '1110': 137, '0000': 364, '1000': 180}","{'H_AFM': 1.5419999999999998, 'H_FM': 1.5419999999999998, 'H_TF': 1.5419999999999998, 'H_XY': 1.5419999999999998, 'H_RF': 1.5419999999999998}",9,"{'H_AFM': 1.5419999999999998, 'H_FM': 1.5419999999999998, 'H_TF': 1.5419999999999998, 'H_XY': 1.5419999999999998, 'H_RF': 1.5419999999999998}",False
13,"{'0010': 5, '1101': 12, '1000': 5, '0110': 12, '0001': 359, '1111': 53, '1011': 10, '0111': 357, '0011': 62, '1001': 59, '0101': 45, '1110': 3, '0000': 15, '0100': 3}","{'H_AFM': -0.172, 'H_FM': -0.172, 'H_TF': -0.172, 'H_XY': -0.172, 'H_RF': -0.172}",9,"{'H_AFM': -0.172, 'H_FM': -0.172, 'H_TF': -0.172, 'H_XY': -0.172, 'H_RF': -0.172}",False
14,"{'0001': 26, '1001': 23, '1000': 493, '1010': 22, '0010': 8, '0000': 428}","{'H_AFM': 2.766, 'H_FM': 2.766, 'H_TF': 2.766, 'H_XY': 2.766, 'H_RF': 2.766}",9,"{'H_AFM': 2.766, 'H_FM': 2.766, 'H_TF': 2.766, 'H_XY': 2.766, 'H_RF': 2.766}",False
15,"{'0111': 1, '0110': 31, '0101': 30, '0001': 54, '0100': 621, '0010': 12, '0000': 251}","{'H_AFM': 2.3760000000000003, 'H_FM': 2.3760000000000003, 'H_TF': 2.3760000000000003, 'H_XY': 2.3760000000000003, 'H_RF': 2.3760000000000003}",9,"{'H_AFM': 2.3760000000000003, 'H_FM': 2.3760000000000003, 'H_TF': 2.3760000000000003, 'H_XY': 2.3760000000000003, 'H_RF': 2.3760000000000003}",False
16,"{'1100': 1, '1111': 1, '0001': 8, '1101': 51, '1110': 69, '0011': 438, '0010': 6, '0000': 426}","{'H_AFM': 1.488, 'H_FM': 1.488, 'H_TF': 1.488, 'H_XY': 1.488, 'H_RF': 1.488}",9,"{'H_AFM': 1.488, 'H_FM': 1.488, 'H_TF': 1.488, 'H_XY': 1.488, 'H_RF': 1.488}",False
17,"{'1011': 2, '1110': 2, '1010': 205, '0101': 48, '1001': 4, '1100': 4, '1101': 216, '1000': 190, '0110': 2, '0111': 39, '0011': 3, '1111': 200, '0001': 1, '0000': 36, '0010': 48}","{'H_AFM': -0.6960000000000001, 'H_FM': -0.6960000000000001, 'H_TF': -0.6960000000000001, 'H_XY': -0.6960000000000001, 'H_RF': -0.6960000000000001}",9,"{'H_AFM': -0.6960000000000001, 'H_FM': -0.6960000000000001, 'H_TF': -0.6960000000000001, 'H_XY': -0.6960000000000001, 'H_RF': -0.6960000000000001}",True
