trial,counts,energies,iteration,energies_dict,solved
0,"{'1010': 63, '1101': 4, '0110': 11, '1110': 9, '1000': 1, '1001': 10, '0010': 76, '1111': 60, '0001': 15, '0111': 51, '1011': 356, '0011': 344}","{'H_AFM': -0.8959999999999999, 'H_FM': -0.8959999999999999, 'H_TF': -0.8959999999999999, 'H_XY': -0.8959999999999999, 'H_RF': -0.8959999999999999}",8,"{'H_AFM': -0.8959999999999999, 'H_FM': -0.8959999999999999, 'H_TF': -0.8959999999999999, 'H_XY': -0.8959999999999999, 'H_RF': -0.8959999999999999}",True
1,"{'1011': 16, '0011': 71, '1010': 106, '0000': 55, '0010': 256, '1001': 81, '1000': 392, '0001': 23}","{'H_AFM': 1.53, 'H_FM': 1.53, 'H_TF': 1.53, 'H_XY': 1.53, 'H_RF': 1.53}",8,"{'H_AFM': 1.53, 'H_FM': 1.53, 'H_TF': 1.53, 'H_XY': 1.53, 'H_RF': 1.53}",False
2,"{'0100': 1, '0000': 1, '0111': 115, '0011': 111, '1011': 117, '1111': 132, '0001': 1, '1110': 127, '1001': 1, '0101': 1, '1010': 115, '1101': 1, '0010': 145, '0110': 126, '1000': 3, '1100': 3}","{'H_AFM': -0.944, 'H_FM': -0.944, 'H_TF': -0.944, 'H_XY': -0.944, 'H_RF': -0.944}",8,"{'H_AFM': -0.944, 'H_FM': -0.944, 'H_TF': -0.944, 'H_XY': -0.944, 'H_RF': -0.944}",True
3,"{'0001': 22, '1010': 10, '0000': 138, '0010': 27, '0011': 4, '1011': 114, '1000': 86, '1001': 599}","{'H_AFM': 0.5940000000000001, 'H_FM': 0.5940000000000001, 'H_TF': 0.5940000000000001, 'H_XY': 0.5940000000000001, 'H_RF': 0.5940000000000001}",8,"{'H_AFM': 0.5940000000000001, 'H_FM': 0.5940000000000001, 'H_TF': 0.5940000000000001, 'H_XY': 0.5940000000000001, 'H_RF': 0.5940000000000001}",False
4,"{'1011': 2, '1100': 55, '0011': 149, '0111': 38, '0001': 271, '1010': 140, '1001': 2, '0101': 52, '1110': 25, '1101': 2, '1000': 258, '0110': 3, '0100': 2, '0010': 1}","{'H_AFM': 0.93, 'H_FM': 0.93, 'H_TF': 0.93, 'H_XY': 0.93, 'H_RF': 0.93}",8,"{'H_AFM': 0.93, 'H_FM': 0.93, 'H_TF': 0.93, 'H_XY': 0.93, 'H_RF': 0.93}",False
5,"{'1100': 31, '0011': 18, '0111': 94, '0100': 34, '1111': 103, '0001': 32, '1110': 23, '1011': 19, '0101': 128, '1001': 25, '0000': 102, '0010': 78, '1010': 82, '1000': 97, '0110': 25, '1101': 109}","{'H_AFM': -0.012000000000000066, 'H_FM': -0.012000000000000066, 'H_TF': -0.012000000000000066, 'H_XY': -0.012000000000000066, 'H_RF': -0.012000000000000066}",8,"{'H_AFM': -0.012000000000000066, 'H_FM': -0.012000000000000066, 'H_TF': -0.012000000000000066, 'H_XY': -0.012000000000000066, 'H_RF': -0.012000000000000066}",False
6,"{'0000': 164, '1010': 86, '0100': 187, '1111': 155, '0001': 78, '1110': 94, '0101': 90, '1011': 146}","{'H_AFM': 0.08600000000000008, 'H_FM': 0.08600000000000008, 'H_TF': 0.08600000000000008, 'H_XY': 0.08600000000000008, 'H_RF': 0.08600000000000008}",8,"{'H_AFM': 0.08600000000000008, 'H_FM': 0.08600000000000008, 'H_TF': 0.08600000000000008, 'H_XY': 0.08600000000000008, 'H_RF': 0.08600000000000008}",False
7,"{'1000': 1, '1010': 59, '1110': 76, '0100': 4, '0010': 3, '0000': 857}","{'H_AFM': 3.292, 'H_FM': 3.292, 'H_TF': 3.292, 'H_XY': 3.292, 'H_RF': 3.292}",8,"{'H_AFM': 3.292, 'H_FM': 3.292, 'H_TF': 3.292, 'H_XY': 3.292, 'H_RF': 3.292}",False
8,"{'1001': 18, '0000': 17, '0010': 494, '1011': 471}","{'H_AFM': 0.1140000000000001, 'H_FM': 0.1140000000000001, 'H_TF': 0.1140000000000001, 'H_XY': 0.1140000000000001, 'H_RF': 0.1140000000000001}",8,"{'H_AFM': 0.1140000000000001, 'H_FM': 0.1140000000000001, 'H_TF': 0.1140000000000001, 'H_XY': 0.1140000000000001, 'H_RF': 0.1140000000000001}",False
9,"{'1100': 1, '0100': 10, '0000': 104, '0010': 5, '1101': 97, '0110': 99, '1000': 151, '1011': 92, '0011': 133, '0111': 2, '1110': 88, '1001': 7, '0101': 104, '1010': 49, '0001': 48, '1111': 10}","{'H_AFM': 0.24600000000000002, 'H_FM': 0.24600000000000002, 'H_TF': 0.24600000000000002, 'H_XY': 0.24600000000000002, 'H_RF': 0.24600000000000002}",8,"{'H_AFM': 0.24600000000000002, 'H_FM': 0.24600000000000002, 'H_TF': 0.24600000000000002, 'H_XY': 0.24600000000000002, 'H_RF': 0.24600000000000002}",False
