trial,counts,energies,iteration,energies_dict,solved
0,"{'1000': 82, '1100': 150, '0000': 110, '0100': 97, '0011': 99, '1011': 193, '0111': 157, '1111': 112}","{'H_AFM': -0.35, 'H_FM': -0.35, 'H_TF': -0.35, 'H_XY': -0.35, 'H_RF': -0.35}",6,"{'H_AFM': -0.35, 'H_FM': -0.35, 'H_TF': -0.35, 'H_XY': -0.35, 'H_RF': -0.35}",False
1,"{'0111': 24, '1101': 13, '1111': 19, '0101': 22, '0000': 251, '0010': 194, '1010': 264, '1000': 213}","{'H_AFM': 1.668, 'H_FM': 1.668, 'H_TF': 1.668, 'H_XY': 1.668, 'H_RF': 1.668}",6,"{'H_AFM': 1.668, 'H_FM': 1.668, 'H_TF': 1.668, 'H_XY': 1.668, 'H_RF': 1.668}",False
2,"{'0010': 9, '0000': 17, '0001': 73, '0100': 59, '0101': 352, '0110': 82, '0011': 71, '0111': 337}","{'H_AFM': -0.32400000000000007, 'H_FM': -0.32400000000000007, 'H_TF': -0.32400000000000007, 'H_XY': -0.32400000000000007, 'H_RF': -0.32400000000000007}",6,"{'H_AFM': -0.32400000000000007, 'H_FM': -0.32400000000000007, 'H_TF': -0.32400000000000007, 'H_XY': -0.32400000000000007, 'H_RF': -0.32400000000000007}",False
3,"{'1001': 1, '0000': 73, '0001': 435, '0100': 67, '0101': 424}","{'H_AFM': 1.2959999999999998, 'H_FM': 1.2959999999999998, 'H_TF': 1.2959999999999998, 'H_XY': 1.2959999999999998, 'H_RF': 1.2959999999999998}",6,"{'H_AFM': 1.2959999999999998, 'H_FM': 1.2959999999999998, 'H_TF': 1.2959999999999998, 'H_XY': 1.2959999999999998, 'H_RF': 1.2959999999999998}",False
4,"{'0000': 4, '1101': 11, '0001': 3, '0100': 342, '1100': 1, '1000': 139, '1001': 357, '0101': 143}","{'H_AFM': 0.9620000000000001, 'H_FM': 0.9620000000000001, 'H_TF': 0.9620000000000001, 'H_XY': 0.9620000000000001, 'H_RF': 0.9620000000000001}",6,"{'H_AFM': 0.9620000000000001, 'H_FM': 0.9620000000000001, 'H_TF': 0.9620000000000001, 'H_XY': 0.9620000000000001, 'H_RF': 0.9620000000000001}",False
5,"{'1001': 20, '1111': 48, '0100': 63, '1011': 253, '0010': 19, '0000': 269, '1101': 165, '0110': 163}","{'H_AFM': 0.21200000000000002, 'H_FM': 0.21200000000000002, 'H_TF': 0.21200000000000002, 'H_XY': 0.21200000000000002, 'H_RF': 0.21200000000000002}",6,"{'H_AFM': 0.21200000000000002, 'H_FM': 0.21200000000000002, 'H_TF': 0.21200000000000002, 'H_XY': 0.21200000000000002, 'H_RF': 0.21200000000000002}",False
6,"{'1011': 23, '1010': 130, '0001': 112, '1111': 30, '0101': 132, '1001': 78, '1100': 17, '0000': 31, '0010': 100, '0111': 15, '0011': 19, '0100': 15, '1101': 77, '1000': 13, '0110': 82, '1110': 126}","{'H_AFM': 0.0020000000000000018, 'H_FM': 0.0020000000000000018, 'H_TF': 0.0020000000000000018, 'H_XY': 0.0020000000000000018, 'H_RF': 0.0020000000000000018}",6,"{'H_AFM': 0.0020000000000000018, 'H_FM': 0.0020000000000000018, 'H_TF': 0.0020000000000000018, 'H_XY': 0.0020000000000000018, 'H_RF': 0.0020000000000000018}",False
7,"{'0010': 1, '0100': 347, '0000': 45, '0001': 385, '1111': 7, '1110': 33, '1100': 18, '0101': 66, '1001': 16, '0111': 1, '0011': 10, '1011': 43, '1000': 2, '0110': 15, '1010': 11}","{'H_AFM': 1.4679999999999997, 'H_FM': 1.4679999999999997, 'H_TF': 1.4679999999999997, 'H_XY': 1.4679999999999997, 'H_RF': 1.4679999999999997}",6,"{'H_AFM': 1.4679999999999997, 'H_FM': 1.4679999999999997, 'H_TF': 1.4679999999999997, 'H_XY': 1.4679999999999997, 'H_RF': 1.4679999999999997}",False
8,"{'1000': 4, '0101': 2, '1110': 2, '0000': 330, '1101': 186, '0110': 299, '0011': 5, '1011': 172}","{'H_AFM': 0.6080000000000001, 'H_FM': 0.6080000000000001, 'H_TF': 0.6080000000000001, 'H_XY': 0.6080000000000001, 'H_RF': 0.6080000000000001}",6,"{'H_AFM': 0.6080000000000001, 'H_FM': 0.6080000000000001, 'H_TF': 0.6080000000000001, 'H_XY': 0.6080000000000001, 'H_RF': 0.6080000000000001}",False
9,"{'0110': 17, '1110': 3, '1010': 250, '0010': 252, '0000': 252, '1000': 215, '1100': 11}","{'H_AFM': 1.936, 'H_FM': 1.936, 'H_TF': 1.936, 'H_XY': 1.936, 'H_RF': 1.936}",6,"{'H_AFM': 1.936, 'H_FM': 1.936, 'H_TF': 1.936, 'H_XY': 1.936, 'H_RF': 1.936}",False
