trial,counts,energies,iteration,energies_dict,solved
0,"{'1110': 132, '0100': 136, '1010': 229, '0110': 113, '1000': 12, '1100': 107, '0010': 22, '0000': 249}","{'H_AFM': 1.072, 'H_FM': 1.072, 'H_TF': 1.072, 'H_XY': 1.072, 'H_RF': 1.072}",3,"{'H_AFM': 1.072, 'H_FM': 1.072, 'H_TF': 1.072, 'H_XY': 1.072, 'H_RF': 1.072}",False
1,"{'0010': 6, '1101': 6, '1110': 180, '0001': 162, '1111': 10, '0111': 43, '0011': 150, '1011': 31, '1100': 146, '0101': 39, '1001': 40, '0100': 47, '1010': 41, '0000': 13, '1000': 42, '0110': 44}","{'H_AFM': 0.006000000000000019, 'H_FM': 0.006000000000000019, 'H_TF': 0.006000000000000019, 'H_XY': 0.006000000000000019, 'H_RF': 0.006000000000000019}",3,"{'H_AFM': 0.006000000000000019, 'H_FM': 0.006000000000000019, 'H_TF': 0.006000000000000019, 'H_XY': 0.006000000000000019, 'H_RF': 0.006000000000000019}",False
2,"{'0110': 98, '0010': 33, '0000': 151, '1010': 14, '1110': 31, '1000': 43, '1100': 151, '0100': 479}","{'H_AFM': 1.6519999999999997, 'H_FM': 1.6519999999999997, 'H_TF': 1.6519999999999997, 'H_XY': 1.6519999999999997, 'H_RF': 1.6519999999999997}",3,"{'H_AFM': 1.6519999999999997, 'H_FM': 1.6519999999999997, 'H_TF': 1.6519999999999997, 'H_XY': 1.6519999999999997, 'H_RF': 1.6519999999999997}",False
3,"{'1100': 110, '0011': 226, '0001': 25, '1111': 140, '1110': 117, '1101': 116, '0000': 23, '0010': 243}","{'H_AFM': -0.398, 'H_FM': -0.398, 'H_TF': -0.398, 'H_XY': -0.398, 'H_RF': -0.398}",3,"{'H_AFM': -0.398, 'H_FM': -0.398, 'H_TF': -0.398, 'H_XY': -0.398, 'H_RF': -0.398}",False
4,"{'1110': 7, '0011': 3, '1101': 11, '0000': 7, '0010': 151, '0001': 161, '1111': 318, '1100': 342}","{'H_AFM': -0.656, 'H_FM': -0.656, 'H_TF': -0.656, 'H_XY': -0.656, 'H_RF': -0.656}",3,"{'H_AFM': -0.656, 'H_FM': -0.656, 'H_TF': -0.656, 'H_XY': -0.656, 'H_RF': -0.656}",True
5,"{'0010': 20, '0011': 18, '0111': 95, '1011': 20, '1111': 97, '0001': 117, '1110': 98, '0110': 105, '1000': 129, '1100': 19, '0101': 17, '1001': 102, '1010': 19, '0100': 16, '0000': 109, '1101': 19}","{'H_AFM': 0.148, 'H_FM': 0.148, 'H_TF': 0.148, 'H_XY': 0.148, 'H_RF': 0.148}",3,"{'H_AFM': 0.148, 'H_FM': 0.148, 'H_TF': 0.148, 'H_XY': 0.148, 'H_RF': 0.148}",False
6,"{'1000': 4, '0110': 1, '0010': 6, '1011': 149, '0011': 140, '0111': 89, '1111': 237, '0001': 66, '1100': 12, '1101': 130, '1110': 18, '1001': 96, '0101': 36, '0000': 2, '0100': 6, '1010': 8}","{'H_AFM': -1.5479999999999998, 'H_FM': -1.5479999999999998, 'H_TF': -1.5479999999999998, 'H_XY': -1.5479999999999998, 'H_RF': -1.5479999999999998}",3,"{'H_AFM': -1.5479999999999998, 'H_FM': -1.5479999999999998, 'H_TF': -1.5479999999999998, 'H_XY': -1.5479999999999998, 'H_RF': -1.5479999999999998}",True
7,"{'1111': 41, '1101': 61, '1011': 56, '0011': 89, '0111': 54, '0110': 36, '1000': 61, '1100': 94, '1110': 68, '1001': 35, '0101': 93, '1010': 88, '0010': 59, '0000': 52, '0100': 54, '0001': 59}","{'H_AFM': 0.03199999999999996, 'H_FM': 0.03199999999999996, 'H_TF': 0.03199999999999996, 'H_XY': 0.03199999999999996, 'H_RF': 0.03199999999999996}",3,"{'H_AFM': 0.03199999999999996, 'H_FM': 0.03199999999999996, 'H_TF': 0.03199999999999996, 'H_XY': 0.03199999999999996, 'H_RF': 0.03199999999999996}",False
8,"{'0100': 21, '1000': 287, '1100': 243, '0000': 449}","{'H_AFM': 2.412, 'H_FM': 2.412, 'H_TF': 2.412, 'H_XY': 2.412, 'H_RF': 2.412}",3,"{'H_AFM': 2.412, 'H_FM': 2.412, 'H_TF': 2.412, 'H_XY': 2.412, 'H_RF': 2.412}",False
9,"{'1111': 12, '0100': 46, '1100': 86, '1000': 437, '0111': 10, '1011': 41, '0011': 61, '0000': 307}","{'H_AFM': 2.044, 'H_FM': 2.044, 'H_TF': 2.044, 'H_XY': 2.044, 'H_RF': 2.044}",3,"{'H_AFM': 2.044, 'H_FM': 2.044, 'H_TF': 2.044, 'H_XY': 2.044, 'H_RF': 2.044}",False
