trial,counts,energies,iteration,energies_dict,solved
0,"{'0010': 18, '1110': 130, '1100': 187, '0101': 12, '1001': 118, '1000': 27, '0110': 65, '1101': 30, '1011': 162, '0111': 15, '0011': 44, '1111': 33, '0001': 77, '0100': 48, '0000': 11, '1010': 23}","{'H_AFM': -0.4220000000000001, 'H_FM': -0.4220000000000001, 'H_TF': -0.4220000000000001, 'H_XY': -0.4220000000000001, 'H_RF': -0.4220000000000001}",4,"{'H_AFM': -0.4220000000000001, 'H_FM': -0.4220000000000001, 'H_TF': -0.4220000000000001, 'H_XY': -0.4220000000000001, 'H_RF': -0.4220000000000001}",False
1,"{'0001': 2, '1111': 88, '0111': 175, '1110': 160, '0101': 164, '1000': 3, '1100': 159, '0110': 85, '1101': 75, '0100': 89}","{'H_AFM': -0.984, 'H_FM': -0.984, 'H_TF': -0.984, 'H_XY': -0.984, 'H_RF': -0.984}",4,"{'H_AFM': -0.984, 'H_FM': -0.984, 'H_TF': -0.984, 'H_XY': -0.984, 'H_RF': -0.984}",True
2,"{'1111': 52, '0011': 1, '0111': 6, '1011': 27, '1100': 30, '1000': 103, '0100': 201, '0000': 580}","{'H_AFM': 2.654, 'H_FM': 2.654, 'H_TF': 2.654, 'H_XY': 2.654, 'H_RF': 2.654}",4,"{'H_AFM': 2.654, 'H_FM': 2.654, 'H_TF': 2.654, 'H_XY': 2.654, 'H_RF': 2.654}",False
3,"{'0100': 10, '1111': 24, '1100': 14, '1011': 155, '0011': 148, '0111': 26, '1101': 35, '1110': 180, '0000': 44, '0010': 34, '0110': 208, '1000': 45, '0101': 40, '1001': 8, '1010': 25, '0001': 4}","{'H_AFM': -0.5259999999999999, 'H_FM': -0.5259999999999999, 'H_TF': -0.5259999999999999, 'H_XY': -0.5259999999999999, 'H_RF': -0.5259999999999999}",4,"{'H_AFM': -0.5259999999999999, 'H_FM': -0.5259999999999999, 'H_TF': -0.5259999999999999, 'H_XY': -0.5259999999999999, 'H_RF': -0.5259999999999999}",True
4,"{'1101': 9, '1110': 32, '0100': 98, '0001': 158, '1111': 23, '0010': 46, '0000': 178, '1011': 48, '0111': 1, '0011': 43, '0101': 108, '1001': 91, '0110': 6, '1000': 97, '1100': 5, '1010': 57}","{'H_AFM': 1.2379999999999998, 'H_FM': 1.2379999999999998, 'H_TF': 1.2379999999999998, 'H_XY': 1.2379999999999998, 'H_RF': 1.2379999999999998}",4,"{'H_AFM': 1.2379999999999998, 'H_FM': 1.2379999999999998, 'H_TF': 1.2379999999999998, 'H_XY': 1.2379999999999998, 'H_RF': 1.2379999999999998}",False
5,"{'1010': 24, '1011': 19, '1110': 67, '1101': 73, '1100': 75, '0110': 138, '1000': 20, '0101': 121, '1001': 11, '0111': 134, '0011': 34, '0010': 27, '0000': 19, '0100': 124, '1111': 85, '0001': 29}","{'H_AFM': -0.45, 'H_FM': -0.45, 'H_TF': -0.45, 'H_XY': -0.45, 'H_RF': -0.45}",4,"{'H_AFM': -0.45, 'H_FM': -0.45, 'H_TF': -0.45, 'H_XY': -0.45, 'H_RF': -0.45}",False
6,"{'1100': 19, '1111': 49, '0001': 132, '0101': 12, '1001': 153, '0100': 15, '1110': 56, '0000': 127, '0010': 41, '0011': 42, '0111': 60, '1011': 43, '1000': 137, '0110': 61, '1101': 12, '1010': 41}","{'H_AFM': 0.62, 'H_FM': 0.62, 'H_TF': 0.62, 'H_XY': 0.62, 'H_RF': 0.62}",4,"{'H_AFM': 0.62, 'H_FM': 0.62, 'H_TF': 0.62, 'H_XY': 0.62, 'H_RF': 0.62}",False
7,"{'1101': 17, '1000': 63, '1111': 80, '0101': 25, '1010': 434, '0000': 40, '0010': 190, '0111': 151}","{'H_AFM': 0.010000000000000009, 'H_FM': 0.010000000000000009, 'H_TF': 0.010000000000000009, 'H_XY': 0.010000000000000009, 'H_RF': 0.010000000000000009}",4,"{'H_AFM': 0.010000000000000009, 'H_FM': 0.010000000000000009, 'H_TF': 0.010000000000000009, 'H_XY': 0.010000000000000009, 'H_RF': 0.010000000000000009}",False
8,"{'1101': 1, '1011': 59, '0011': 57, '0111': 49, '0000': 125, '0010': 66, '1110': 70, '1010': 88, '0110': 62, '1000': 148, '0101': 1, '1001': 109, '0001': 104, '1111': 61}","{'H_AFM': 0.534, 'H_FM': 0.534, 'H_TF': 0.534, 'H_XY': 0.534, 'H_RF': 0.534}",4,"{'H_AFM': 0.534, 'H_FM': 0.534, 'H_TF': 0.534, 'H_XY': 0.534, 'H_RF': 0.534}",False
9,"{'0010': 2, '1100': 5, '0000': 65, '1010': 81, '0011': 1, '0111': 94, '1011': 69, '1110': 81, '1001': 97, '0101': 79, '0001': 84, '1111': 66, '0100': 56, '1000': 114, '0110': 101, '1101': 5}","{'H_AFM': 0.00999999999999999, 'H_FM': 0.00999999999999999, 'H_TF': 0.00999999999999999, 'H_XY': 0.00999999999999999, 'H_RF': 0.00999999999999999}",4,"{'H_AFM': 0.00999999999999999, 'H_FM': 0.00999999999999999, 'H_TF': 0.00999999999999999, 'H_XY': 0.00999999999999999, 'H_RF': 0.00999999999999999}",False
10,"{'1010': 109, '1000': 34, '1001': 80, '0010': 104, '0000': 33, '0001': 87, '1011': 267, '0011': 286}","{'H_AFM': 0.04800000000000004, 'H_FM': 0.04800000000000004, 'H_TF': 0.04800000000000004, 'H_XY': 0.04800000000000004, 'H_RF': 0.04800000000000004}",4,"{'H_AFM': 0.04800000000000004, 'H_FM': 0.04800000000000004, 'H_TF': 0.04800000000000004, 'H_XY': 0.04800000000000004, 'H_RF': 0.04800000000000004}",False
11,"{'0010': 49, '1111': 1, '0001': 61, '1001': 55, '1101': 188, '0110': 191, '0101': 183, '1110': 206, '1010': 66}","{'H_AFM': -0.572, 'H_FM': -0.572, 'H_TF': -0.572, 'H_XY': -0.572, 'H_RF': -0.572}",4,"{'H_AFM': -0.572, 'H_FM': -0.572, 'H_TF': -0.572, 'H_XY': -0.572, 'H_RF': -0.572}",True
12,"{'0110': 30, '0001': 21, '0101': 228, '0000': 25, '0010': 241, '0111': 25, '0011': 215, '0100': 215}","{'H_AFM': 1.004, 'H_FM': 1.004, 'H_TF': 1.004, 'H_XY': 1.004, 'H_RF': 1.004}",4,"{'H_AFM': 1.004, 'H_FM': 1.004, 'H_TF': 1.004, 'H_XY': 1.004, 'H_RF': 1.004}",False
13,"{'0010': 16, '1111': 11, '0001': 142, '1011': 68, '0111': 13, '0011': 161, '0100': 142, '1000': 3, '0110': 151, '1101': 5, '1110': 91, '0101': 22, '1001': 72, '1100': 83, '1010': 4, '0000': 16}","{'H_AFM': 0.2719999999999999, 'H_FM': 0.2719999999999999, 'H_TF': 0.2719999999999999, 'H_XY': 0.2719999999999999, 'H_RF': 0.2719999999999999}",4,"{'H_AFM': 0.2719999999999999, 'H_FM': 0.2719999999999999, 'H_TF': 0.2719999999999999, 'H_XY': 0.2719999999999999, 'H_RF': 0.2719999999999999}",False
14,"{'1101': 24, '1011': 12, '1111': 98, '0001': 51, '1110': 100, '0110': 43, '1000': 97, '1100': 21, '0101': 88, '1001': 102, '0000': 52, '0010': 79, '0100': 78, '0111': 59, '0011': 66, '1010': 30}","{'H_AFM': 0.03599999999999995, 'H_FM': 0.03599999999999995, 'H_TF': 0.03599999999999995, 'H_XY': 0.03599999999999995, 'H_RF': 0.03599999999999995}",4,"{'H_AFM': 0.03599999999999995, 'H_FM': 0.03599999999999995, 'H_TF': 0.03599999999999995, 'H_XY': 0.03599999999999995, 'H_RF': 0.03599999999999995}",False
15,"{'0101': 50, '1001': 51, '1000': 134, '1100': 91, '0100': 129, '1101': 231, '0000': 95, '0001': 219}","{'H_AFM': 0.882, 'H_FM': 0.882, 'H_TF': 0.882, 'H_XY': 0.882, 'H_RF': 0.882}",4,"{'H_AFM': 0.882, 'H_FM': 0.882, 'H_TF': 0.882, 'H_XY': 0.882, 'H_RF': 0.882}",False
16,"{'1101': 2, '1010': 4, '0001': 481, '1111': 24, '1100': 38, '1001': 135, '0101': 9, '1110': 3, '0100': 115, '1011': 21, '0111': 92, '0011': 41, '0010': 22, '0000': 3, '0110': 10}","{'H_AFM': 0.9160000000000001, 'H_FM': 0.9160000000000001, 'H_TF': 0.9160000000000001, 'H_XY': 0.9160000000000001, 'H_RF': 0.9160000000000001}",4,"{'H_AFM': 0.9160000000000001, 'H_FM': 0.9160000000000001, 'H_TF': 0.9160000000000001, 'H_XY': 0.9160000000000001, 'H_RF': 0.9160000000000001}",False
17,"{'1001': 14, '0000': 7, '0100': 250, '0011': 8, '0111': 242, '1010': 7, '1110': 237, '1101': 235}","{'H_AFM': -0.8999999999999999, 'H_FM': -0.8999999999999999, 'H_TF': -0.8999999999999999, 'H_XY': -0.8999999999999999, 'H_RF': -0.8999999999999999}",4,"{'H_AFM': -0.8999999999999999, 'H_FM': -0.8999999999999999, 'H_TF': -0.8999999999999999, 'H_XY': -0.8999999999999999, 'H_RF': -0.8999999999999999}",True
18,"{'0001': 101, '1010': 104, '0011': 153, '1011': 162, '0010': 89, '1001': 245, '1000': 146}","{'H_AFM': 0.348, 'H_FM': 0.348, 'H_TF': 0.348, 'H_XY': 0.348, 'H_RF': 0.348}",4,"{'H_AFM': 0.348, 'H_FM': 0.348, 'H_TF': 0.348, 'H_XY': 0.348, 'H_RF': 0.348}",False
19,"{'0101': 69, '0100': 91, '0001': 43, '0000': 109, '0010': 139, '0110': 145, '0111': 213, '0011': 191}","{'H_AFM': 0.556, 'H_FM': 0.556, 'H_TF': 0.556, 'H_XY': 0.556, 'H_RF': 0.556}",4,"{'H_AFM': 0.556, 'H_FM': 0.556, 'H_TF': 0.556, 'H_XY': 0.556, 'H_RF': 0.556}",False
20,"{'1011': 118, '1010': 119, '1111': 116, '0001': 125, '0000': 115, '0100': 146, '0101': 117, '1110': 144}","{'H_AFM': 0.014000000000000068, 'H_FM': 0.014000000000000068, 'H_TF': 0.014000000000000068, 'H_XY': 0.014000000000000068, 'H_RF': 0.014000000000000068}",4,"{'H_AFM': 0.014000000000000068, 'H_FM': 0.014000000000000068, 'H_TF': 0.014000000000000068, 'H_XY': 0.014000000000000068, 'H_RF': 0.014000000000000068}",False
