trial,counts,energies,iteration,energies_dict,solved
0,"{'1011': 27, '0001': 21, '1010': 40, '1100': 64, '0110': 64, '1000': 31, '1111': 77, '0100': 106, '1110': 122, '1001': 41, '0101': 76, '0111': 113, '0011': 44, '1101': 92, '0000': 47, '0010': 35}","{'H_AFM': -0.442, 'H_FM': -0.442, 'H_TF': -0.442, 'H_XY': -0.442, 'H_RF': -0.442}",1,"{'H_AFM': -0.442, 'H_FM': -0.442, 'H_TF': -0.442, 'H_XY': -0.442, 'H_RF': -0.442}",False
1,"{'1111': 5, '0001': 16, '0000': 21, '0111': 83, '0011': 69, '1011': 89, '0010': 47, '1010': 127, '1110': 12, '1101': 69, '1100': 84, '0110': 62, '1000': 69, '0101': 105, '1001': 46, '0100': 96}","{'H_AFM': 0.014000000000000012, 'H_FM': 0.014000000000000012, 'H_TF': 0.014000000000000012, 'H_XY': 0.014000000000000012, 'H_RF': 0.014000000000000012}",1,"{'H_AFM': 0.014000000000000012, 'H_FM': 0.014000000000000012, 'H_TF': 0.014000000000000012, 'H_XY': 0.014000000000000012, 'H_RF': 0.014000000000000012}",False
2,"{'1011': 2, '1001': 1, '0101': 189, '1110': 19, '0001': 37, '1111': 16, '0111': 203, '0011': 38, '1000': 4, '0110': 199, '1101': 15, '0100': 183, '0000': 31, '0010': 31, '1100': 29, '1010': 3}","{'H_AFM': 0.09199999999999992, 'H_FM': 0.09199999999999992, 'H_TF': 0.09199999999999992, 'H_XY': 0.09199999999999992, 'H_RF': 0.09199999999999992}",1,"{'H_AFM': 0.09199999999999992, 'H_FM': 0.09199999999999992, 'H_TF': 0.09199999999999992, 'H_XY': 0.09199999999999992, 'H_RF': 0.09199999999999992}",False
3,"{'1000': 3, '1100': 2, '1001': 1, '0110': 32, '1111': 5, '1110': 28, '1010': 359, '0011': 75, '1011': 57, '0111': 7, '0000': 11, '0010': 420}","{'H_AFM': 0.6859999999999999, 'H_FM': 0.6859999999999999, 'H_TF': 0.6859999999999999, 'H_XY': 0.6859999999999999, 'H_RF': 0.6859999999999999}",1,"{'H_AFM': 0.6859999999999999, 'H_FM': 0.6859999999999999, 'H_TF': 0.6859999999999999, 'H_XY': 0.6859999999999999, 'H_RF': 0.6859999999999999}",False
4,"{'1101': 38, '0000': 97, '0010': 121, '0100': 119, '0011': 93, '0111': 129, '1100': 22, '1010': 54, '0001': 93, '1111': 34, '1001': 17, '0101': 96, '1110': 6, '1000': 14, '0110': 67}","{'H_AFM': 0.6, 'H_FM': 0.6, 'H_TF': 0.6, 'H_XY': 0.6, 'H_RF': 0.6}",1,"{'H_AFM': 0.6, 'H_FM': 0.6, 'H_TF': 0.6, 'H_XY': 0.6, 'H_RF': 0.6}",False
5,"{'0100': 124, '0001': 118, '0110': 137, '0011': 116, '0111': 113, '0000': 131, '0010': 103, '0101': 158}","{'H_AFM': 0.988, 'H_FM': 0.988, 'H_TF': 0.988, 'H_XY': 0.988, 'H_RF': 0.988}",1,"{'H_AFM': 0.988, 'H_FM': 0.988, 'H_TF': 0.988, 'H_XY': 0.988, 'H_RF': 0.988}",False
6,"{'1010': 19, '1100': 86, '1101': 162, '1110': 44, '0000': 36, '0010': 24, '0110': 46, '1000': 44, '0101': 187, '1001': 26, '1111': 90, '0001': 19, '0100': 100, '1011': 14, '0011': 13, '0111': 90}","{'H_AFM': -0.462, 'H_FM': -0.462, 'H_TF': -0.462, 'H_XY': -0.462, 'H_RF': -0.462}",1,"{'H_AFM': -0.462, 'H_FM': -0.462, 'H_TF': -0.462, 'H_XY': -0.462, 'H_RF': -0.462}",False
7,"{'1010': 5, '1110': 54, '1011': 7, '1100': 113, '0100': 59, '1000': 163, '0110': 28, '1101': 120, '0010': 76, '0000': 6, '1001': 156, '0101': 67, '0001': 6, '1111': 42, '0111': 25, '0011': 73}","{'H_AFM': 0.052000000000000005, 'H_FM': 0.052000000000000005, 'H_TF': 0.052000000000000005, 'H_XY': 0.052000000000000005, 'H_RF': 0.052000000000000005}",1,"{'H_AFM': 0.052000000000000005, 'H_FM': 0.052000000000000005, 'H_TF': 0.052000000000000005, 'H_XY': 0.052000000000000005, 'H_RF': 0.052000000000000005}",False
8,"{'1001': 3, '0101': 4, '1101': 18, '1100': 84, '1000': 40, '0110': 132, '1110': 153, '0010': 177, '0000': 71, '0100': 51, '1011': 49, '0111': 37, '0011': 11, '1010': 122, '0001': 32, '1111': 16}","{'H_AFM': 0.3059999999999999, 'H_FM': 0.3059999999999999, 'H_TF': 0.3059999999999999, 'H_XY': 0.3059999999999999, 'H_RF': 0.3059999999999999}",1,"{'H_AFM': 0.3059999999999999, 'H_FM': 0.3059999999999999, 'H_TF': 0.3059999999999999, 'H_XY': 0.3059999999999999, 'H_RF': 0.3059999999999999}",False
9,"{'1010': 20, '1000': 61, '1001': 324, '0011': 110, '1011': 105, '0010': 16, '0000': 67, '0001': 297}","{'H_AFM': 0.806, 'H_FM': 0.806, 'H_TF': 0.806, 'H_XY': 0.806, 'H_RF': 0.806}",1,"{'H_AFM': 0.806, 'H_FM': 0.806, 'H_TF': 0.806, 'H_XY': 0.806, 'H_RF': 0.806}",False
