trial,counts,energies,iteration,energies_dict,solved
0,"{'0000': 95, '0001': 26, '1111': 35, '1101': 96, '1110': 69, '0100': 29, '0011': 110, '0111': 40, '1011': 84, '0101': 117, '1001': 40, '1100': 33, '0110': 74, '1000': 92, '1010': 30, '0010': 30}","{'H_AFM': 0.01599999999999996, 'H_FM': 0.01599999999999996, 'H_TF': 0.01599999999999996, 'H_XY': 0.01599999999999996, 'H_RF': 0.01599999999999996}",3,"{'H_AFM': 0.01599999999999996, 'H_FM': 0.01599999999999996, 'H_TF': 0.01599999999999996, 'H_XY': 0.01599999999999996, 'H_RF': 0.01599999999999996}",False
1,"{'0000': 11, '1100': 116, '1110': 116, '1001': 15, '0101': 111, '1101': 114, '1000': 19, '0110': 106, '0100': 115, '0010': 9, '1011': 15, '0111': 117, '0011': 11, '1111': 101, '0001': 10, '1010': 14}","{'H_AFM': -0.778, 'H_FM': -0.778, 'H_TF': -0.778, 'H_XY': -0.778, 'H_RF': -0.778}",3,"{'H_AFM': -0.778, 'H_FM': -0.778, 'H_TF': -0.778, 'H_XY': -0.778, 'H_RF': -0.778}",True
2,"{'1110': 2, '1111': 1, '0010': 194, '0000': 30, '0101': 212, '0100': 200, '1011': 23, '0011': 227, '0111': 11, '1101': 20, '1100': 14, '0110': 41, '1000': 3, '1010': 19, '0001': 3}","{'H_AFM': 0.8039999999999999, 'H_FM': 0.8039999999999999, 'H_TF': 0.8039999999999999, 'H_XY': 0.8039999999999999, 'H_RF': 0.8039999999999999}",3,"{'H_AFM': 0.8039999999999999, 'H_FM': 0.8039999999999999, 'H_TF': 0.8039999999999999, 'H_XY': 0.8039999999999999, 'H_RF': 0.8039999999999999}",False
3,"{'1101': 65, '1010': 16, '1111': 58, '0101': 341, '0010': 81, '0000': 75, '1000': 16, '0111': 348}","{'H_AFM': -0.564, 'H_FM': -0.564, 'H_TF': -0.564, 'H_XY': -0.564, 'H_RF': -0.564}",3,"{'H_AFM': -0.564, 'H_FM': -0.564, 'H_TF': -0.564, 'H_XY': -0.564, 'H_RF': -0.564}",True
4,"{'1111': 13, '0100': 93, '1100': 74, '1000': 296, '0000': 380, '0111': 13, '1011': 52, '0011': 79}","{'H_AFM': 2.116, 'H_FM': 2.116, 'H_TF': 2.116, 'H_XY': 2.116, 'H_RF': 2.116}",3,"{'H_AFM': 2.116, 'H_FM': 2.116, 'H_TF': 2.116, 'H_XY': 2.116, 'H_RF': 2.116}",False
5,"{'1010': 4, '1011': 4, '0001': 11, '1100': 71, '0100': 96, '1001': 197, '0101': 97, '1110': 25, '1101': 72, '1000': 176, '0110': 29, '0010': 70, '0000': 19, '0011': 61, '0111': 34, '1111': 34}","{'H_AFM': 0.376, 'H_FM': 0.376, 'H_TF': 0.376, 'H_XY': 0.376, 'H_RF': 0.376}",3,"{'H_AFM': 0.376, 'H_FM': 0.376, 'H_TF': 0.376, 'H_XY': 0.376, 'H_RF': 0.376}",False
6,"{'1111': 87, '1001': 68, '1011': 71, '0110': 178, '1101': 74, '0100': 169, '0000': 169, '0010': 184}","{'H_AFM': 0.744, 'H_FM': 0.744, 'H_TF': 0.744, 'H_XY': 0.744, 'H_RF': 0.744}",3,"{'H_AFM': 0.744, 'H_FM': 0.744, 'H_TF': 0.744, 'H_XY': 0.744, 'H_RF': 0.744}",False
7,"{'1111': 22, '1101': 23, '0010': 76, '0000': 96, '0100': 148, '1110': 33, '1000': 5, '0110': 123, '0011': 80, '0111': 117, '1011': 14, '0001': 81, '1010': 19, '0101': 125, '1001': 15, '1100': 23}","{'H_AFM': 0.5419999999999999, 'H_FM': 0.5419999999999999, 'H_TF': 0.5419999999999999, 'H_XY': 0.5419999999999999, 'H_RF': 0.5419999999999999}",3,"{'H_AFM': 0.5419999999999999, 'H_FM': 0.5419999999999999, 'H_TF': 0.5419999999999999, 'H_XY': 0.5419999999999999, 'H_RF': 0.5419999999999999}",False
8,"{'1110': 2, '0001': 2, '1111': 27, '1100': 7, '0101': 190, '1001': 39, '1000': 183, '0110': 29, '1101': 29, '1011': 35, '0011': 8, '0111': 167, '1010': 183, '0000': 39, '0010': 24, '0100': 36}","{'H_AFM': 0.07199999999999998, 'H_FM': 0.07199999999999998, 'H_TF': 0.07199999999999998, 'H_XY': 0.07199999999999998, 'H_RF': 0.07199999999999998}",3,"{'H_AFM': 0.07199999999999998, 'H_FM': 0.07199999999999998, 'H_TF': 0.07199999999999998, 'H_XY': 0.07199999999999998, 'H_RF': 0.07199999999999998}",False
9,"{'0001': 5, '1011': 131, '0011': 141, '0111': 183, '1110': 38, '1001': 11, '0101': 10, '1100': 54, '0110': 44, '1000': 42, '1111': 173, '0100': 50, '0000': 44, '0010': 30, '1010': 37, '1101': 7}","{'H_AFM': -0.98, 'H_FM': -0.98, 'H_TF': -0.98, 'H_XY': -0.98, 'H_RF': -0.98}",3,"{'H_AFM': -0.98, 'H_FM': -0.98, 'H_TF': -0.98, 'H_XY': -0.98, 'H_RF': -0.98}",True
10,"{'1010': 9, '1000': 42, '1001': 44, '0001': 389, '1011': 9, '0011': 86, '0010': 73, '0000': 348}","{'H_AFM': 2.3819999999999997, 'H_FM': 2.3819999999999997, 'H_TF': 2.3819999999999997, 'H_XY': 2.3819999999999997, 'H_RF': 2.3819999999999997}",3,"{'H_AFM': 2.3819999999999997, 'H_FM': 2.3819999999999997, 'H_TF': 2.3819999999999997, 'H_XY': 2.3819999999999997, 'H_RF': 2.3819999999999997}",False
11,"{'0001': 12, '0101': 8, '1001': 105, '1100': 104, '0110': 9, '1000': 111, '0010': 12, '0000': 7, '1110': 114, '1111': 147, '1101': 113, '1011': 112, '0011': 11, '0111': 4, '0100': 13, '1010': 118}","{'H_AFM': -0.9499999999999998, 'H_FM': -0.9499999999999998, 'H_TF': -0.9499999999999998, 'H_XY': -0.9499999999999998, 'H_RF': -0.9499999999999998}",3,"{'H_AFM': -0.9499999999999998, 'H_FM': -0.9499999999999998, 'H_TF': -0.9499999999999998, 'H_XY': -0.9499999999999998, 'H_RF': -0.9499999999999998}",True
12,"{'1110': 2, '1101': 5, '1010': 214, '1111': 43, '1001': 174, '1100': 49, '1000': 241, '1011': 272}","{'H_AFM': -0.24800000000000005, 'H_FM': -0.24800000000000005, 'H_TF': -0.24800000000000005, 'H_XY': -0.24800000000000005, 'H_RF': -0.24800000000000005}",3,"{'H_AFM': -0.24800000000000005, 'H_FM': -0.24800000000000005, 'H_TF': -0.24800000000000005, 'H_XY': -0.24800000000000005, 'H_RF': -0.24800000000000005}",False
13,"{'1111': 4, '1101': 4, '0010': 281, '0000': 289, '1010': 96, '1100': 12, '0110': 42, '1000': 89, '0111': 4, '0011': 38, '1011': 8, '0100': 44, '0001': 49, '1001': 14, '0101': 11, '1110': 15}","{'H_AFM': 2.004, 'H_FM': 2.004, 'H_TF': 2.004, 'H_XY': 2.004, 'H_RF': 2.004}",3,"{'H_AFM': 2.004, 'H_FM': 2.004, 'H_TF': 2.004, 'H_XY': 2.004, 'H_RF': 2.004}",False
14,"{'1010': 469, '1000': 344, '0000': 72, '0010': 115}","{'H_AFM': 1.206, 'H_FM': 1.206, 'H_TF': 1.206, 'H_XY': 1.206, 'H_RF': 1.206}",3,"{'H_AFM': 1.206, 'H_FM': 1.206, 'H_TF': 1.206, 'H_XY': 1.206, 'H_RF': 1.206}",False
15,"{'1101': 4, '1011': 1, '1110': 13, '1100': 14, '1001': 27, '0101': 39, '1000': 55, '0110': 74, '0000': 363, '0010': 11, '0001': 266, '1111': 10, '0100': 63, '0111': 48, '0011': 10, '1010': 2}","{'H_AFM': 2.07, 'H_FM': 2.07, 'H_TF': 2.07, 'H_XY': 2.07, 'H_RF': 2.07}",3,"{'H_AFM': 2.07, 'H_FM': 2.07, 'H_TF': 2.07, 'H_XY': 2.07, 'H_RF': 2.07}",False
16,"{'0000': 15, '0111': 152, '1110': 58, '0110': 177, '1000': 3, '1001': 115, '1111': 64, '0001': 416}","{'H_AFM': 0.22199999999999998, 'H_FM': 0.22199999999999998, 'H_TF': 0.22199999999999998, 'H_XY': 0.22199999999999998, 'H_RF': 0.22199999999999998}",3,"{'H_AFM': 0.22199999999999998, 'H_FM': 0.22199999999999998, 'H_TF': 0.22199999999999998, 'H_XY': 0.22199999999999998, 'H_RF': 0.22199999999999998}",False
17,"{'0010': 68, '1100': 14, '1000': 19, '0110': 139, '1101': 141, '1111': 137, '0001': 15, '0111': 11, '0011': 22, '1011': 74, '1001': 75, '0101': 17, '1110': 22, '0100': 131, '0000': 94, '1010': 21}","{'H_AFM': -0.20200000000000007, 'H_FM': -0.20200000000000007, 'H_TF': -0.20200000000000007, 'H_XY': -0.20200000000000007, 'H_RF': -0.20200000000000007}",3,"{'H_AFM': -0.20200000000000007, 'H_FM': -0.20200000000000007, 'H_TF': -0.20200000000000007, 'H_XY': -0.20200000000000007, 'H_RF': -0.20200000000000007}",False
18,"{'1100': 1, '1101': 258, '0000': 166, '0010': 25, '0100': 8, '0110': 1, '1000': 149, '0101': 268, '1001': 4, '0011': 2, '0111': 51, '1011': 1, '1111': 40, '0001': 4, '1010': 22}","{'H_AFM': 0.256, 'H_FM': 0.256, 'H_TF': 0.256, 'H_XY': 0.256, 'H_RF': 0.256}",3,"{'H_AFM': 0.256, 'H_FM': 0.256, 'H_TF': 0.256, 'H_XY': 0.256, 'H_RF': 0.256}",False
19,"{'1001': 1, '1111': 1, '0001': 1, '1110': 15, '1010': 45, '0110': 125, '0010': 286, '1011': 86, '0111': 10, '0011': 430}","{'H_AFM': 0.3479999999999999, 'H_FM': 0.3479999999999999, 'H_TF': 0.3479999999999999, 'H_XY': 0.3479999999999999, 'H_RF': 0.3479999999999999}",3,"{'H_AFM': 0.3479999999999999, 'H_FM': 0.3479999999999999, 'H_TF': 0.3479999999999999, 'H_XY': 0.3479999999999999, 'H_RF': 0.3479999999999999}",False
20,"{'1101': 4, '1100': 13, '0010': 119, '0000': 194, '0100': 187, '1110': 85, '1001': 4, '0101': 46, '1011': 25, '0111': 22, '0011': 24, '0110': 115, '1000': 15, '1010': 84, '1111': 16, '0001': 47}","{'H_AFM': 1.176, 'H_FM': 1.176, 'H_TF': 1.176, 'H_XY': 1.176, 'H_RF': 1.176}",3,"{'H_AFM': 1.176, 'H_FM': 1.176, 'H_TF': 1.176, 'H_XY': 1.176, 'H_RF': 1.176}",False
21,"{'0001': 7, '1010': 324, '0011': 17, '1011': 40, '0010': 113, '0000': 121, '1001': 28, '1000': 350}","{'H_AFM': 1.3439999999999999, 'H_FM': 1.3439999999999999, 'H_TF': 1.3439999999999999, 'H_XY': 1.3439999999999999, 'H_RF': 1.3439999999999999}",3,"{'H_AFM': 1.3439999999999999, 'H_FM': 1.3439999999999999, 'H_TF': 1.3439999999999999, 'H_XY': 1.3439999999999999, 'H_RF': 1.3439999999999999}",False
22,"{'1111': 28, '0100': 36, '0111': 41, '0011': 108, '1011': 79, '1100': 28, '0000': 107, '0010': 113, '0001': 105, '1001': 70, '0101': 41, '1110': 30, '1010': 83, '1000': 55, '0110': 47, '1101': 29}","{'H_AFM': 0.576, 'H_FM': 0.576, 'H_TF': 0.576, 'H_XY': 0.576, 'H_RF': 0.576}",3,"{'H_AFM': 0.576, 'H_FM': 0.576, 'H_TF': 0.576, 'H_XY': 0.576, 'H_RF': 0.576}",False
23,"{'1101': 28, '1111': 17, '1110': 75, '0101': 24, '1001': 20, '1100': 116, '0000': 85, '0010': 125, '1010': 122, '0011': 25, '0111': 20, '1011': 23, '0100': 129, '1000': 94, '0110': 81, '0001': 16}","{'H_AFM': 0.7080000000000001, 'H_FM': 0.7080000000000001, 'H_TF': 0.7080000000000001, 'H_XY': 0.7080000000000001, 'H_RF': 0.7080000000000001}",3,"{'H_AFM': 0.7080000000000001, 'H_FM': 0.7080000000000001, 'H_TF': 0.7080000000000001, 'H_XY': 0.7080000000000001, 'H_RF': 0.7080000000000001}",False
24,"{'0100': 15, '1010': 10, '1011': 21, '1101': 117, '1100': 72, '0110': 64, '1000': 60, '0010': 72, '0000': 7, '0011': 154, '0111': 158, '0001': 20, '1111': 23, '1001': 163, '0101': 28, '1110': 16}","{'H_AFM': -0.354, 'H_FM': -0.354, 'H_TF': -0.354, 'H_XY': -0.354, 'H_RF': -0.354}",3,"{'H_AFM': -0.354, 'H_FM': -0.354, 'H_TF': -0.354, 'H_XY': -0.354, 'H_RF': -0.354}",False
25,"{'1011': 3, '1111': 6, '1110': 30, '1101': 19, '0000': 81, '0010': 31, '1100': 68, '0101': 53, '1001': 4, '0110': 181, '1000': 44, '0100': 413, '0001': 13, '0011': 6, '0111': 28, '1010': 20}","{'H_AFM': 1.142, 'H_FM': 1.142, 'H_TF': 1.142, 'H_XY': 1.142, 'H_RF': 1.142}",3,"{'H_AFM': 1.142, 'H_FM': 1.142, 'H_TF': 1.142, 'H_XY': 1.142, 'H_RF': 1.142}",False
26,"{'1010': 1, '1111': 378, '0001': 8, '1011': 350, '0011': 71, '0111': 65, '1000': 7, '1100': 5, '1101': 53, '1001': 51, '0101': 6, '1110': 2, '0100': 2, '0010': 1}","{'H_AFM': -2.416, 'H_FM': -2.416, 'H_TF': -2.416, 'H_XY': -2.416, 'H_RF': -2.416}",3,"{'H_AFM': -2.416, 'H_FM': -2.416, 'H_TF': -2.416, 'H_XY': -2.416, 'H_RF': -2.416}",True
27,"{'1101': 117, '0011': 121, '0010': 129, '0000': 149, '1100': 104, '1111': 113, '0001': 147, '1110': 120}","{'H_AFM': 0.22199999999999998, 'H_FM': 0.22199999999999998, 'H_TF': 0.22199999999999998, 'H_XY': 0.22199999999999998, 'H_RF': 0.22199999999999998}",3,"{'H_AFM': 0.22199999999999998, 'H_FM': 0.22199999999999998, 'H_TF': 0.22199999999999998, 'H_XY': 0.22199999999999998, 'H_RF': 0.22199999999999998}",False
28,"{'1111': 9, '1110': 6, '0011': 50, '0111': 46, '1011': 7, '0100': 183, '1001': 12, '0101': 74, '0000': 194, '0010': 13, '1100': 138, '0001': 72, '1010': 12, '1101': 15, '1000': 159, '0110': 10}","{'H_AFM': 1.446, 'H_FM': 1.446, 'H_TF': 1.446, 'H_XY': 1.446, 'H_RF': 1.446}",3,"{'H_AFM': 1.446, 'H_FM': 1.446, 'H_TF': 1.446, 'H_XY': 1.446, 'H_RF': 1.446}",False
29,"{'1010': 15, '0010': 94, '0000': 289, '1011': 12, '0011': 120, '0001': 305, '1000': 73, '1001': 92}","{'H_AFM': 2.0759999999999996, 'H_FM': 2.0759999999999996, 'H_TF': 2.0759999999999996, 'H_XY': 2.0759999999999996, 'H_RF': 2.0759999999999996}",3,"{'H_AFM': 2.0759999999999996, 'H_FM': 2.0759999999999996, 'H_TF': 2.0759999999999996, 'H_XY': 2.0759999999999996, 'H_RF': 2.0759999999999996}",False
