trial,counts,energies,iteration,energies_dict,solved
0,"{'0010': 2, '0100': 213, '0110': 785}","{'H_AFM': 0.43, 'H_FM': 0.43, 'H_TF': 0.43, 'H_XY': 0.43, 'H_RF': 0.43}",0,"{'H_AFM': 0.43, 'H_FM': 0.43, 'H_TF': 0.43, 'H_XY': 0.43, 'H_RF': 0.43}",False
1,"{'0111': 3, '0001': 157, '0000': 3, '0110': 837}","{'H_AFM': 0.32, 'H_FM': 0.32, 'H_TF': 0.32, 'H_XY': 0.32, 'H_RF': 0.32}",0,"{'H_AFM': 0.32, 'H_FM': 0.32, 'H_TF': 0.32, 'H_XY': 0.32, 'H_RF': 0.32}",False
2,"{'0110': 2, '0011': 1, '0111': 5, '0010': 13, '0101': 76, '0001': 903}","{'H_AFM': 1.822, 'H_FM': 1.822, 'H_TF': 1.822, 'H_XY': 1.822, 'H_RF': 1.822}",0,"{'H_AFM': 1.822, 'H_FM': 1.822, 'H_TF': 1.822, 'H_XY': 1.822, 'H_RF': 1.822}",False
3,"{'0000': 49, '0111': 56, '0011': 508, '0100': 387}","{'H_AFM': 0.858, 'H_FM': 0.858, 'H_TF': 0.858, 'H_XY': 0.858, 'H_RF': 0.858}",0,"{'H_AFM': 0.858, 'H_FM': 0.858, 'H_TF': 0.858, 'H_XY': 0.858, 'H_RF': 0.858}",False
4,"{'1010': 116, '0010': 253, '0000': 404, '1000': 227}","{'H_AFM': 2.576, 'H_FM': 2.576, 'H_TF': 2.576, 'H_XY': 2.576, 'H_RF': 2.576}",0,"{'H_AFM': 2.576, 'H_FM': 2.576, 'H_TF': 2.576, 'H_XY': 2.576, 'H_RF': 2.576}",False
5,"{'0001': 2, '0010': 5, '0000': 164, '0011': 829}","{'H_AFM': 0.67, 'H_FM': 0.67, 'H_TF': 0.67, 'H_XY': 0.67, 'H_RF': 0.67}",0,"{'H_AFM': 0.67, 'H_FM': 0.67, 'H_TF': 0.67, 'H_XY': 0.67, 'H_RF': 0.67}",False
6,"{'0001': 2, '1011': 6, '1000': 75, '0010': 29, '0000': 314, '1010': 574}","{'H_AFM': 1.456, 'H_FM': 1.456, 'H_TF': 1.456, 'H_XY': 1.456, 'H_RF': 1.456}",0,"{'H_AFM': 1.456, 'H_FM': 1.456, 'H_TF': 1.456, 'H_XY': 1.456, 'H_RF': 1.456}",False
7,"{'1101': 44, '0001': 92, '0101': 73, '0100': 235, '1001': 39, '1100': 126, '1000': 129, '0000': 262}","{'H_AFM': 1.8719999999999999, 'H_FM': 1.8719999999999999, 'H_TF': 1.8719999999999999, 'H_XY': 1.8719999999999999, 'H_RF': 1.8719999999999999}",0,"{'H_AFM': 1.8719999999999999, 'H_FM': 1.8719999999999999, 'H_TF': 1.8719999999999999, 'H_XY': 1.8719999999999999, 'H_RF': 1.8719999999999999}",False
8,"{'0110': 2, '0000': 3, '1110': 1, '1000': 4, '1001': 251, '1111': 739}","{'H_AFM': -2.938, 'H_FM': -2.938, 'H_TF': -2.938, 'H_XY': -2.938, 'H_RF': -2.938}",0,"{'H_AFM': -2.938, 'H_FM': -2.938, 'H_TF': -2.938, 'H_XY': -2.938, 'H_RF': -2.938}",True
9,"{'0100': 10, '0000': 260, '1100': 34, '1000': 696}","{'H_AFM': 2.452, 'H_FM': 2.452, 'H_TF': 2.452, 'H_XY': 2.452, 'H_RF': 2.452}",0,"{'H_AFM': 2.452, 'H_FM': 2.452, 'H_TF': 2.452, 'H_XY': 2.452, 'H_RF': 2.452}",False
10,"{'0101': 15, '0001': 44, '0110': 132, '0100': 36, '0011': 244, '0111': 73, '0000': 95, '0010': 361}","{'H_AFM': 1.116, 'H_FM': 1.116, 'H_TF': 1.116, 'H_XY': 1.116, 'H_RF': 1.116}",0,"{'H_AFM': 1.116, 'H_FM': 1.116, 'H_TF': 1.116, 'H_XY': 1.116, 'H_RF': 1.116}",False
