trial,counts
0,"{'001': 226, '000': 257, '010': 243, '011': 274}"
1,"{'100': 243, '110': 247, '000': 259, '010': 251}"
2,"{'001': 252, '000': 234, '100': 254, '101': 260}"
3,"{'000': 244, '101': 238, '100': 255, '001': 263}"
4,"{'110': 247, '010': 270, '000': 253, '100': 230}"
5,"{'100': 306, '000': 190, '111': 202, '011': 302}"
6,"{'101': 136, '000': 380, '001': 129, '100': 355}"
7,"{'100': 19, '001': 20, '110': 254, '111': 26, '011': 200, '101': 245, '000': 222, '010': 14}"
8,"{'110': 4, '101': 8, '100': 3, '001': 245, '000': 233, '010': 269, '111': 13, '011': 225}"
9,"{'000': 238, '101': 245, '100': 252, '001': 265}"
10,"{'101': 3, '110': 2, '011': 1, '111': 267, '100': 256, '000': 6, '010': 227, '001': 238}"
11,"{'101': 279, '011': 240, '110': 247, '000': 234}"
12,"{'100': 255, '110': 249, '000': 246, '010': 250}"
13,"{'010': 73, '000': 83, '110': 68, '100': 71, '101': 181, '001': 183, '011': 173, '111': 168}"
14,"{'110': 225, '111': 246, '000': 256, '001': 273}"
15,"{'111': 268, '001': 256, '110': 251, '000': 225}"
16,"{'001': 4, '010': 1, '000': 712, '011': 283}"
17,"{'000': 48, '010': 952}"
18,"{'001': 17, '000': 11, '010': 16, '110': 248, '011': 13, '111': 237, '100': 204, '101': 254}"
19,"{'110': 3, '101': 7, '011': 6, '111': 223, '000': 5, '010': 272, '001': 231, '100': 253}"
20,"{'001': 248, '000': 261, '111': 237, '110': 254}"
21,"{'110': 94, '101': 141, '001': 119, '010': 138, '000': 147, '100': 119, '011': 99, '111': 143}"
22,"{'110': 6, '100': 11, '000': 8, '010': 8, '011': 231, '111': 244, '001': 255, '101': 237}"
23,"{'101': 25, '110': 18, '100': 18, '111': 24, '011': 218, '001': 225, '010': 238, '000': 234}"
24,"{'000': 258, '111': 267, '001': 236, '110': 239}"
25,"{'000': 241, '001': 260, '100': 253, '101': 246}"
26,"{'110': 261, '000': 269, '001': 247, '111': 223}"
27,"{'000': 258, '010': 252, '110': 229, '100': 261}"
28,"{'101': 41, '100': 49, '010': 161, '000': 107, '110': 224, '001': 80, '011': 146, '111': 192}"
29,"{'100': 251, '110': 238, '010': 239, '000': 272}"
30,"{'001': 14, '110': 212, '101': 261, '100': 212, '011': 13, '111': 264, '010': 14, '000': 10}"
31,"{'000': 258, '100': 230, '011': 237, '111': 275}"
32,"{'111': 240, '000': 260, '001': 251, '110': 249}"
33,"{'111': 240, '010': 255, '000': 246, '101': 259}"
34,"{'100': 253, '101': 247, '001': 251, '000': 249}"
35,"{'011': 235, '000': 236, '010': 277, '001': 252}"
36,"{'100': 253, '111': 240, '011': 264, '000': 243}"
37,"{'100': 78, '011': 176, '111': 63, '010': 78, '000': 170, '101': 183, '110': 170, '001': 82}"
38,"{'001': 202, '000': 55, '010': 187, '110': 191, '100': 50, '101': 206, '111': 65, '011': 44}"
39,"{'111': 270, '110': 251, '000': 234, '001': 245}"
40,"{'001': 80, '110': 67, '100': 77, '101': 181, '011': 70, '111': 154, '010': 181, '000': 190}"
41,"{'110': 34, '101': 49, '010': 210, '000': 203, '100': 45, '111': 35, '011': 202, '001': 222}"
42,"{'001': 239, '000': 268, '010': 250, '011': 243}"
43,"{'101': 230, '000': 254, '001': 255, '100': 261}"
44,"{'100': 26, '011': 226, '111': 36, '000': 215, '010': 60, '101': 179, '001': 63, '110': 195}"
45,"{'100': 244, '011': 275, '111': 245, '000': 236}"
46,"{'101': 238, '000': 262, '110': 252, '011': 248}"
47,"{'000': 177, '010': 823}"
48,"{'100': 6, '111': 9, '011': 14, '110': 228, '000': 6, '010': 247, '101': 247, '001': 243}"
49,"{'100': 1, '001': 2, '110': 251, '010': 1, '000': 245, '101': 269, '111': 1, '011': 230}"
