run,final_queries,mean_final_energy,iterations,final_even_parity,final_all_ones,final_diversity
0,17,0.4660825430330035,17,0.8370000000000001,0.0,0.5612476290990104
1,17,0.473083369186951,17,0.5,0.0,0.9192501075608529
2,21,0.378873837327607,21,0.43600000000000005,0.0,0.7006215119828209
3,16,0.4648976028262186,16,0.49200000000000016,0.0,0.9026928084786557
4,22,0.45042232633627877,22,0.5180000000000001,0.0,0.8332669790088362
5,12,0.42684483724071454,12,0.492,0.0,0.7885345117221437
6,20,0.40896599686527946,20,0.5020000000000001,0.0,0.7248979905958381
7,13,0.4188424220015911,13,0.5870000000000001,0.0,0.6695272660047732
8,17,0.3687508252361411,17,0.55,0.0,0.5562524757084234
9,30,0.43473962281270834,30,0.541,0.0,0.7632188684381251
10,12,0.32669067373536526,12,0.557,0.0,0.4230720212060958
11,16,0.41769749862985145,16,0.544,0.0,0.7090924958895544
12,16,0.40706139653603596,16,0.4950000000000001,0.0,0.7261841896081078
13,19,0.4085473586030817,19,0.51,0.0,0.7156420758092453
14,15,0.39912907616240867,15,0.509,0.0,0.688387228487226
15,12,0.4457738477255653,12,0.502,0.0,0.8353215431766957
16,18,0.4945498017293774,18,0.4990000000000002,0.0,0.984649405188132
17,22,0.36182560487441656,22,0.624,0.0,0.4614768146232496
18,14,0.2853220908705255,14,0.509,0.0,0.34696627261157653
19,13,0.36265345838358815,13,0.505,0.0,0.5829603751507645
20,14,0.440644146338457,14,0.48700000000000004,0.0,0.8349324390153711
21,14,0.3942945385034822,14,0.482,0.0,0.7008836155104464
22,23,0.38033427981770607,23,0.4690000000000001,0.0,0.6720028394531181
23,27,0.4468241729410651,27,0.5130000000000001,0.0,0.827472518823195
24,25,0.3526922074810664,25,0.336,0.0,0.7220766224431993
25,13,0.40723536089676515,13,0.507,0.0,0.7147060826902955
26,21,0.322688703212274,21,0.502,0.0,0.466066109636822
27,18,0.4935888953583367,18,0.5080000000000002,0.0,0.9727666860750098
28,13,0.31074237148648964,13,0.501,0.0,0.4312271144594689
29,13,0.36269738835550586,13,0.447,0.0,0.6410921650665177
