run,final_queries,mean_final_energy,iterations,final_even_parity,final_all_ones,final_diversity
30,14,0.4171294310345777,14,0.484,0.0,0.7673882931037331
31,13,0.4429223787068491,13,0.517,0.0,0.8117671361205473
32,14,0.5333813195145926,14,0.7940000000000003,0.0,0.8061439585437774
33,18,0.3863150368866492,18,0.4830000000000001,0.0,0.6759451106599473
34,13,0.3565445278185888,13,0.534,0.0,0.5356335834557663
35,16,0.2932756398627957,16,0.509,0.0,0.3708269195883871
36,27,0.4497558780299873,27,0.5220000000000001,0.0,0.8272676340899617
37,21,0.49553806736548767,21,0.5230000000000001,0.0,0.9636142020964628
38,44,0.40802873751206165,44,0.44000000000000006,0.0,0.7840862125361848
39,17,0.4338748273260513,17,0.493,0.0,0.808624481978154
40,14,0.39526027277605796,14,0.486,0.0,0.6997808183281738
41,15,0.377463634857673,15,0.548,0.0,0.5843909045730189
42,13,0.379401010267377,13,0.5,0.0,0.638203030802131
43,21,0.4397558014460616,21,0.5000000000000001,0.0,0.8192674043381847
44,16,0.410030967268026,16,0.492,0.0,0.7380929018040779
45,15,0.3765718464123154,15,0.513,0.0,0.6167155392369462
46,14,0.4384428931053395,14,0.5549999999999999,0.0,0.7603286793160186
47,17,0.39553991046463294,17,0.804,0.0,0.3826197313938989
48,12,0.4472864270580164,12,0.4980000000000001,0.0,0.8438592811740492
49,20,0.4411019422758929,20,0.5130000000000001,0.0,0.8103058268276785
50,12,0.3349733227728621,12,0.52,0.0,0.48491996831858636
51,13,0.3196242027957881,13,0.509,0.0,0.4498726083873645
52,14,0.400381344777772,14,0.872,0.0,0.329144034333316
53,16,0.4608250150631336,16,0.5120000000000001,0.0,0.8704750451894007
54,16,0.3375391114016693,16,0.48200000000000004,0.0,0.5306173342050079
55,12,0.41660031929008606,12,0.521,0.0,0.7288009578702583
56,15,0.41300320985216904,15,0.535,0.0,0.7040096295565071
57,15,0.35856601220796325,15,0.502,0.0,0.5736980366238899
58,15,0.4887243834184292,15,0.4960000000000002,0.0,0.9701731502552876
59,12,0.4388353537192893,12,0.47300000000000003,0.0,0.8435060611578677
60,13,0.23646417656627985,13,0.19100000000000003,0.0,0.5183925296988395
61,19,0.43519717023390436,19,0.512,0.0,0.793591510701713
62,13,0.4525356102504771,13,0.5030000000000001,0.0,0.8546068307514311
63,23,0.4645182045599055,23,0.5090000000000001,0.0,0.8845546136797164
64,15,0.49890475850262717,15,0.9,0.0,0.5967142755078815
65,15,0.36646137717539257,15,0.5,0.0,0.5993841315261775
66,15,0.4592610989307448,15,0.5030000000000001,0.0,0.8747832967922341
67,28,0.43182005015104696,28,0.5190000000000001,0.0,0.7764601504531409
68,18,0.4086609453054155,18,0.5070000000000001,0.0,0.7189828359162465
69,12,0.41315858161709446,12,0.513,0.0,0.7264757448512835
70,15,0.46863708872644966,15,0.5509999999999999,0.0,0.8549112661793489
71,12,0.4382117449463194,12,0.49100000000000005,0.0,0.8236352348389583
72,17,0.3624772360016674,17,0.4570000000000001,0.0,0.6304317080050023
73,15,0.423436350568855,15,0.5,0.0,0.7703090517065648
74,17,0.41049213005944085,17,0.46099999999999997,0.0,0.7704763901783226
75,15,0.42470732435576686,15,0.525,0.0,0.7491219730673007
76,16,0.31945341045196857,16,0.493,0.0,0.4653602313559056
77,12,0.40300187717663455,12,0.511,0.0,0.6980056315299036
78,18,0.41413930043260416,18,0.501,0.0,0.7414179012978126
79,13,0.4599442793822584,13,0.5260000000000001,0.0,0.8538328381467751
80,13,0.45752519899141647,13,0.524,0.0,0.8485755969742496
81,13,0.3428677569279602,13,0.532,0.0,0.4966032707838805
82,12,0.34280340898576966,12,0.846,0.0,0.18241022695730894
83,19,0.43219105574181454,19,0.489,0.0,0.8075731672254437
84,15,0.45455776868723446,15,0.5050000000000001,0.0,0.8586733060617032
85,19,0.36385134843255224,19,0.4940000000000001,0.0,0.5975540452976565
86,19,0.38813585894615094,19,0.48800000000000004,0.0,0.6764075768384527
87,14,0.40203280670498936,14,0.486,0.0,0.7200984201149679
88,13,0.3320853012571508,13,0.513,0.0,0.48325590377145233
89,12,0.29411702049690575,12,0.507,0.0,0.37535106149071723
90,16,0.36344529884320503,16,0.47500000000000003,0.0,0.615335896529615
91,12,0.32728041023423454,12,0.515,0.0,0.4668412307027036
92,15,0.4564397786440239,15,0.533,0.0,0.8363193359320716
93,15,0.45688351130213967,15,0.5000000000000001,0.0,0.8706505339064189
94,14,0.4564271033588465,14,0.5000000000000001,0.0,0.8692813100765395
95,13,0.4612871288751612,13,0.5100000000000001,0.0,0.8738613866254834
96,15,0.3881352700258766,15,0.526,0.0,0.6384058100776299
97,19,0.37198577833065666,19,0.49800000000000005,0.0,0.6179573349919699
98,14,0.37745823780566495,14,0.601,0.0,0.5313747134169949
99,16,0.33718987816049345,16,0.498,0.0,0.5135696344814803
