run,final_queries,mean_final_energy,iterations,final_even_parity,final_all_ones,final_diversity
0,17,0.4335235918691334,17,0.505,0.0,0.7955707756074003
1,12,0.40901284028796364,12,0.528,0.0,0.6990385208638911
2,14,0.4716985483713829,14,0.5210000000000001,0.0,0.8940956451141485
3,15,0.35806708560934,15,0.47300000000000003,0.0,0.6012012568280198
4,16,0.4132995931196454,16,0.508,0.0,0.7318987793589361
