run,final_queries,mean_final_energy,iterations,final_even_parity,final_all_ones,final_diversity
0,13,0.5169570702109718,13,0.5109999999999999,0.072,0.9678712106329156
1,26,0.4709623115568282,26,0.509,0.057,0.8468869346704846
2,14,0.45880592330712666,14,0.481,0.026,0.8694177699213799
3,12,0.42350791318205766,12,0.5890000000000001,0.024,0.6575237395461729
4,13,0.4632560738093734,13,0.47200000000000003,0.014,0.9037682214281202
