trial,num_states,obj_all_zeros,obj_all_ones,obj_even_parity,obj_odd_parity,obj_alternating,obj_majority_ones,obj_majority_zeros,obj_weight_2,obj_weight_3,obj_first_qubit_one
0,15,0.004,0.051,0.447,0.553,0.17900000000000002,0.37000000000000005,0.23800000000000002,0.392,0.31900000000000006,0.175
1,15,0.0,0.174,0.496,0.504,0.061,0.606,0.07200000000000001,0.322,0.432,0.486
2,16,0.001,0.036,0.40099999999999997,0.599,0.097,0.554,0.082,0.364,0.518,0.974
3,16,0.019,0.183,0.498,0.502,0.036000000000000004,0.46599999999999997,0.238,0.296,0.283,0.535
4,16,0.096,0.16,0.508,0.492,0.053000000000000005,0.36500000000000005,0.38299999999999995,0.252,0.20500000000000002,0.532
5,16,0.012,0.153,0.506,0.494,0.162,0.55,0.109,0.34099999999999997,0.39699999999999996,0.8240000000000001
6,8,0.2,0.0,0.522,0.478,0.077,0.186,0.492,0.32199999999999995,0.186,0.0
7,16,0.123,0.002,0.505,0.495,0.101,0.104,0.516,0.38,0.10200000000000001,0.368
8,16,0.151,0.055,0.504,0.496,0.051000000000000004,0.259,0.443,0.298,0.20400000000000001,0.529
9,11,0.0,0.087,0.489,0.511,0.091,0.421,0.177,0.402,0.334,0.992
10,8,0.047,0.0,0.488,0.512,0.17,0.235,0.324,0.44100000000000006,0.235,0.763
11,16,0.023,0.004,0.45600000000000007,0.544,0.193,0.243,0.32800000000000007,0.42900000000000005,0.23900000000000002,0.4830000000000001
12,16,0.15,0.009,0.49,0.51,0.07300000000000001,0.132,0.537,0.33099999999999996,0.123,0.132
13,13,0.115,0.025,0.519,0.4810000000000001,0.124,0.17,0.451,0.379,0.14500000000000002,0.096
14,16,0.08,0.019,0.464,0.536,0.156,0.206,0.429,0.365,0.187,0.5259999999999999
15,16,0.167,0.03,0.4870000000000001,0.513,0.037,0.261,0.44900000000000007,0.29000000000000004,0.231,0.16
16,12,0.152,0.0,0.519,0.481,0.124,0.11,0.523,0.367,0.11,0.004
17,13,0.11,0.0,0.8860000000000001,0.11399999999999999,0.329,0.07,0.154,0.776,0.07,0.492
18,8,0.09,0.0,0.5539999999999999,0.44599999999999995,0.091,0.156,0.38,0.46399999999999997,0.156,0.582
19,16,0.034,0.035,0.513,0.487,0.12,0.276,0.28,0.444,0.241,0.493
20,14,0.018,0.103,0.502,0.498,0.083,0.257,0.362,0.381,0.154,0.5
21,15,0.006,0.012,0.6140000000000001,0.386,0.274,0.244,0.16000000000000003,0.5960000000000001,0.23199999999999998,0.478
22,16,0.208,0.016,0.505,0.49500000000000005,0.122,0.139,0.5800000000000001,0.28099999999999997,0.12300000000000001,0.47300000000000003
23,16,0.243,0.002,0.53,0.47,0.135,0.07600000000000001,0.639,0.285,0.07400000000000001,0.32799999999999996
24,16,0.006,0.008,0.475,0.525,0.057999999999999996,0.247,0.29200000000000004,0.46099999999999997,0.239,0.506
25,8,0.221,0.0,0.522,0.478,0.049,0.15,0.5489999999999999,0.301,0.15,0.427
26,16,0.016,0.044,0.535,0.465,0.136,0.232,0.293,0.475,0.188,0.471
27,8,0.202,0.0,0.42900000000000005,0.571,0.012,0.01,0.7629999999999999,0.227,0.01,0.494
28,14,0.002,0.003,0.494,0.506,0.233,0.161,0.35,0.489,0.158,0.42900000000000005
29,16,0.012,0.093,0.492,0.508,0.122,0.412,0.201,0.387,0.319,0.42700000000000005
30,16,0.071,0.22,0.444,0.556,0.009000000000000001,0.329,0.518,0.15300000000000002,0.109,0.42700000000000005
31,16,0.039,0.098,0.517,0.48300000000000004,0.129,0.37800000000000006,0.242,0.38,0.28,0.48900000000000005
32,16,0.08,0.037,0.494,0.506,0.137,0.32099999999999995,0.302,0.377,0.284,0.504
33,16,0.064,0.089,0.501,0.499,0.099,0.332,0.31999999999999995,0.348,0.243,0.481
34,16,0.08,0.009,0.43000000000000005,0.57,0.159,0.365,0.294,0.341,0.356,0.49399999999999994
35,16,0.056,0.009,0.504,0.49600000000000005,0.191,0.239,0.322,0.439,0.23,0.49799999999999994
36,16,0.004,0.233,0.5100000000000001,0.49,0.149,0.662,0.065,0.27299999999999996,0.429,0.8810000000000001
37,16,0.108,0.065,0.526,0.474,0.091,0.269,0.378,0.35300000000000004,0.20400000000000001,0.502
38,12,0.021,0.0,0.468,0.532,0.386,0.054,0.499,0.447,0.054,0.482
39,16,0.073,0.056,0.512,0.48800000000000004,0.126,0.27,0.34700000000000003,0.383,0.214,0.527
40,8,0.142,0.0,0.46799999999999997,0.532,0.204,0.092,0.5820000000000001,0.32599999999999996,0.092,0.261
41,16,0.026,0.027,0.533,0.467,0.245,0.41200000000000003,0.10799999999999998,0.48,0.385,0.674
42,8,0.606,0.0,0.671,0.32899999999999996,0.012,0.005,0.9299999999999999,0.065,0.005,0.115
43,8,0.055,0.0,0.498,0.502,0.205,0.042,0.515,0.44299999999999995,0.042,0.497
44,16,0.12,0.025,0.533,0.46699999999999997,0.122,0.179,0.43299999999999994,0.388,0.154,0.512
45,14,0.064,0.081,0.505,0.49500000000000005,0.041,0.41400000000000003,0.226,0.36000000000000004,0.333,0.5680000000000001
46,11,0.241,0.0,0.48,0.52,0.119,0.038,0.723,0.239,0.038,0.006
47,16,0.013,0.074,0.484,0.516,0.227,0.429,0.174,0.397,0.355,0.864
48,16,0.037,0.003,0.6210000000000001,0.379,0.275,0.127,0.292,0.5810000000000001,0.124,0.49
49,16,0.022,0.062,0.506,0.494,0.193,0.34700000000000003,0.23099999999999998,0.422,0.28500000000000003,0.7390000000000001
