phase,trial,counts,energies,success,iteration,bias_strength
baseline,17,"{'1110': 69, '1100': 64, '1111': 73, '0001': 51, '1101': 54, '0000': 63, '0010': 67, '0011': 73, '0111': 58, '1011': 66, '0100': 72, '0101': 57, '1001': 65, '0110': 69, '1000': 58, '1010': 65}","{'H_AFM': np.float64(0.06640625), 'H_FM': np.float64(0.0), 'H_TF': np.float64(0.0)}",False,,
baseline,18,"{'0001': 66, '0100': 51, '0010': 72, '0000': 71, '1111': 52, '1101': 62, '1000': 65, '0110': 69, '0011': 55, '0111': 73, '1011': 59, '1110': 64, '1010': 72, '1100': 60, '0101': 63, '1001': 70}","{'H_AFM': np.float64(-0.10546875), 'H_FM': np.float64(0.03515625), 'H_TF': np.float64(0.0)}",True,,
baseline,19,"{'0100': 64, '1110': 55, '1010': 66, '1101': 61, '0000': 61, '0010': 62, '0110': 79, '1000': 75, '1100': 68, '1111': 60, '0001': 54, '1001': 63, '0101': 62, '0011': 53, '0111': 67, '1011': 74}","{'H_AFM': np.float64(-0.05859375), 'H_FM': np.float64(0.05078125), 'H_TF': np.float64(0.0)}",False,,
baseline,20,"{'1011': 69, '0000': 71, '0010': 74, '1110': 66, '1111': 63, '0001': 66, '0111': 68, '0011': 53, '1100': 57, '0101': 56, '1001': 78, '0100': 64, '1101': 63, '1000': 68, '0110': 52, '1010': 56}","{'H_AFM': np.float64(-0.009765625), 'H_FM': np.float64(-0.017578125), 'H_TF': np.float64(0.0)}",False,,
baseline,21,"{'1101': 63, '0110': 58, '1000': 64, '1100': 67, '0001': 72, '1111': 76, '1011': 70, '0111': 72, '0011': 59, '1110': 60, '1001': 63, '0101': 58, '0100': 49, '1010': 68, '0000': 53, '0010': 72}","{'H_AFM': np.float64(-0.01171875), 'H_FM': np.float64(-0.04296875), 'H_TF': np.float64(0.0)}",False,,
baseline,22,"{'0010': 75, '0100': 54, '0001': 60, '1111': 59, '1100': 74, '1000': 52, '0110': 68, '1101': 76, '0000': 72, '1010': 67, '1011': 64, '0011': 61, '0111': 64, '1001': 59, '0101': 60, '1110': 59}","{'H_AFM': np.float64(-0.001953125), 'H_FM': np.float64(-0.048828125), 'H_TF': np.float64(0.0)}",False,,
baseline,23,"{'0001': 55, '1110': 66, '1011': 66, '0011': 61, '0111': 68, '1111': 76, '1000': 61, '0110': 69, '1101': 64, '1100': 75, '0101': 62, '1001': 67, '0010': 60, '0000': 60, '1010': 57, '0100': 57}","{'H_AFM': np.float64(0.041015625), 'H_FM': np.float64(-0.025390625), 'H_TF': np.float64(0.0)}",False,,
baseline,24,"{'0100': 47, '1010': 75, '0010': 51, '0000': 48, '1000': 52, '0110': 78, '1101': 66, '0001': 64, '1111': 58, '1011': 78, '0111': 72, '0011': 74, '1110': 60, '1100': 74, '0101': 61, '1001': 66}","{'H_AFM': np.float64(0.005859375), 'H_FM': np.float64(0.107421875), 'H_TF': np.float64(0.0)}",False,,
baseline,25,"{'1100': 63, '0010': 64, '0000': 50, '0110': 64, '1000': 59, '1011': 71, '0011': 67, '0111': 51, '1010': 71, '1101': 65, '1110': 73, '1001': 74, '0101': 69, '1111': 77, '0001': 59, '0100': 47}","{'H_AFM': np.float64(-0.029296875), 'H_FM': np.float64(0.052734375), 'H_TF': np.float64(0.0)}",False,,
baseline,26,"{'0100': 54, '0001': 62, '1111': 74, '1011': 47, '0011': 59, '0111': 70, '1010': 64, '1110': 54, '0101': 77, '1001': 64, '1100': 71, '0000': 70, '0010': 65, '1101': 65, '1000': 79, '0110': 49}","{'H_AFM': np.float64(-0.0625), 'H_FM': np.float64(-0.140625), 'H_TF': np.float64(0.0)}",True,,
baseline,27,"{'1100': 64, '0100': 59, '1101': 63, '1010': 67, '0101': 61, '1001': 76, '0110': 71, '1000': 66, '0001': 66, '1111': 55, '0010': 75, '0000': 64, '1110': 68, '1011': 63, '0011': 61, '0111': 45}","{'H_AFM': np.float64(-0.029296875), 'H_FM': np.float64(0.091796875), 'H_TF': np.float64(0.0)}",False,,
baseline,28,"{'0010': 63, '0111': 86, '0011': 64, '1011': 70, '0000': 62, '1110': 66, '1100': 78, '0101': 65, '1001': 59, '0100': 56, '1000': 62, '0110': 50, '1101': 63, '1010': 74, '1111': 59, '0001': 47}","{'H_AFM': np.float64(-0.013671875), 'H_FM': np.float64(-0.072265625), 'H_TF': np.float64(0.0)}",False,,
baseline,29,"{'0000': 65, '1111': 64, '0100': 64, '0010': 67, '1100': 59, '0101': 56, '1001': 72, '1000': 65, '0110': 55, '1101': 67, '0011': 61, '0111': 71, '1011': 66, '1010': 60, '0001': 80, '1110': 52}","{'H_AFM': np.float64(0.005859375), 'H_FM': np.float64(-0.017578125), 'H_TF': np.float64(0.0)}",False,,
baseline,30,"{'0010': 66, '1010': 59, '0011': 53, '0111': 60, '1011': 53, '0100': 82, '1111': 64, '0001': 76, '1101': 61, '1000': 63, '0110': 63, '1100': 76, '0101': 49, '1001': 73, '1110': 63, '0000': 63}","{'H_AFM': np.float64(0.076171875), 'H_FM': np.float64(0.029296875), 'H_TF': np.float64(0.0)}",False,,
baseline,31,"{'1010': 58, '1011': 56, '0010': 65, '0000': 62, '1101': 57, '0110': 60, '1000': 50, '1100': 64, '0111': 73, '0011': 72, '0001': 54, '1111': 71, '1110': 74, '1001': 69, '0101': 68, '0100': 71}","{'H_AFM': np.float64(0.04296875), 'H_FM': np.float64(-0.01171875), 'H_TF': np.float64(0.0)}",False,,
baseline,32,"{'0001': 56, '1010': 63, '1110': 64, '0100': 77, '1000': 75, '0110': 69, '1101': 65, '1011': 57, '0111': 63, '0011': 66, '0010': 57, '0000': 59, '0101': 67, '1001': 67, '1100': 61, '1111': 58}","{'H_AFM': np.float64(-0.033203125), 'H_FM': np.float64(0.052734375), 'H_TF': np.float64(0.0)}",False,,
baseline,33,"{'1011': 46, '0010': 74, '1111': 60, '0001': 80, '1101': 58, '1000': 56, '0110': 72, '1100': 56, '0011': 69, '0111': 53, '1001': 56, '0101': 70, '1110': 75, '0100': 56, '0000': 72, '1010': 71}","{'H_AFM': np.float64(-0.02734375), 'H_FM': np.float64(0.01953125), 'H_TF': np.float64(0.0)}",False,,
baseline,34,"{'1101': 55, '1111': 55, '1110': 56, '0011': 75, '0111': 71, '1011': 69, '0000': 65, '0010': 57, '1100': 68, '1010': 51, '1000': 66, '0110': 65, '0001': 61, '0100': 70, '1001': 71, '0101': 69}","{'H_AFM': np.float64(0.05859375), 'H_FM': np.float64(0.03125), 'H_TF': np.float64(0.0)}",False,,
baseline,35,"{'0010': 62, '0000': 83, '1110': 55, '1011': 77, '0011': 70, '0111': 70, '0001': 56, '1111': 65, '1000': 57, '0110': 67, '1101': 61, '1100': 48, '0101': 62, '1001': 80, '0100': 48, '1010': 63}","{'H_AFM': np.float64(-0.033203125), 'H_FM': np.float64(-0.009765625), 'H_TF': np.float64(0.0)}",False,,
baseline,36,"{'0100': 67, '0000': 70, '0010': 59, '1010': 73, '0101': 69, '1001': 62, '1100': 72, '0110': 62, '1000': 61, '1011': 62, '0011': 60, '0111': 62, '1111': 65, '0001': 52, '1110': 70, '1101': 58}","{'H_AFM': np.float64(-0.0078125), 'H_FM': np.float64(-0.01171875), 'H_TF': np.float64(0.0)}",False,,
baseline,37,"{'1100': 57, '1101': 56, '1010': 66, '1111': 64, '0001': 56, '0010': 53, '0000': 75, '0110': 62, '1000': 66, '0100': 85, '0011': 57, '0111': 78, '1011': 77, '1001': 65, '0101': 46, '1110': 61}","{'H_AFM': np.float64(0.04296875), 'H_FM': np.float64(-0.01171875), 'H_TF': np.float64(0.0)}",False,,
baseline,38,"{'0000': 69, '1011': 63, '1101': 65, '0100': 66, '0001': 72, '1111': 58, '1110': 53, '0111': 65, '0011': 76, '0010': 59, '0101': 58, '1001': 59, '1100': 68, '0110': 54, '1000': 66, '1010': 73}","{'H_AFM': np.float64(0.05078125), 'H_FM': np.float64(-0.0546875), 'H_TF': np.float64(0.0)}",False,,
baseline,39,"{'1010': 57, '1111': 55, '1101': 70, '0110': 62, '1000': 67, '1100': 69, '0100': 72, '1011': 59, '0111': 80, '0011': 64, '0010': 54, '0000': 54, '1110': 65, '1001': 72, '0101': 60, '0001': 64}","{'H_AFM': np.float64(0.01171875), 'H_FM': np.float64(0.046875), 'H_TF': np.float64(0.0)}",False,,
