phase,trial,counts,energies,success,iteration,bias_strength
baseline,0,"{'0001': 65, '1011': 68, '0111': 57, '0011': 61, '0000': 74, '0010': 66, '1111': 62, '1100': 53, '0101': 61, '1001': 62, '0110': 68, '1000': 70, '1010': 59, '1110': 70, '1101': 66, '0100': 62}","{'H_AFM': np.float64(-0.005859375), 'H_FM': np.float64(-0.005859375), 'H_TF': np.float64(0.0)}",False,,
baseline,1,"{'0000': 65, '1100': 65, '0100': 74, '1010': 58, '1011': 61, '0011': 80, '0111': 59, '1101': 67, '0010': 73, '1001': 62, '0101': 56, '1110': 62, '0001': 50, '1111': 67, '0110': 50, '1000': 75}","{'H_AFM': np.float64(0.083984375), 'H_FM': np.float64(-0.115234375), 'H_TF': np.float64(0.0)}",False,,
baseline,2,"{'0000': 57, '1010': 65, '1011': 68, '0111': 63, '0011': 76, '0100': 61, '0110': 57, '1000': 66, '1100': 66, '1110': 58, '1001': 68, '0101': 55, '0010': 68, '1101': 65, '1111': 76, '0001': 55}","{'H_AFM': np.float64(0.052734375), 'H_FM': np.float64(-0.064453125), 'H_TF': np.float64(0.0)}",False,,
baseline,3,"{'1110': 59, '1011': 60, '0010': 54, '1100': 61, '1101': 64, '1000': 83, '0110': 53, '0011': 69, '0111': 63, '1111': 60, '0001': 72, '0000': 75, '1010': 58, '0100': 75, '1001': 59, '0101': 59}","{'H_AFM': np.float64(0.0625), 'H_FM': np.float64(-0.078125), 'H_TF': np.float64(0.0)}",False,,
baseline,4,"{'1110': 68, '1100': 55, '0010': 66, '0000': 68, '1011': 63, '0111': 71, '0011': 78, '0100': 69, '0001': 64, '1111': 59, '1001': 50, '0101': 58, '1000': 58, '0110': 74, '1101': 70, '1010': 53}","{'H_AFM': np.float64(0.06640625), 'H_FM': np.float64(-0.03125), 'H_TF': np.float64(0.0)}",False,,
baseline,5,"{'0010': 84, '0000': 91, '1100': 52, '0001': 61, '1111': 57, '1000': 59, '0110': 63, '1101': 58, '1110': 59, '1001': 64, '0101': 55, '0011': 66, '0111': 63, '1011': 65, '0100': 62, '1010': 65}","{'H_AFM': np.float64(-0.001953125), 'H_FM': np.float64(-0.076171875), 'H_TF': np.float64(0.0)}",False,,
baseline,6,"{'0000': 57, '1010': 41, '1100': 69, '0010': 67, '0100': 66, '1101': 62, '1110': 59, '1111': 65, '0001': 54, '1011': 75, '0111': 50, '0011': 66, '0101': 70, '1001': 82, '0110': 74, '1000': 67}","{'H_AFM': np.float64(0.044921875), 'H_FM': np.float64(0.083984375), 'H_TF': np.float64(0.0)}",False,,
baseline,7,"{'0001': 63, '1111': 62, '1101': 56, '0011': 73, '0111': 73, '1011': 69, '0110': 59, '1000': 79, '1100': 59, '0100': 52, '0010': 68, '0000': 55, '1110': 69, '1001': 65, '0101': 65, '1010': 57}","{'H_AFM': np.float64(0.0), 'H_FM': np.float64(-0.01171875), 'H_TF': np.float64(0.0)}",False,,
baseline,8,"{'1101': 72, '0000': 63, '1111': 65, '1011': 51, '0111': 77, '0011': 64, '0010': 60, '1110': 58, '0100': 63, '0001': 57, '0110': 78, '1000': 59, '0101': 63, '1001': 62, '1100': 55, '1010': 77}","{'H_AFM': np.float64(-0.111328125), 'H_FM': np.float64(0.017578125), 'H_TF': np.float64(0.0)}",False,,
baseline,9,"{'1101': 47, '0000': 61, '1110': 75, '1111': 64, '0001': 66, '0100': 68, '1100': 82, '1001': 67, '0101': 72, '0010': 46, '1011': 65, '0111': 66, '0011': 56, '1010': 61, '1000': 57, '0110': 71}","{'H_AFM': np.float64(0.05859375), 'H_FM': np.float64(0.08984375), 'H_TF': np.float64(0.0)}",False,,
baseline,10,"{'0000': 68, '0111': 66, '0011': 69, '1011': 66, '0101': 76, '1001': 71, '1100': 49, '1111': 67, '0001': 63, '0100': 63, '1110': 50, '0010': 59, '1010': 64, '1000': 63, '0110': 62, '1101': 68}","{'H_AFM': np.float64(-0.076171875), 'H_FM': np.float64(0.001953125), 'H_TF': np.float64(0.0)}",False,,
baseline,11,"{'0100': 56, '1010': 58, '1100': 80, '0111': 63, '0011': 66, '1011': 68, '0010': 68, '0000': 45, '1110': 71, '1001': 62, '0101': 66, '0001': 62, '1111': 62, '1000': 67, '0110': 65, '1101': 65}","{'H_AFM': np.float64(0.0390625), 'H_FM': np.float64(0.03125), 'H_TF': np.float64(0.0)}",False,,
baseline,12,"{'1100': 69, '1111': 54, '0001': 59, '0111': 62, '0011': 65, '1011': 56, '0100': 61, '0000': 75, '0010': 84, '1001': 75, '0101': 64, '1110': 57, '1010': 59, '1101': 60, '1000': 80, '0110': 44}","{'H_AFM': np.float64(-0.009765625), 'H_FM': np.float64(-0.091796875), 'H_TF': np.float64(0.0)}",False,,
baseline,13,"{'0001': 55, '0011': 45, '0111': 74, '0000': 58, '0010': 55, '1110': 54, '1101': 58, '1010': 65, '1100': 69, '0101': 74, '1001': 63, '0110': 69, '1000': 72, '1111': 66, '1011': 66, '0100': 81}","{'H_AFM': np.float64(-0.083984375), 'H_FM': np.float64(0.044921875), 'H_TF': np.float64(0.0)}",False,,
baseline,14,"{'1111': 61, '0000': 57, '1110': 72, '0111': 65, '0011': 63, '1011': 67, '0010': 50, '1101': 59, '0001': 71, '1100': 67, '0101': 59, '1001': 56, '0110': 75, '1000': 67, '1010': 65, '0100': 70}","{'H_AFM': np.float64(0.04296875), 'H_FM': np.float64(0.0703125), 'H_TF': np.float64(0.0)}",False,,
baseline,15,"{'1101': 64, '0000': 45, '0100': 50, '0110': 57, '1000': 62, '1100': 73, '0010': 74, '0011': 81, '0111': 55, '1011': 64, '1010': 58, '1111': 69, '0001': 76, '1110': 58, '1001': 81, '0101': 57}","{'H_AFM': np.float64(0.083984375), 'H_FM': np.float64(0.025390625), 'H_TF': np.float64(0.0)}",False,,
baseline,16,"{'1101': 51, '1100': 50, '0010': 63, '0000': 64, '0001': 71, '1111': 59, '1011': 61, '0111': 74, '0011': 78, '1110': 51, '0101': 71, '1001': 77, '1000': 57, '0110': 58, '1010': 50, '0100': 89}","{'H_AFM': np.float64(0.03515625), 'H_FM': np.float64(0.0546875), 'H_TF': np.float64(0.0)}",False,,
baseline,17,"{'0100': 54, '0010': 70, '1011': 55, '0001': 71, '1111': 60, '1110': 62, '0111': 63, '0011': 62, '0000': 63, '1100': 70, '0101': 65, '1001': 75, '1101': 70, '1000': 64, '0110': 57, '1010': 63}","{'H_AFM': np.float64(-0.021484375), 'H_FM': np.float64(-0.001953125), 'H_TF': np.float64(0.0)}",False,,
baseline,18,"{'1101': 72, '1111': 72, '1100': 65, '1110': 57, '1001': 70, '0101': 59, '0001': 65, '1011': 60, '0011': 76, '0111': 59, '0000': 55, '0010': 59, '1010': 60, '0100': 66, '1000': 70, '0110': 59}","{'H_AFM': np.float64(0.05078125), 'H_FM': np.float64(-0.02734375), 'H_TF': np.float64(0.0)}",False,,
baseline,19,"{'0000': 64, '1101': 67, '1011': 65, '0011': 63, '0111': 73, '1111': 63, '0001': 59, '1110': 67, '1100': 70, '0101': 68, '1001': 52, '0010': 62, '1000': 63, '0110': 62, '1010': 73, '0100': 53}","{'H_AFM': np.float64(-0.03125), 'H_FM': np.float64(-0.05078125), 'H_TF': np.float64(0.0)}",False,,
baseline,20,"{'0100': 61, '1111': 63, '0001': 65, '1101': 56, '0000': 74, '0010': 71, '1100': 64, '0110': 54, '1000': 70, '1011': 56, '0111': 70, '0011': 62, '1110': 56, '1001': 71, '0101': 59, '1010': 72}","{'H_AFM': np.float64(-0.03125), 'H_FM': np.float64(-0.05859375), 'H_TF': np.float64(0.0)}",False,,
baseline,21,"{'0001': 67, '0110': 62, '1000': 72, '1011': 60, '0111': 74, '0011': 64, '0000': 63, '0010': 74, '1100': 52, '1110': 64, '1001': 63, '0101': 60, '1101': 60, '0100': 60, '1111': 72, '1010': 57}","{'H_AFM': np.float64(-0.021484375), 'H_FM': np.float64(-0.056640625), 'H_TF': np.float64(0.0)}",False,,
baseline,22,"{'1011': 57, '1111': 58, '0000': 59, '0010': 61, '1101': 78, '0011': 55, '0111': 66, '1100': 65, '0110': 70, '1000': 63, '1001': 63, '0101': 59, '1110': 69, '1010': 65, '0100': 73, '0001': 63}","{'H_AFM': np.float64(-0.033203125), 'H_FM': np.float64(0.044921875), 'H_TF': np.float64(0.0)}",False,,
baseline,23,"{'1110': 60, '1100': 60, '0111': 54, '0011': 80, '1011': 56, '0010': 50, '0000': 66, '1111': 84, '0001': 61, '0100': 71, '1001': 64, '0101': 62, '1101': 61, '1000': 66, '0110': 64, '1010': 65}","{'H_AFM': np.float64(0.076171875), 'H_FM': np.float64(-0.060546875), 'H_TF': np.float64(0.0)}",False,,
baseline,24,"{'0010': 79, '0001': 58, '0100': 56, '0111': 54, '0011': 64, '1011': 73, '1100': 66, '1000': 64, '0110': 77, '1101': 55, '1111': 58, '1110': 59, '1001': 55, '0101': 59, '0000': 84, '1010': 63}","{'H_AFM': np.float64(0.02734375), 'H_FM': np.float64(-0.04296875), 'H_TF': np.float64(0.0)}",False,,
baseline,25,"{'0101': 66, '1001': 61, '1100': 72, '0010': 62, '0000': 69, '0100': 56, '1111': 67, '0001': 64, '0111': 79, '0011': 73, '1011': 68, '1101': 55, '1000': 58, '0110': 63, '1010': 59, '1110': 52}","{'H_AFM': np.float64(0.056640625), 'H_FM': np.float64(-0.068359375), 'H_TF': np.float64(0.0)}",False,,
baseline,26,"{'0010': 61, '1101': 56, '1111': 61, '0100': 66, '0001': 82, '0011': 71, '0111': 61, '1011': 61, '1110': 63, '1010': 66, '0101': 57, '1001': 69, '1100': 69, '1000': 48, '0110': 66, '0000': 67}","{'H_AFM': np.float64(0.087890625), 'H_FM': np.float64(0.048828125), 'H_TF': np.float64(0.0)}",False,,
baseline,27,"{'1111': 51, '0001': 57, '0101': 63, '1001': 62, '1100': 64, '1010': 77, '0100': 58, '0011': 75, '0111': 68, '1011': 76, '0010': 59, '0000': 66, '1101': 70, '1000': 57, '0110': 56, '1110': 65}","{'H_AFM': np.float64(-0.001953125), 'H_FM': np.float64(0.005859375), 'H_TF': np.float64(0.0)}",False,,
baseline,28,"{'0100': 50, '1110': 63, '1011': 66, '1100': 63, '1111': 74, '0001': 68, '1000': 57, '0110': 69, '1101': 56, '0111': 67, '0011': 54, '0000': 64, '0010': 62, '1001': 70, '0101': 69, '1010': 72}","{'H_AFM': np.float64(-0.06640625), 'H_FM': np.float64(0.03125), 'H_TF': np.float64(0.0)}",False,,
