phase,trial,counts,energies,success,iteration,bias_strength
baseline,29,"{'1100': 72, '0001': 77, '1111': 72, '1011': 76, '0111': 65, '0011': 44, '1001': 70, '0101': 64, '1110': 57, '0100': 63, '1000': 63, '0110': 56, '1101': 60, '0010': 72, '0000': 59, '1010': 54}","{'H_AFM': np.float64(0.01171875), 'H_FM': np.float64(0.0), 'H_TF': np.float64(0.0)}",False,,
baseline,30,"{'0000': 65, '1100': 61, '1010': 67, '0001': 52, '1111': 62, '1110': 81, '0100': 48, '0011': 66, '0111': 65, '1011': 68, '1101': 56, '0010': 78, '0110': 57, '1000': 68, '0101': 73, '1001': 57}","{'H_AFM': np.float64(-0.04296875), 'H_FM': np.float64(-0.04296875), 'H_TF': np.float64(0.0)}",False,,
baseline,31,"{'0100': 72, '1001': 59, '0101': 66, '1110': 60, '1100': 70, '0010': 68, '0000': 58, '1111': 73, '0001': 67, '1010': 70, '1101': 63, '1000': 64, '0110': 61, '1011': 61, '0011': 56, '0111': 56}","{'H_AFM': np.float64(-0.009765625), 'H_FM': np.float64(-0.013671875), 'H_TF': np.float64(0.0)}",False,,
baseline,32,"{'1110': 46, '1111': 71, '0001': 58, '0000': 65, '0010': 60, '1100': 58, '1000': 71, '0110': 74, '1101': 71, '0100': 61, '1001': 55, '0101': 60, '0011': 70, '0111': 66, '1011': 73, '1010': 65}","{'H_AFM': np.float64(-0.013671875), 'H_FM': np.float64(-0.052734375), 'H_TF': np.float64(0.0)}",False,,
baseline,33,"{'1100': 62, '0010': 81, '0000': 70, '0001': 60, '1111': 73, '1011': 72, '0011': 69, '0111': 52, '1010': 68, '0100': 55, '1101': 53, '1110': 58, '0101': 61, '1001': 66, '0110': 53, '1000': 71}","{'H_AFM': np.float64(0.017578125), 'H_FM': np.float64(-0.083984375), 'H_TF': np.float64(0.0)}",False,,
baseline,34,"{'1100': 67, '1101': 57, '0100': 66, '0010': 49, '0000': 62, '1111': 70, '0001': 65, '0101': 60, '1001': 74, '0110': 65, '1000': 73, '1011': 60, '0011': 57, '0111': 69, '1110': 62, '1010': 68}","{'H_AFM': np.float64(-0.013671875), 'H_FM': np.float64(0.029296875), 'H_TF': np.float64(0.0)}",False,,
baseline,35,"{'0101': 70, '1001': 69, '0010': 62, '0001': 60, '1111': 60, '1100': 55, '1000': 70, '0110': 59, '1101': 67, '0000': 50, '1011': 80, '0111': 64, '0011': 65, '0100': 55, '1010': 78, '1110': 60}","{'H_AFM': np.float64(-0.107421875), 'H_FM': np.float64(0.072265625), 'H_TF': np.float64(0.0)}",False,,
baseline,36,"{'0000': 68, '1011': 69, '1111': 51, '1010': 87, '1100': 71, '1101': 57, '1000': 62, '0110': 74, '1001': 60, '0101': 76, '1110': 70, '0111': 62, '0011': 56, '0010': 55, '0001': 51, '0100': 55}","{'H_AFM': np.float64(-0.111328125), 'H_FM': np.float64(0.087890625), 'H_TF': np.float64(0.0)}",False,,
baseline,37,"{'1011': 63, '0000': 60, '0010': 62, '1001': 66, '0101': 51, '1110': 59, '1111': 72, '0001': 71, '1010': 56, '1100': 67, '1000': 55, '0110': 77, '1101': 58, '0100': 66, '0011': 70, '0111': 71}","{'H_AFM': np.float64(0.08984375), 'H_FM': np.float64(0.015625), 'H_TF': np.float64(0.0)}",False,,
baseline,38,"{'1101': 57, '0110': 51, '1000': 64, '0001': 63, '1111': 59, '1110': 66, '0010': 71, '0000': 64, '1011': 68, '0011': 54, '0111': 74, '0100': 67, '1010': 62, '0101': 69, '1001': 79, '1100': 56}","{'H_AFM': np.float64(-0.0703125), 'H_FM': np.float64(0.0390625), 'H_TF': np.float64(0.0)}",False,,
baseline,39,"{'1101': 81, '1011': 57, '1100': 60, '0100': 55, '0000': 75, '0010': 61, '0001': 63, '1111': 60, '1000': 60, '0110': 67, '1110': 73, '1001': 54, '0101': 60, '0011': 72, '0111': 60, '1010': 66}","{'H_AFM': np.float64(0.017578125), 'H_FM': np.float64(-0.060546875), 'H_TF': np.float64(0.0)}",False,,
baseline,40,"{'1111': 70, '1110': 69, '1001': 62, '0101': 66, '0111': 51, '0011': 66, '1011': 65, '1101': 56, '0110': 62, '1000': 74, '1100': 57, '0001': 72, '0100': 71, '1010': 66, '0010': 62, '0000': 55}","{'H_AFM': np.float64(0.0078125), 'H_FM': np.float64(0.0390625), 'H_TF': np.float64(0.0)}",False,,
baseline,41,"{'0001': 51, '1010': 60, '1100': 62, '0100': 62, '0111': 64, '0011': 61, '1011': 64, '1000': 72, '0110': 76, '1101': 60, '1001': 80, '0101': 54, '1110': 63, '1111': 78, '0000': 60, '0010': 57}","{'H_AFM': np.float64(-0.00390625), 'H_FM': np.float64(0.03125), 'H_TF': np.float64(0.0)}",False,,
baseline,42,"{'1010': 76, '0010': 66, '0100': 63, '1011': 52, '0011': 58, '0111': 74, '1111': 66, '0001': 77, '0000': 60, '1101': 70, '1100': 59, '0110': 62, '1000': 63, '1001': 63, '0101': 56, '1110': 59}","{'H_AFM': np.float64(-0.064453125), 'H_FM': np.float64(-0.009765625), 'H_TF': np.float64(0.0)}",False,,
baseline,43,"{'0000': 76, '1110': 73, '1101': 59, '0110': 60, '1000': 63, '0101': 67, '1001': 66, '1100': 68, '1111': 55, '0001': 64, '1011': 57, '0011': 71, '0111': 72, '0010': 68, '0100': 57, '1010': 48}","{'H_AFM': np.float64(0.064453125), 'H_FM': np.float64(-0.048828125), 'H_TF': np.float64(0.0)}",False,,
baseline,44,"{'1010': 57, '1100': 64, '0101': 55, '1001': 66, '0001': 59, '1111': 55, '1110': 70, '0100': 67, '0011': 60, '0111': 62, '1011': 69, '1000': 73, '0110': 68, '1101': 70, '0010': 65, '0000': 64}","{'H_AFM': np.float64(0.015625), 'H_FM': np.float64(0.02734375), 'H_TF': np.float64(0.0)}",False,,
baseline,45,"{'1110': 60, '0010': 63, '0000': 65, '1100': 62, '0101': 63, '1001': 76, '1011': 67, '0111': 52, '0011': 76, '0100': 57, '1111': 73, '0001': 64, '1000': 68, '0110': 64, '1101': 61, '1010': 53}","{'H_AFM': np.float64(0.06640625), 'H_FM': np.float64(-0.01171875), 'H_TF': np.float64(0.0)}",False,,
baseline,46,"{'1110': 53, '1101': 63, '1111': 54, '0011': 65, '0111': 57, '1011': 60, '0100': 81, '0001': 65, '1100': 77, '1010': 66, '0010': 73, '0000': 68, '1001': 64, '0101': 55, '1000': 59, '0110': 64}","{'H_AFM': np.float64(0.0625), 'H_FM': np.float64(0.00390625), 'H_TF': np.float64(0.0)}",False,,
baseline,47,"{'1111': 61, '1101': 71, '0100': 70, '1110': 47, '1001': 59, '0101': 61, '0001': 63, '1010': 70, '0000': 79, '0010': 54, '0110': 85, '1000': 54, '1100': 60, '0011': 55, '0111': 69, '1011': 66}","{'H_AFM': np.float64(-0.052734375), 'H_FM': np.float64(0.025390625), 'H_TF': np.float64(0.0)}",False,,
baseline,48,"{'0000': 69, '1000': 71, '0110': 56, '1101': 52, '0001': 73, '1111': 66, '0100': 61, '1110': 65, '0010': 59, '0101': 62, '1001': 64, '1100': 75, '1011': 56, '0111': 68, '0011': 63, '1010': 64}","{'H_AFM': np.float64(0.0546875), 'H_FM': np.float64(-0.05078125), 'H_TF': np.float64(0.0)}",False,,
baseline,49,"{'0000': 59, '0100': 58, '1110': 71, '1111': 60, '0001': 61, '1101': 61, '1000': 64, '0110': 68, '0101': 63, '1001': 70, '1100': 61, '0111': 66, '0011': 57, '1011': 56, '0010': 71, '1010': 78}","{'H_AFM': np.float64(-0.1015625), 'H_FM': np.float64(0.0625), 'H_TF': np.float64(0.0)}",False,,
baseline,50,"{'1110': 64, '1001': 69, '0101': 71, '0000': 57, '0010': 68, '1111': 49, '0001': 72, '0100': 67, '1011': 68, '0011': 70, '0111': 57, '0110': 61, '1000': 76, '1100': 57, '1101': 57, '1010': 61}","{'H_AFM': np.float64(-0.025390625), 'H_FM': np.float64(0.087890625), 'H_TF': np.float64(0.0)}",False,,
baseline,51,"{'1110': 61, '0100': 53, '0111': 68, '0011': 57, '1011': 77, '1100': 68, '0010': 75, '0000': 58, '1101': 55, '1000': 72, '0110': 55, '0001': 58, '1111': 61, '1010': 62, '1001': 75, '0101': 69}","{'H_AFM': np.float64(-0.048828125), 'H_FM': np.float64(0.017578125), 'H_TF': np.float64(0.0)}",False,,
baseline,52,"{'1101': 62, '0000': 64, '1100': 59, '1010': 54, '0001': 76, '1111': 67, '1000': 62, '0110': 59, '1011': 71, '0111': 66, '0011': 72, '0100': 64, '0010': 57, '1001': 68, '0101': 61, '1110': 62}","{'H_AFM': np.float64(0.076171875), 'H_FM': np.float64(-0.001953125), 'H_TF': np.float64(0.0)}",False,,
baseline,53,"{'1101': 52, '0001': 72, '1100': 78, '0111': 60, '0011': 68, '1011': 58, '1000': 77, '0110': 64, '1001': 79, '0101': 66, '1110': 60, '0100': 53, '0010': 61, '0000': 58, '1111': 56, '1010': 62}","{'H_AFM': np.float64(0.017578125), 'H_FM': np.float64(0.060546875), 'H_TF': np.float64(0.0)}",False,,
baseline,54,"{'1011': 61, '1111': 73, '0111': 71, '0011': 66, '1110': 60, '0100': 71, '0101': 60, '1001': 65, '0110': 71, '1000': 64, '1100': 59, '1101': 68, '0000': 58, '0010': 57, '1010': 59, '0001': 61}","{'H_AFM': np.float64(0.005859375), 'H_FM': np.float64(0.001953125), 'H_TF': np.float64(0.0)}",False,,
baseline,55,"{'1100': 60, '0100': 54, '1011': 65, '1111': 52, '0001': 67, '1110': 79, '0011': 55, '0111': 66, '1101': 67, '0010': 75, '0000': 56, '0110': 58, '1000': 74, '0101': 60, '1001': 66, '1010': 70}","{'H_AFM': np.float64(-0.076171875), 'H_FM': np.float64(0.044921875), 'H_TF': np.float64(0.0)}",False,,
baseline,56,"{'1100': 74, '1011': 70, '0111': 63, '0011': 70, '0010': 74, '0000': 67, '1101': 68, '0101': 59, '1001': 56, '0110': 57, '1000': 73, '0100': 49, '1111': 51, '0001': 74, '1010': 63, '1110': 56}","{'H_AFM': np.float64(0.041015625), 'H_FM': np.float64(-0.064453125), 'H_TF': np.float64(0.0)}",False,,
baseline,57,"{'1011': 65, '1100': 59, '0001': 75, '1111': 73, '1101': 46, '1000': 67, '0110': 54, '0100': 65, '1001': 77, '0101': 57, '1110': 59, '0011': 67, '0111': 65, '0000': 48, '0010': 66, '1010': 81}","{'H_AFM': np.float64(-0.025390625), 'H_FM': np.float64(0.060546875), 'H_TF': np.float64(0.0)}",False,,
baseline,58,"{'1111': 69, '1010': 70, '1101': 78, '1011': 68, '0111': 58, '0011': 60, '0110': 67, '1000': 60, '1100': 58, '0010': 67, '0000': 64, '0001': 68, '1110': 62, '1001': 56, '0101': 55, '0100': 64}","{'H_AFM': np.float64(-0.01171875), 'H_FM': np.float64(-0.0234375), 'H_TF': np.float64(0.0)}",False,,
baseline,59,"{'1010': 69, '1111': 63, '0000': 73, '0010': 50, '0001': 77, '1101': 65, '1000': 55, '0110': 65, '1100': 73, '0100': 58, '0111': 66, '0011': 67, '1011': 43, '1001': 74, '0101': 63, '1110': 63}","{'H_AFM': np.float64(0.025390625), 'H_FM': np.float64(0.005859375), 'H_TF': np.float64(0.0)}",False,,
baseline,60,"{'1011': 58, '1110': 57, '0011': 73, '0111': 70, '0100': 59, '1111': 57, '0001': 78, '1010': 62, '1100': 63, '0000': 63, '0010': 60, '1101': 64, '1000': 66, '0110': 62, '1001': 69, '0101': 63}","{'H_AFM': np.float64(0.013671875), 'H_FM': np.float64(0.013671875), 'H_TF': np.float64(0.0)}",False,,
baseline,61,"{'1110': 77, '1101': 55, '0000': 38, '0010': 61, '0110': 72, '1000': 77, '1100': 69, '1011': 87, '0111': 70, '0011': 55, '1001': 69, '0101': 63, '1010': 59, '0001': 58, '1111': 61, '0100': 53}","{'H_AFM': np.float64(-0.0234375), 'H_FM': np.float64(0.1328125), 'H_TF': np.float64(0.0)}",False,,
baseline,62,"{'1111': 78, '0000': 64, '1100': 59, '1010': 46, '1011': 66, '0011': 68, '0111': 51, '0001': 70, '0010': 70, '1001': 54, '0101': 53, '1110': 64, '1000': 63, '0110': 69, '1101': 81, '0100': 68}","{'H_AFM': np.float64(0.103515625), 'H_FM': np.float64(-0.080078125), 'H_TF': np.float64(0.0)}",False,,
baseline,63,"{'0010': 64, '1101': 71, '1000': 59, '0110': 59, '1010': 63, '1011': 71, '0011': 73, '0111': 63, '1001': 62, '0101': 72, '1110': 57, '0001': 65, '1111': 60, '0100': 55, '1100': 65, '0000': 65}","{'H_AFM': np.float64(0.00390625), 'H_FM': np.float64(-0.0234375), 'H_TF': np.float64(0.0)}",False,,
baseline,64,"{'1110': 58, '1101': 77, '1100': 69, '0110': 54, '1000': 74, '1011': 63, '0011': 62, '0111': 77, '0001': 58, '1111': 75, '0010': 59, '0000': 53, '1001': 63, '0101': 62, '1010': 49, '0100': 71}","{'H_AFM': np.float64(0.033203125), 'H_FM': np.float64(-0.087890625), 'H_TF': np.float64(0.0)}",False,,
baseline,65,"{'1110': 66, '0010': 61, '1100': 70, '0000': 58, '1011': 64, '0011': 72, '0111': 63, '1010': 51, '0100': 68, '1111': 70, '0001': 72, '1000': 63, '0110': 58, '1101': 69, '1001': 58, '0101': 61}","{'H_AFM': np.float64(0.11328125), 'H_FM': np.float64(-0.05078125), 'H_TF': np.float64(0.0)}",False,,
baseline,66,"{'1100': 71, '1110': 50, '0111': 52, '0011': 67, '1011': 68, '1101': 68, '0110': 59, '1000': 51, '1111': 71, '0001': 63, '0000': 62, '0010': 68, '1001': 68, '0101': 77, '0100': 63, '1010': 66}","{'H_AFM': np.float64(-0.00390625), 'H_FM': np.float64(-0.0078125), 'H_TF': np.float64(0.0)}",False,,
baseline,67,"{'1010': 58, '1100': 51, '1101': 63, '1110': 73, '0001': 74, '1111': 63, '0101': 68, '1001': 52, '0110': 57, '1000': 69, '0100': 67, '0000': 72, '0010': 77, '1011': 59, '0111': 54, '0011': 67}","{'H_AFM': np.float64(0.01171875), 'H_FM': np.float64(-0.05859375), 'H_TF': np.float64(0.0)}",False,,
baseline,68,"{'1011': 60, '1110': 72, '1100': 56, '0000': 55, '0010': 64, '1000': 56, '0110': 73, '1101': 65, '1010': 73, '1111': 68, '0001': 62, '0111': 63, '0011': 72, '1001': 55, '0101': 58, '0100': 72}","{'H_AFM': np.float64(0.00390625), 'H_FM': np.float64(0.03515625), 'H_TF': np.float64(0.0)}",False,,
baseline,69,"{'0011': 77, '0111': 55, '0000': 56, '1111': 75, '0001': 70, '0100': 70, '1110': 68, '0101': 58, '1001': 54, '1100': 54, '1101': 62, '1000': 74, '0110': 61, '1010': 61, '0010': 71, '1011': 58}","{'H_AFM': np.float64(0.0546875), 'H_FM': np.float64(-0.0546875), 'H_TF': np.float64(0.0)}",False,,
baseline,70,"{'0011': 65, '0111': 70, '1100': 62, '0010': 61, '0000': 70, '1001': 60, '0101': 68, '1110': 59, '1111': 76, '0001': 65, '1101': 63, '1000': 75, '0110': 61, '0100': 63, '1010': 53, '1011': 53}","{'H_AFM': np.float64(0.013671875), 'H_FM': np.float64(-0.107421875), 'H_TF': np.float64(0.0)}",False,,
baseline,71,"{'0000': 63, '1100': 49, '1010': 64, '0111': 73, '0011': 62, '1011': 49, '0100': 64, '1101': 70, '1000': 63, '0110': 60, '1110': 80, '1001': 65, '0101': 65, '0001': 79, '1111': 60, '0010': 58}","{'H_AFM': np.float64(-0.046875), 'H_FM': np.float64(0.03125), 'H_TF': np.float64(0.0)}",False,,
baseline,72,"{'0011': 59, '0111': 58, '1101': 69, '0000': 65, '0010': 61, '1111': 81, '0001': 52, '0100': 58, '1100': 71, '0110': 64, '1000': 73, '1011': 61, '1110': 66, '1001': 65, '0101': 58, '1010': 63}","{'H_AFM': np.float64(0.01953125), 'H_FM': np.float64(-0.08203125), 'H_TF': np.float64(0.0)}",False,,
baseline,73,"{'0000': 48, '1011': 66, '1110': 72, '0001': 69, '1111': 58, '0110': 59, '1000': 66, '0101': 63, '1001': 64, '1100': 70, '1010': 69, '0100': 68, '0011': 65, '0111': 56, '0010': 70, '1101': 61}","{'H_AFM': np.float64(0.013671875), 'H_FM': np.float64(0.068359375), 'H_TF': np.float64(0.0)}",False,,
baseline,74,"{'1110': 61, '1010': 69, '0010': 61, '0000': 60, '0011': 75, '0111': 61, '1011': 63, '0100': 55, '1101': 49, '0001': 75, '1111': 74, '1100': 72, '0110': 62, '1000': 59, '1001': 66, '0101': 62}","{'H_AFM': np.float64(0.076171875), 'H_FM': np.float64(-0.009765625), 'H_TF': np.float64(0.0)}",False,,
baseline,75,"{'0100': 57, '1010': 69, '0000': 53, '0010': 75, '0111': 53, '0011': 65, '1011': 63, '1001': 56, '0101': 80, '1110': 57, '1111': 58, '0001': 67, '1100': 63, '1000': 63, '0110': 64, '1101': 81}","{'H_AFM': np.float64(-0.09765625), 'H_FM': np.float64(0.01953125), 'H_TF': np.float64(0.0)}",False,,
baseline,76,"{'0010': 48, '1010': 79, '0000': 58, '1100': 70, '0001': 64, '1111': 75, '1110': 66, '1001': 64, '0101': 58, '0111': 67, '0011': 51, '1011': 75, '1000': 56, '0110': 66, '1101': 65, '0100': 62}","{'H_AFM': np.float64(-0.013671875), 'H_FM': np.float64(0.037109375), 'H_TF': np.float64(0.0)}",False,,
