trial,counts,energies
17,"{'1011': 1, '1100': 97, '0000': 312, '0010': 3, '0100': 103, '0001': 60, '1111': 1, '1101': 17, '1000': 314, '0110': 12, '1001': 49, '0101': 17, '1110': 11, '1010': 3}","{'H_AFM': 2.146, 'H_FM': 2.146, 'H_TF': 2.146, 'H_XY': 2.146, 'H_RF': 2.146}"
18,"{'0100': 2, '1010': 60, '0110': 2, '1000': 56, '1100': 20, '1011': 277, '0111': 9, '0011': 53, '1001': 268, '0101': 20, '1110': 13, '0001': 65, '1111': 54, '0000': 21, '0010': 9, '1101': 71}","{'H_AFM': -0.608, 'H_FM': -0.608, 'H_TF': -0.608, 'H_XY': -0.608, 'H_RF': -0.608}"
19,"{'0100': 81, '1100': 61, '1001': 72, '0111': 71, '1011': 104, '0011': 71, '1010': 77, '1101': 84, '0101': 114, '1111': 95, '0001': 113, '0010': 57}","{'H_AFM': -0.396, 'H_FM': -0.396, 'H_TF': -0.396, 'H_XY': -0.396, 'H_RF': -0.396}"
20,"{'0001': 1, '1011': 10, '0000': 3, '0011': 42, '0111': 34, '1101': 103, '1100': 113, '0110': 43, '1000': 63, '1111': 165, '1110': 179, '1001': 52, '0101': 72, '0100': 75, '0010': 32, '1010': 13}","{'H_AFM': -0.9580000000000002, 'H_FM': -0.9580000000000002, 'H_TF': -0.9580000000000002, 'H_XY': -0.9580000000000002, 'H_RF': -0.9580000000000002}"
21,"{'1101': 5, '1111': 22, '0100': 2, '0010': 166, '0000': 39, '1010': 204, '1011': 186, '0011': 176, '0111': 17, '1100': 2, '0001': 45, '1001': 47, '0101': 4, '1110': 18, '1000': 54, '0110': 13}","{'H_AFM': 0.15000000000000002, 'H_FM': 0.15000000000000002, 'H_TF': 0.15000000000000002, 'H_XY': 0.15000000000000002, 'H_RF': 0.15000000000000002}"
22,"{'0000': 333, '0010': 82, '1111': 27, '0001': 57, '1010': 316, '1000': 87, '1011': 46, '0111': 2, '0011': 10, '1101': 5, '1110': 5, '1001': 8, '0101': 19, '0100': 3}","{'H_AFM': 1.5659999999999998, 'H_FM': 1.5659999999999998, 'H_TF': 1.5659999999999998, 'H_XY': 1.5659999999999998, 'H_RF': 1.5659999999999998}"
23,"{'0100': 3, '1101': 262, '1000': 2, '0110': 76, '0001': 101, '1111': 10, '0010': 209, '0000': 13, '1110': 75, '1010': 119, '0111': 5, '0011': 22, '1011': 11, '0101': 46, '1001': 27, '1100': 19}","{'H_AFM': -0.064, 'H_FM': -0.064, 'H_TF': -0.064, 'H_XY': -0.064, 'H_RF': -0.064}"
24,"{'1011': 5, '1110': 109, '1010': 42, '1111': 18, '1101': 333, '1000': 94, '1001': 101, '1100': 298}","{'H_AFM': -0.778, 'H_FM': -0.778, 'H_TF': -0.778, 'H_XY': -0.778, 'H_RF': -0.778}"
25,"{'1101': 14, '0110': 51, '0010': 8, '0000': 218, '0001': 1, '1111': 225, '0100': 59, '1011': 71, '0111': 102, '0011': 42, '1100': 44, '1001': 60, '1000': 105}","{'H_AFM': -0.05600000000000002, 'H_FM': -0.05600000000000002, 'H_TF': -0.05600000000000002, 'H_XY': -0.05600000000000002, 'H_RF': -0.05600000000000002}"
26,"{'0001': 4, '0010': 11, '1010': 169, '1110': 47, '1111': 105, '1101': 160, '1000': 26, '0110': 23, '0000': 139, '0111': 116, '0011': 36, '1011': 10, '0101': 66, '1001': 39, '1100': 27, '0100': 22}","{'H_AFM': -0.40399999999999997, 'H_FM': -0.40399999999999997, 'H_TF': -0.40399999999999997, 'H_XY': -0.40399999999999997, 'H_RF': -0.40399999999999997}"
27,"{'1100': 41, '0000': 63, '0010': 30, '1101': 75, '1001': 38, '0101': 63, '1110': 61, '1111': 132, '0001': 99, '0110': 38, '1000': 15, '0100': 43, '1010': 78, '1011': 108, '0011': 57, '0111': 59}","{'H_AFM': -0.508, 'H_FM': -0.508, 'H_TF': -0.508, 'H_XY': -0.508, 'H_RF': -0.508}"
28,"{'1111': 2, '0000': 2, '0110': 11, '0101': 22, '1010': 17, '1100': 1, '1001': 25, '1000': 217, '0011': 2, '0111': 217, '1011': 251, '0100': 233}","{'H_AFM': -0.035999999999999976, 'H_FM': -0.035999999999999976, 'H_TF': -0.035999999999999976, 'H_XY': -0.035999999999999976, 'H_RF': -0.035999999999999976}"
29,"{'1100': 4, '1101': 4, '1110': 31, '0001': 145, '1111': 31, '0011': 37, '0111': 39, '1011': 127, '1001': 81, '0101': 100, '0100': 61, '0000': 36, '0010': 53, '1010': 131, '1000': 78, '0110': 42}","{'H_AFM': 0.2919999999999999, 'H_FM': 0.2919999999999999, 'H_TF': 0.2919999999999999, 'H_XY': 0.2919999999999999, 'H_RF': 0.2919999999999999}"
30,"{'0101': 1, '0001': 20, '1010': 437, '1110': 136, '1101': 21, '1011': 110, '0111': 80, '0011': 6, '1100': 77, '0110': 28, '1000': 29, '1111': 13, '0010': 34, '0000': 3, '0100': 5}","{'H_AFM': -0.558, 'H_FM': -0.558, 'H_TF': -0.558, 'H_XY': -0.558, 'H_RF': -0.558}"
31,"{'0001': 18, '1100': 13, '0000': 73, '0010': 131, '1101': 61, '0110': 27, '1000': 65, '1111': 146, '1001': 20, '0101': 57, '1110': 20, '0111': 160, '0011': 26, '1011': 29, '1010': 138, '0100': 16}","{'H_AFM': -0.372, 'H_FM': -0.372, 'H_TF': -0.372, 'H_XY': -0.372, 'H_RF': -0.372}"
32,"{'0111': 4, '0011': 7, '1010': 54, '1110': 390, '1001': 3, '0101': 3, '1101': 7, '0100': 83, '1100': 140, '0110': 203, '1000': 24, '0001': 5, '1111': 11, '0010': 42, '0000': 11, '1011': 13}","{'H_AFM': -0.52, 'H_FM': -0.52, 'H_TF': -0.52, 'H_XY': -0.52, 'H_RF': -0.52}"
33,"{'1100': 3, '0000': 9, '1111': 153, '0001': 30, '1101': 10, '1011': 28, '0111': 318, '0011': 54, '0110': 155, '1000': 46, '1110': 60, '1001': 99, '0101': 6, '0010': 18, '1010': 11}","{'H_AFM': -1.2200000000000002, 'H_FM': -1.2200000000000002, 'H_TF': -1.2200000000000002, 'H_XY': -1.2200000000000002, 'H_RF': -1.2200000000000002}"
34,"{'0001': 1, '0000': 1, '1011': 245, '0011': 77, '0111': 23, '0100': 46, '0010': 37, '1110': 138, '1111': 80, '1010': 120, '1100': 105, '0110': 31, '1000': 13, '0101': 24, '1001': 7, '1101': 52}","{'H_AFM': -1.0380000000000003, 'H_FM': -1.0380000000000003, 'H_TF': -1.0380000000000003, 'H_XY': -1.0380000000000003, 'H_RF': -1.0380000000000003}"
35,"{'1101': 27, '0011': 12, '1111': 15, '0001': 30, '1110': 138, '1100': 318, '0010': 146, '0000': 314}","{'H_AFM': 1.218, 'H_FM': 1.218, 'H_TF': 1.218, 'H_XY': 1.218, 'H_RF': 1.218}"
36,"{'1100': 6, '1111': 10, '1101': 9, '0111': 135, '0011': 196, '1011': 40, '0001': 206, '0100': 25, '1001': 42, '0101': 150, '1110': 5, '0010': 56, '0000': 45, '1010': 25, '1000': 14, '0110': 36}","{'H_AFM': 0.364, 'H_FM': 0.364, 'H_TF': 0.364, 'H_XY': 0.364, 'H_RF': 0.364}"
37,"{'0100': 74, '1101': 55, '1000': 48, '1100': 21, '1001': 355, '0000': 13, '0101': 358, '0001': 76}","{'H_AFM': 0.33799999999999997, 'H_FM': 0.33799999999999997, 'H_TF': 0.33799999999999997, 'H_XY': 0.33799999999999997, 'H_RF': 0.33799999999999997}"
38,"{'1100': 28, '0001': 161, '1011': 15, '0011': 33, '0111': 46, '1111': 15, '1110': 31, '1101': 54, '0010': 78, '0000': 91, '0100': 72, '1010': 32, '0110': 86, '1000': 30, '0101': 165, '1001': 63}","{'H_AFM': 0.694, 'H_FM': 0.694, 'H_TF': 0.694, 'H_XY': 0.694, 'H_RF': 0.694}"
39,"{'1010': 34, '1101': 71, '1100': 209, '1001': 81, '0101': 27, '1110': 37, '0001': 31, '1111': 22, '0100': 75, '1011': 23, '0111': 19, '0011': 11, '0000': 93, '0010': 19, '1000': 229, '0110': 19}","{'H_AFM': 0.6920000000000001, 'H_FM': 0.6920000000000001, 'H_TF': 0.6920000000000001, 'H_XY': 0.6920000000000001, 'H_RF': 0.6920000000000001}"
40,"{'0000': 2, '0010': 31, '1110': 22, '1101': 336, '1000': 8, '0110': 12, '1111': 54, '0001': 26, '1100': 101, '0101': 191, '1001': 4, '0100': 55, '1010': 19, '0011': 85, '0111': 27, '1011': 27}","{'H_AFM': -0.792, 'H_FM': -0.792, 'H_TF': -0.792, 'H_XY': -0.792, 'H_RF': -0.792}"
41,"{'1101': 10, '1100': 9, '1001': 19, '0101': 131, '1110': 69, '0010': 117, '0000': 40, '0011': 112, '0111': 27, '1011': 95, '0100': 127, '1010': 106, '0001': 35, '1111': 54, '0110': 36, '1000': 13}","{'H_AFM': 0.12600000000000006, 'H_FM': 0.12600000000000006, 'H_TF': 0.12600000000000006, 'H_XY': 0.12600000000000006, 'H_RF': 0.12600000000000006}"
42,"{'1010': 2, '1111': 12, '0001': 66, '0000': 180, '0010': 74, '0111': 155, '0011': 183, '1011': 19, '0100': 134, '1000': 4, '0110': 68, '1101': 8, '1001': 1, '0101': 70, '1110': 7, '1100': 17}","{'H_AFM': 0.8499999999999999, 'H_FM': 0.8499999999999999, 'H_TF': 0.8499999999999999, 'H_XY': 0.8499999999999999, 'H_RF': 0.8499999999999999}"
43,"{'0100': 1, '1000': 32, '0101': 31, '1110': 101, '1010': 131, '1101': 35, '0110': 84, '1111': 129, '1011': 103, '0111': 111, '0011': 86, '0000': 31, '0010': 125}","{'H_AFM': -0.7759999999999998, 'H_FM': -0.7759999999999998, 'H_TF': -0.7759999999999998, 'H_XY': -0.7759999999999998, 'H_RF': -0.7759999999999998}"
44,"{'0001': 3, '1001': 2, '0101': 1, '1111': 210, '1011': 235, '0111': 235, '0011': 229, '0000': 19, '0010': 7, '1100': 16, '1010': 1, '1110': 4, '1101': 3, '1000': 18, '0110': 7, '0100': 10}","{'H_AFM': -1.6419999999999997, 'H_FM': -1.6419999999999997, 'H_TF': -1.6419999999999997, 'H_XY': -1.6419999999999997, 'H_RF': -1.6419999999999997}"
